,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2000-01-01,52.97,946681200,40.82,946634400,0.8,custer,42.15,0.79,946710000custer,37.8267,-122.4233,0.82,,0,0,,0,,1017.74,MT,946653980,946688485,52.97,946681200,42.61,946630800,946627200,6.64,243,4.68
0,2000-01-31 00:00:00,39.09,949363200,1.71,949327200,0.07,Otero,12.6,0.65,949302000Otero,38.02877367,-103.730325,0.85,,0,0,,0,,1021.6,CO,949327308,949364240,41.17,949363200,10.11,949327200,949302000,9.31,282,2.36
0,2000-02-29 00:00:00,55.85,951861600,30.25,951890400,0.35,Otero,25.4,0.47,951807600Otero,38.02877367,-103.730325,0.83,,0.0005,0.0055,951822000,0.24,rain,1010.76,CO,951830913,951871741,55.85,951861600,36.13,951890400,951807600,9.38,342,10.21
0,2000-03-31 00:00:00,40.95,954547200,22.9,954514800,0.97,Otero,30.15,0.91,954486000Otero,38.02877367,-103.730325,0.86,,0.0136,0.0254,954486000,0.63,rain,1023.49,CO,954506498,954551901,40.95,954547200,30.74,954565200,954486000,3.87,19,9.64
0,2000-04-30 00:00:00,59.82,957139200,32.41,957103200,0.91,Otero,38.8,0.78,957074400Otero,38.02877367,-103.730325,0.88,,0.0273,0.1648,957078000,0.83,rain,1018.22,CO,957096013,957145576,59.82,957139200,41.74,957103200,957074400,9.13,359,15.4
0,2000-05-31 00:00:00,84.08,959806800,54.5,959767200,0.33,Otero,51.62,0.6,959752800Otero,38.02877367,-103.730325,0.93,,0.0025,0.0589,959835600,0.73,rain,1007.48,CO,959772932,959825570,85.8,959806800,54.5,959767200,959752800,8.91,136,6.95
0,2000-06-30 00:00:00,84.47,962409600,55.76,962366400,0.13,Otero,50.26,0.51,962344800Otero,38.02877367,-103.730325,0.96,,0,0,,0,,1011.74,CO,962365018,962418167,87.47,962409600,55.76,962366400,962344800,9.74,174,3.12
0,2000-07-31 00:00:00,86.05,965088000,56.37,965044800,0.05,Otero,49.08,0.48,965023200Otero,38.02877367,-103.730325,0.03,,0,0,,0,,1017.1,CO,965044729,965095569,89.77,965088000,56.37,965044800,965023200,9.41,95,3.18
0,2000-08-31 00:00:00,81.71,967766400,59.46,967723200,0.28,Otero,52.32,0.55,967701600Otero,38.02877367,-103.730325,0.09,,0.0013,0.0162,967770000,0.57,rain,1010.41,CO,967724756,967771627,83.46,967766400,59.46,967723200,967701600,9.79,57,2.53
0,2000-09-30 00:00:00,81.73,970347600,50.79,970318800,0.06,Otero,40.25,0.42,970293600Otero,38.02877367,-103.730325,0.1,,0,0,,0,,1009.49,CO,970318288,970360817,84.71,970347600,50.79,970318800,970293600,10,272,5.58
0,2000-10-31 00:00:00,61.37,973022400,33.12,973058400,0.17,Otero,32.52,0.58,972975600Otero,38.02877367,-103.730325,0.15,,0.0004,0.0065,973026000,0.31,rain,1007.06,CO,972998495,973036674,61.37,973022400,37.3,972997200,972975600,9.51,214,8.84
0,2000-11-30 00:00:00,57.78,975618000,17.1,975582000,0.04,Otero,18.51,0.5,975567600Otero,38.02877367,-103.730325,0.15,,0,0,,0,,1017.27,CO,975592406,975627438,57.78,975618000,24.38,975578400,975567600,9.65,353,2.56
0,2000-12-31 00:00:00,37.23,978307200,4.16,978264000,0.23,Otero,16.57,0.77,978246000Otero,38.02877367,-103.730325,0.19,,0,0,,0,,1026.14,CO,978271934,978306396,37.23,978307200,11.88,978271200,978246000,8.2,105,1.1
0,2001-01-31 00:00:00,30.46,980974800,0.95,980949600,0.26,Otero,13.4,0.71,980924400Otero,38.02877367,-103.730325,0.23,0.026,0.0001,0.0019,980960400,0.05,snow,1023.04,CO,980949671,980986691,30.46,980974800,13.26,980949600,980924400,9.66,271,4.54
0,2001-02-28 00:00:00,43.89,983404800,7.07,983347200,0.87,Otero,18.14,0.84,983343600Otero,38.02877367,-103.730325,0.17,1.33,0.0038,0.0174,983386800,0.58,snow,1020.77,CO,983366935,983407726,46.64,983404800,15.66,983358000,983343600,7.77,131,3.75
0,2001-03-31 00:00:00,70.6,986083200,26.37,986043600,0.49,Otero,29.19,0.67,986022000Otero,38.02877367,-103.730325,0.23,,0.0003,0.0054,986058000,0.24,rain,1015.39,CO,986042521,986087887,70.6,986083200,32.81,986043600,986022000,9.33,78,5.04
