,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2000-01-01,52.97,946681200,40.82,946634400,0.8,custer,42.15,0.79,946710000custer,37.8267,-122.4233,0.82,,0,0,,0,,1017.74,MT,946653980,946688485,52.97,946681200,42.61,946630800,946627200,6.64,243,4.68
0,2000-01-31 00:00:00,41.97,949356000,-2.52,949327200,0.04,Logan,10.92,0.64,949302000Logan,40.72715138,-103.1583216,0.85,,0,0,,0,,1022.14,CO,949327510,949363764,41.97,949356000,9.68,949327200,949302000,9.48,281,4.37
0,2000-02-29 00:00:00,54.03,951865200,27.78,951832800,0.26,Logan,25.57,0.52,951807600Logan,40.72715138,-103.1583216,0.83,,0,0,,0,,1011.89,CO,951830911,951871468,54.03,951865200,30.1,951890400,951807600,9.95,350,7.81
0,2000-03-31 00:00:00,40.23,954547200,22.92,954500400,0.83,Logan,28.15,0.79,954486000Logan,40.72715138,-103.1583216,0.86,,0.0066,0.0169,954489600,0.58,rain,1025.6,CO,954506265,954551859,44.09,954547200,30.56,954504000,954486000,7.16,6,3.08
0,2000-04-30 00:00:00,61.09,957139200,30.25,957085200,0.72,Logan,36.4,0.74,957074400Logan,40.72715138,-103.1583216,0.88,,0.0188,0.107,957078000,0.79,rain,1021.7,CO,957095565,957145749,61.09,957139200,38.43,957157200,957074400,9.55,355,16.62
0,2000-05-31 00:00:00,73.29,959814000,51.63,959767200,0.7,Logan,53.71,0.81,959752800Logan,40.72715138,-103.1583216,0.93,,0.0011,0.0105,959770800,0.51,rain,1010.46,CO,959772314,959825914,73.29,959814000,51.63,959767200,959752800,7.4,114,7.17
0,2000-06-30 00:00:00,86.02,962402400,52.03,962362800,0.03,Logan,47.96,0.51,962344800Logan,40.72715138,-103.1583216,0.96,,0.0004,0.0099,962409600,0.51,rain,1011.75,CO,962364370,962418540,89.62,962402400,52.03,962362800,962344800,9.93,172,4.8
0,2000-07-31 00:00:00,88.86,965088000,54.93,965044800,0.02,Logan,49.66,0.49,965023200Logan,40.72715138,-103.1583216,0.03,,0,0,,0,,1017.12,CO,965044212,965095811,92.54,965088000,54.93,965044800,965023200,9.91,150,3.55
0,2000-08-31 00:00:00,76.93,967766400,54.92,967723200,0.51,Logan,54.53,0.8,967701600Logan,40.72715138,-103.1583216,0.09,,0.0049,0.0292,967701600,0.65,rain,1013.41,CO,967724448,967771660,76.93,967766400,54.92,967723200,967701600,9.57,30,4.34
0,2000-09-30 00:00:00,78.64,970344000,52.14,970318800,0.04,Logan,40.29,0.46,970293600Logan,40.72715138,-103.1583216,0.1,,0,0,,0,,1008.7,CO,970318200,970360631,80.09,970344000,52.14,970318800,970293600,9.97,273,8.42
0,2000-10-31 00:00:00,45.23,973022400,31.19,972993600,0.62,Logan,39.76,0.91,972975600Logan,40.72715138,-103.1583216,0.15,,0.0051,0.0326,973047600,0.66,rain,1008.03,CO,972998631,973036264,48.44,973022400,36.58,972986400,972975600,6.75,356,4.19
0,2000-11-30 00:00:00,39.15,975614400,12.84,975574800,0.2,Logan,19.6,0.59,975567600Logan,40.72715138,-103.1583216,0.15,,0,0,,0,,1018.28,CO,975592713,975626857,48.21,975614400,22.4,975582000,975567600,9.55,308,13.91
0,2000-12-31 00:00:00,23.12,978307200,-0.26,978246000,0.6,Logan,15.18,0.87,978246000Logan,40.72715138,-103.1583216,0.19,0.035,0.0001,0.0024,978310800,0.07,snow,1027.37,CO,978272274,978305782,30.33,978307200,9.31,978246000,978246000,5.94,222,3.23
0,2001-01-31 00:00:00,22.82,980978400,-1.24,980946000,0.14,Logan,10.25,0.66,980924400Logan,40.72715138,-103.1583216,0.23,,0,0,,0,,1022.23,CO,980949869,980986219,31.43,980978400,10.64,980949600,980924400,9.93,285,9.48
0,2001-02-28 00:00:00,35.74,983404800,-1.78,983358000,0.27,Logan,14.73,0.78,983343600Logan,40.72715138,-103.1583216,0.17,0.311,0.0011,0.0135,983386800,0.55,snow,1021.5,CO,983366935,983407451,41.82,983404800,8.96,983358000,983343600,9.09,202,5.14
0,2001-03-31 00:00:00,62.36,986083200,20.3,986032800,0.45,Logan,24.87,0.64,986022000Logan,40.72715138,-103.1583216,0.23,0.477,0.0019,0.0178,986032800,0.59,snow,1016.78,CO,986042291,986087843,62.36,986083200,26.96,986043600,986022000,9.2,309,5.07
0,2001-04-30 00:00:00,73.27,988671600,41.75,988632000,0.08,Logan,36.83,0.46,988610400Logan,40.72715138,-103.1583216,0.25,,0.0004,0.004,988610400,0.15,rain,1011.89,CO,988631585,988681733,73.27,988671600,45.78,988632000,988610400,9.98,285,6.82
0,2001-05-31 00:00:00,76.01,991353600,44.94,991306800,0.28,Logan,47.47,0.7,991288800Logan,40.72715138,-103.1583216,0.32,,0,0,,0,,1015.62,CO,991308321,991361902,76.01,991353600,44.94,991306800,991288800,9.1,333,2.77
0,2001-06-30 00:00:00,90.5,993934800,61.15,993902400,0.06,Logan,54.84,0.49,993880800Logan,40.72715138,-103.1583216,0.34,,0.0063,0.1508,993960000,0.82,rain,1013.29,CO,993900363,993954542,92.82,993934800,61.15,993902400,993880800,9.98,140,7.51
0,2001-07-31 00:00:00,89.21,996616800,70.19,996642000,0.17,Logan,56.72,0.48,996559200Logan,40.72715138,-103.1583216,0.39,,0.0054,0.1124,996627600,0.8,rain,1006.84,CO,996580197,996631828,91.48,996616800,70.19,996642000,996559200,9.94,220,3.4
0,2001-08-31 00:00:00,80.77,999302400,57.62,999259200,0.21,Logan,53.33,0.62,999237600Logan,40.72715138,-103.1583216,0.43,,0.0025,0.0222,999288000,0.61,rain,1012.46,CO,999260433,999307685,82.29,999302400,57.62,999259200,999237600,9.91,166,9.48
0,2001-09-30 00:00:00,78.4,1001894400,45.4,1001854800,0.05,Logan,47.33,0.63,1001829600Logan,40.72715138,-103.1583216,0.44,,0,0,,0,,1022.64,CO,1001854185,1001896657,78.4,1001894400,48.19,1001854800,1001829600,9.91,20,3.37
