,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2000-01-01,52.97,946681200,40.82,946634400,0.8,custer,42.15,0.79,946710000custer,37.8267,-122.4233,0.82,,0,0,,0,,1017.74,MT,946653980,946688485,52.97,946681200,42.61,946630800,946627200,6.64,243,4.68
0,2000-01-31 00:00:00,35.93,949356000,6.99,949327200,0.24,Baca,19.28,0.75,949302000Baca,37.34294033,-102.5426158,0.85,,0,0,,0,,1019.84,CO,949326941,949364037,40.82,949356000,15.6,949327200,949302000,5.72,237,1.66
0,2000-02-29 00:00:00,57.13,951865200,31.29,951825600,0.24,Baca,29.86,0.52,951807600Baca,37.34294033,-102.5426158,0.83,,0.0073,0.0514,951840000,0.72,rain,1008.85,CO,951830595,951871489,57.13,951865200,38.06,951890400,951807600,7.23,305,13.1
0,2000-03-31 00:00:00,37.14,954547200,26.22,954554400,0.96,Baca,33.83,0.92,954486000Baca,37.34294033,-102.5426158,0.86,,0.0301,0.091,954493200,0.78,rain,1020.88,CO,954506236,954551593,41.64,954547200,33.47,954565200,954486000,5.57,35,9.21
0,2000-04-30 00:00:00,57.97,957074400,38.06,957110400,0.93,Baca,43.81,0.81,957074400Baca,37.34294033,-102.5426158,0.88,,0.0474,0.4762,957078000,0.9,rain,1015.45,CO,957095803,957145215,57.97,957074400,45.74,957157200,957074400,8.72,342,14.95
0,2000-05-31 00:00:00,89.34,959806800,60.88,959774400,0.24,Baca,54.38,0.53,959752800Baca,37.34294033,-102.5426158,0.93,,0.015,0.35,959835600,0.88,rain,1005.55,CO,959772762,959825170,91.68,959806800,60.88,959774400,959752800,9.71,172,12.04
0,2000-06-30 00:00:00,86.03,962398800,59.58,962362800,0.17,Baca,58.13,0.62,962344800Baca,37.34294033,-102.5426158,0.96,,0,0,,0,,1010.69,CO,962364855,962417759,87.84,962398800,59.58,962362800,962344800,9.79,166,2.96
0,2000-07-31 00:00:00,86.27,965088000,58.66,965044800,0.06,Baca,53.64,0.53,965023200Baca,37.34294033,-102.5426158,0.03,,0,0,,0,,1016.46,CO,965044535,965095192,89.27,965088000,58.66,965044800,965023200,8.3,141,4.22
0,2000-08-31 00:00:00,86.53,967766400,63.76,967719600,0.12,Baca,52.52,0.46,967701600Baca,37.34294033,-102.5426158,0.09,,0,0,,0,,1008.32,CO,967724512,967771301,89.86,967766400,63.76,967719600,967701600,10,179,3.91
0,2000-09-30 00:00:00,84.32,970347600,55.95,970311600,0.01,Baca,40.47,0.36,970293600Baca,37.34294033,-102.5426158,0.1,,0,0,,0,,1008.15,CO,970317991,970360545,87.93,970347600,55.95,970311600,970293600,9.99,276,5.2
0,2000-10-31 00:00:00,66.97,973026000,39.65,973058400,0.24,Baca,38.28,0.6,972975600Baca,37.34294033,-102.5426158,0.15,,0,0,,0,,1006.67,CO,972998144,973036455,66.97,973026000,44.05,972997200,972975600,8.49,199,11.97
0,2000-11-30 00:00:00,60.66,975618000,20.91,975589200,0.01,Baca,23.55,0.55,975567600Baca,37.34294033,-102.5426158,0.15,,0,0,,0,,1016.23,CO,975592014,975627261,60.66,975618000,28.75,975589200,975567600,8.15,303,2.11
0,2000-12-31 00:00:00,31.52,978307200,5.8,978264000,0.44,Baca,17.87,0.85,978246000Baca,37.34294033,-102.5426158,0.19,,0,0,,0,,1025.67,CO,978271534,978306225,36.26,978307200,12.91,978264000,978246000,5.93,115,3.39
0,2001-01-31 00:00:00,28.33,980974800,6.08,980949600,0.18,Baca,17.75,0.76,980924400Baca,37.34294033,-102.5426158,0.23,0.105,0.0004,0.0092,980960400,0.5,snow,1021.88,CO,980949305,980986487,33.08,980974800,16.49,981007200,980924400,8.83,269,7.04
0,2001-02-28 00:00:00,49.58,983404800,2.92,983368800,0.88,Baca,18.01,0.86,983343600Baca,37.34294033,-102.5426158,0.17,4.44,0.0123,0.0613,983390400,0.74,snow,1021.16,CO,983366616,983407474,49.58,983404800,16.05,983343600,983343600,7.36,58,3.91
0,2001-03-31 00:00:00,72.81,986083200,27.21,986047200,0.36,Baca,31.97,0.67,986022000Baca,37.34294033,-102.5426158,0.23,,0,0,,0,,1015.34,CO,986042259,986087579,72.81,986083200,34.59,986043600,986022000,7.32,50,3.86
0,2001-04-30 00:00:00,83.73,988675200,51.07,988632000,0.01,Baca,41.65,0.45,988610400Baca,37.34294033,-102.5426158,0.25,,0,0,,0,,1011.4,CO,988631821,988681201,87.33,988675200,51.07,988632000,988610400,10,230,4.74
0,2001-05-31 00:00:00,77.82,991353600,45.57,991306800,0.12,Baca,52.4,0.72,991288800Baca,37.34294033,-102.5426158,0.32,,0.0008,0.01,991350000,0.51,rain,1014.29,CO,991308768,991361159,77.82,991353600,48.19,991306800,991288800,9.99,132,2.15
0,2001-06-30 00:00:00,90.22,993938400,66.4,993902400,0.05,Baca,56.58,0.47,993880800Baca,37.34294033,-102.5426158,0.34,,0,0,,0,,1012.74,CO,993900848,993953760,91.75,993938400,66.4,993902400,993880800,8.72,107,6.29
0,2001-07-31 00:00:00,91.82,996624000,73.15,996580800,0.07,Baca,57.5,0.44,996559200Baca,37.34294033,-102.5426158,0.39,,0,0,,0,,1008.41,CO,996580522,996631207,94.01,996624000,73.15,996580800,996559200,9.99,184,16.09
0,2001-08-31 00:00:00,83.39,999302400,59.23,999248400,0.19,Baca,56.37,0.65,999237600Baca,37.34294033,-102.5426158,0.43,,0.0038,0.04,999309600,0.69,rain,1011.76,CO,999260499,999307323,85.52,999302400,59.23,999248400,999237600,9.9,124,2.07
0,2001-09-30 00:00:00,79.9,1001887200,51.94,1001854800,0.05,Baca,45.78,0.51,1001829600Baca,37.34294033,-102.5426158,0.44,,0,0,,0,,1019.86,CO,1001853978,1001896568,81.34,1001887200,51.94,1001854800,1001829600,9.96,171,7.67
0,2001-10-31 00:00:00,80.19,1004562000,57.15,1004594400,0.01,Baca,35.15,0.33,1004511600Baca,37.34294033,-102.5426158,0.48,,0,0,,0,,1003.42,CO,1004534128,1004572472,82.71,1004562000,57.15,1004594400,1004511600,10,231,11.3
0,2001-11-30 00:00:00,53.71,1007157600,13.98,1007121600,0,Baca,16.02,0.43,1007103600Baca,37.34294033,-102.5426158,0.49,,0,0,,0,,1007.7,CO,1007127999,1007163264,53.71,1007157600,24.57,1007121600,1007103600,10,261,8.84
0,2001-12-31 00:00:00,20.32,1009832400,5.03,1009800000,0.48,Baca,14.61,0.85,1009782000Baca,37.34294033,-102.5426158,0.55,1.306,0.0046,0.0462,1009828800,0.7,snow,1023.35,CO,1009807532,1009842213,27.07,1009832400,13.1,1009800000,1009782000,8.09,238,4.53
