,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2000-01-01,52.97,946681200,40.82,946634400,0.8,custer,42.15,0.79,946710000custer,37.8267,-122.4233,0.82,,0,0,,0,,1017.74,MT,946653980,946688485,52.97,946681200,42.61,946630800,946627200,6.64,243,4.68
0,2000-01-31 00:00:00,34.35,949356000,6.28,949312800,0.18,Denver,10.16,0.53,949302000Denver,39.73194953,-104.7920906,0.85,,0,0,,0,,1020.5,CO,949327773,949364285,39.5,949356000,15.63,949320000,949302000,9.94,176,5.73
0,2000-02-29 00:00:00,54,951865200,28.61,951829200,0.46,Denver,23.06,0.47,951807600Denver,39.73194953,-104.7920906,0.83,,0,0,,0,,1011.88,CO,951831252,951871912,54,951865200,36.02,951829200,951807600,9.93,350,3.66
0,2000-03-31 00:00:00,32.2,954547200,17.04,954504000,0.97,Denver,27.06,0.9,954486000Denver,39.73194953,-104.7920906,0.86,2.89,0.0132,0.0643,954525600,0.74,snow,1026.33,CO,954506693,954552215,34.56,954547200,27.99,954511200,954486000,3.45,7,4.67
0,2000-04-30 00:00:00,54.62,957139200,27.67,957078000,0.9,Denver,34.15,0.74,957074400Denver,39.73194953,-104.7920906,0.88,,0.0099,0.076,957078000,0.76,rain,1022.58,CO,957096074,957146024,54.62,957139200,37.58,957081600,957074400,8.77,5,12.41
0,2000-05-31 00:00:00,81.91,959806800,53.29,959763600,0.47,Denver,53.76,0.68,959752800Denver,39.73194953,-104.7920906,0.93,,0,0,,0,,1007.73,CO,959772888,959826124,82.19,959806800,53.29,959763600,959752800,8.73,22,1.58
0,2000-06-30 00:00:00,84.88,962398800,55.14,962362800,0.4,Denver,46.33,0.45,962344800Denver,39.73194953,-104.7920906,0.96,,0,0,,0,,1011.37,CO,962364956,962418738,88.4,962398800,55.14,962362800,962344800,9.94,176,9.28
0,2000-07-31 00:00:00,85.47,965080800,56.04,965044800,0.15,Denver,43.82,0.4,965023200Denver,39.73194953,-104.7920906,0.03,,0,0,,0,,1017.65,CO,965044748,965096059,89.38,965080800,56.04,965044800,965023200,9.93,115,1.87
0,2000-08-31 00:00:00,74.65,967766400,54.6,967723200,0.67,Denver,52.04,0.76,967701600Denver,39.73194953,-104.7920906,0.09,,0.0087,0.1107,967770000,0.79,rain,1013.65,CO,967724905,967771987,74.65,967766400,54.6,967723200,967701600,9.64,104,2.49
0,2000-09-30 00:00:00,79.18,970344000,52.55,970318800,0.53,Denver,39.91,0.44,970293600Denver,39.73194953,-104.7920906,0.1,,0,0,,0,,1010.44,CO,970318574,970361041,79.18,970344000,52.55,970318800,970293600,10,223,5.39
0,2000-10-31 00:00:00,39.45,973036800,29.29,972993600,0.71,Denver,35.63,0.85,972975600Denver,39.73194953,-104.7920906,0.15,,0.002,0.0173,973051200,0.58,rain,1008.27,CO,972998920,973036759,44.11,973036800,34.25,972993600,972975600,7.18,306,2.27
0,2000-11-30 00:00:00,50.15,975618000,18.57,975578400,0.22,Denver,15.87,0.46,975567600Denver,39.73194953,-104.7920906,0.15,,0,0,,0,,1017.34,CO,975592937,975627417,50.15,975618000,24.21,975567600,975567600,9.94,305,8.18
0,2000-12-31 00:00:00,32.92,978289200,7.31,978271200,0.43,Denver,18.27,0.8,978246000Denver,39.73194953,-104.7920906,0.19,,0,0,,0,,1024.46,CO,978272485,978306355,36.61,978289200,15.79,978271200,978246000,9.19,168,2.52
0,2001-01-31 00:00:00,30.13,980982000,1.66,980946000,0.5,Denver,8.76,0.59,980924400Denver,39.73194953,-104.7920906,0.23,,0,0,,0,,1021.93,CO,980950134,980986738,30.13,980982000,13.63,980949600,980924400,9.93,192,5.53
0,2001-02-28 00:00:00,37.05,983404800,8.76,983343600,0.79,Denver,19.77,0.8,983343600Denver,39.73194953,-104.7920906,0.17,0.215,0.0008,0.0085,983379600,0.45,snow,1018.48,CO,983367275,983407895,39.81,983404800,16.82,983358000,983343600,7.17,131,0.76
0,2001-03-31 00:00:00,57.63,986083200,19.49,986043600,0.59,Denver,27.62,0.73,986022000Denver,39.73194953,-104.7920906,0.23,0.553,0.0025,0.0171,986058000,0.58,snow,1015.92,CO,986042718,986088200,57.63,986083200,27.1,986047200,986022000,8.38,105,3.22
0,2001-04-30 00:00:00,74.31,988675200,43.98,988628400,0.54,Denver,31.2,0.37,988610400Denver,39.73194953,-104.7920906,0.25,,0.0001,0.0011,988642800,0.02,rain,1013.01,CO,988632094,988682008,74.31,988675200,47.17,988624800,988610400,9.94,193,2.45
0,2001-05-31 00:00:00,74.74,991353600,43.66,991303200,0.35,Denver,46.46,0.65,991288800Denver,39.73194953,-104.7920906,0.32,,0.0001,0.0013,991306800,0.02,rain,1015.92,CO,991308895,991362112,74.74,991353600,45.98,991306800,991288800,9.62,74,1.91
0,2001-06-30 00:00:00,91.55,993931200,62.69,993902400,0.56,Denver,44.65,0.32,993880800Denver,39.73194953,-104.7920906,0.34,,0.0004,0.0108,993938400,0.52,rain,1012.35,CO,993900949,993954740,96.25,993931200,62.69,993902400,993880800,10,173,4.99
0,2001-07-31 00:00:00,85.85,996616800,64.51,996642000,0.61,Denver,50.08,0.41,996559200Denver,39.73194953,-104.7920906,0.39,,0.0126,0.2941,996627600,0.87,rain,1007.83,CO,996580734,996632075,88.54,996616800,64.51,996642000,996559200,9.92,229,3.78
0,2001-08-31 00:00:00,79.37,999284400,57.97,999262800,0.61,Denver,47.62,0.51,999237600Denver,39.73194953,-104.7920906,0.43,,0.0013,0.0175,999306000,0.58,rain,1012.25,CO,999260890,999308011,79.37,999284400,57.97,999262800,999237600,9.96,206,5.81
0,2001-09-30 00:00:00,74.16,1001887200,47.54,1001854800,0.31,Denver,44.15,0.57,1001829600Denver,39.73194953,-104.7920906,0.44,,0,0,,0,,1023.18,CO,1001854559,1001897066,74.16,1001887200,48.89,1001854800,1001829600,9.99,322,0.42
0,2001-10-31 00:00:00,70.5,1004554800,45.73,1004594400,0.54,Denver,27.46,0.3,1004511600Denver,39.73194953,-104.7920906,0.48,,0,0,,0,,1003.18,CO,1004534902,1004572777,70.5,1004554800,48.64,1004594400,1004511600,9.82,239,9.95
0,2001-11-30 00:00:00,36.46,1007154000,15.55,1007103600,0.54,Denver,16.21,0.54,1007103600Denver,39.73194953,-104.7920906,0.49,,0,0,,0,,1008.95,CO,1007128922,1007163422,41.84,1007154000,22.88,1007103600,1007103600,9.95,228,4.34
0,2001-12-31 00:00:00,27.25,1009836000,1.87,1009800000,0.43,Denver,15.58,0.76,1009782000Denver,39.73194953,-104.7920906,0.55,,0,0,,0,,1021.61,CO,1009808483,1009842342,35.34,1009836000,12.02,1009800000,1009782000,9.54,110,4.92
0,2002-01-31 00:00:00,28.28,1012521600,2.81,1012474800,0.37,Denver,5.28,0.58,1012460400Denver,39.73194953,-104.7920906,0.61,0.044,0.0001,0.0012,1012471200,0.02,snow,1023.05,CO,1012486148,1012522719,33.75,1012521600,6.01,1012485600,1012460400,9.59,337,3.55
0,2002-02-28 00:00:00,40,1014926400,0.15,1014940800,0.57,Denver,13.97,0.58,1014879600Denver,39.73194953,-104.7920906,0.55,0.445,0.0014,0.0198,1014958800,0.6,snow,1010.02,CO,1014903298,1014943878,44.67,1014926400,12.66,1014940800,1014879600,8.3,80,4.43
0,2002-03-31 00:00:00,70.06,1017619200,18.8,1017579600,0.36,Denver,24.89,0.51,1017558000Denver,39.73194953,-104.7920906,0.61,,0,0,,0,,1015.67,CO,1017578743,1017624184,70.06,1017619200,26.71,1017576000,1017558000,9.98,144,2.33
0,2002-04-30 00:00:00,74.63,1020204000,39.85,1020160800,0.21,Denver,33.19,0.41,1020146400Denver,39.73194953,-104.7920906,0.63,,0.0004,0.0087,1020211200,0.46,rain,1003.45,CO,1020168113,1020217992,74.63,1020204000,44.35,1020160800,1020146400,9.6,92,2.62
0,2002-05-31 00:00:00,86.31,1022878800,64.11,1022846400,0.35,Denver,38.32,0.26,1022824800Denver,39.73194953,-104.7920906,0.68,,0,0,,0,,1008.34,CO,1022844901,1022898101,90.45,1022878800,64.11,1022846400,1022824800,9.95,168,3.14
0,2002-06-30 00:00:00,89.49,1025481600,63.51,1025434800,0.15,Denver,36,0.23,1025416800Denver,39.73194953,-104.7920906,0.69,,0,0,,0,,1011.51,CO,1025436942,1025490741,94.39,1025481600,63.51,1025434800,1025416800,8.12,119,4.6
0,2002-07-31 00:00:00,91.55,1028145600,66.17,1028116800,0.4,Denver,33.13,0.19,1028095200Denver,39.73194953,-104.7920906,0.73,,0,0,,0,,1009.39,CO,1028116719,1028168091,97.54,1028145600,66.17,1028116800,1028095200,9.94,167,3.05
0,2002-08-31 00:00:00,83.52,1030831200,60.09,1030798800,0.45,Denver,40.25,0.35,1030773600Denver,39.73194953,-104.7920906,0.77,,0,0,,0,,1015.26,CO,1030796876,1030844036,87.31,1030831200,60.09,1030798800,1030773600,9.94,188,3.53
0,2002-09-30 00:00:00,74.49,1033426800,48.49,1033387200,0.2,Denver,29.23,0.32,1033365600Denver,39.73194953,-104.7920906,0.79,,0,0,,0,,1006.61,CO,1033390544,1033433092,74.49,1033426800,49.9,1033387200,1033365600,9.95,218,2.69
0,2002-10-31 00:00:00,12.44,1036083600,7.7,1036101600,0.93,Denver,17.18,0.96,1036047600Denver,39.73194953,-104.7920906,0.85,0.523,0.0014,0.0254,1036083600,0.63,snow,1026.38,CO,1036070885,1036108795,20.16,1036083600,16.37,1036065600,1036047600,3.87,37,3.72
0,2002-11-30 00:00:00,46.88,1038693600,14.9,1038664800,0.33,Denver,18.15,0.54,1038639600Denver,39.73194953,-104.7920906,0.87,,0,0,,0,,1024.53,CO,1038664906,1038699426,46.88,1038693600,23.72,1038664800,1038639600,10,161,4.91
0,2002-12-31 00:00:00,53.01,1041372000,18.49,1041325200,0.47,Denver,13.02,0.42,1041318000Denver,39.73194953,-104.7920906,0.93,,0,0,,0,,1009.19,CO,1041344481,1041378330,53.01,1041372000,25.37,1041343200,1041318000,9.87,145,0.41
0,2003-01-31 00:00:00,61.42,1044050400,18.68,1044014400,0.59,Denver,25.38,0.53,1043996400Denver,39.73194953,-104.7920906,0.98,,0,0,,0,,1018.6,CO,1044022162,1044058701,61.42,1044050400,28.16,1044014400,1043996400,9.77,233,4.98
0,2003-02-28 00:00:00,24.62,1046466000,15.61,1046433600,0.97,Denver,24.02,0.91,1046415600Denver,39.73194953,-104.7920906,0.93,1.41,0.0056,0.0254,1046455200,0.63,snow,1011.31,CO,1046439321,1046479861,28.6,1046466000,23.35,1046437200,1046415600,4.89,328,1.91
0,2003-03-31 00:00:00,67.48,1049148000,31.62,1049115600,0.4,Denver,25.74,0.41,1049094000Denver,39.73194953,-104.7920906,0.97,,0,0,,0,,1015.1,CO,1049114768,1049160169,67.48,1049148000,37.74,1049115600,1049094000,9.97,209,6.61
0,2003-04-30 00:00:00,57.17,1051740000,38.82,1051758000,0.68,Denver,41.88,0.8,1051682400Denver,39.73194953,-104.7920906,0.98,,0.0051,0.092,1051729200,0.78,rain,1006.11,CO,1051704132,1051753976,57.17,1051740000,41.46,1051704000,1051682400,8.36,44,4.97
0,2003-05-31 00:00:00,78.37,1054411200,56.14,1054375200,0.76,Denver,54.7,0.72,1054360800Denver,39.73194953,-104.7920906,0.02,,0.052,0.495,1054400400,0.9,rain,1011.33,CO,1054380908,1054434090,78.37,1054411200,56.14,1054375200,1054360800,9.38,187,2.66
0,2003-06-30 00:00:00,84.11,1057017600,57.3,1056974400,0.21,Denver,50.96,0.55,1056952800Denver,39.73194953,-104.7920906,0.03,,0,0,,0,,1015.08,CO,1056972935,1057026742,87.59,1057017600,57.3,1056974400,1056952800,9.74,152,4.11
0,2003-07-31 00:00:00,86.64,1059681600,63.32,1059645600,0.47,Denver,45.08,0.36,1059631200Denver,39.73194953,-104.7920906,0.08,,0.0002,0.0046,1059660000,0.19,rain,1013.46,CO,1059652705,1059704106,90.61,1059681600,63.32,1059645600,1059631200,9.93,252,3.21
0,2003-08-31 00:00:00,72.48,1062374400,51.73,1062331200,0.59,Denver,52.1,0.76,1062309600Denver,39.73194953,-104.7920906,0.14,,0.0257,0.2707,1062309600,0.86,rain,1020.36,CO,1062332862,1062380060,72.48,1062374400,51.73,1062331200,1062309600,8.58,247,0.82
0,2003-09-30 00:00:00,52.77,1064966400,30.79,1064923200,0.58,Denver,37.29,0.8,1064901600Denver,39.73194953,-104.7920906,0.17,,0,0,,0,,1026.02,CO,1064926529,1064969117,52.77,1064966400,35.91,1064984400,1064901600,9.11,46,1.61
0,2003-10-31 00:00:00,25.15,1067644800,14.49,1067612400,1,Denver,25.55,0.97,1067583600Denver,39.73194953,-104.7920906,0.23,0.32,0.0012,0.0084,1067641200,0.44,snow,1021.9,CO,1067606867,1067644814,31.41,1067644800,22.94,1067612400,1067583600,2.95,355,4.56
0,2003-11-30 00:00:00,60.46,1070218800,25.8,1070258400,0.57,Denver,29.45,0.54,1070175600Denver,39.73194953,-104.7920906,0.25,,0,0,,0,,1018.13,CO,1070200890,1070235430,60.46,1070218800,33.11,1070258400,1070175600,10,137,2.33
0,2003-12-31 00:00:00,50.02,1072900800,14.8,1072879200,0.55,Denver,17.15,0.48,1072854000Denver,39.73194953,-104.7920906,0.29,,0.0002,0.0052,1072886400,0.23,rain,1011.94,CO,1072880478,1072914318,50.02,1072900800,24.59,1072879200,1072854000,9.97,200,5.02
0,2004-01-31 00:00:00,33.32,1075536000,16.32,1075586400,0.79,Denver,23.22,0.79,1075532400Denver,39.73194953,-104.7920906,0.33,1.151,0.0055,0.0495,1075572000,0.71,snow,1005.54,CO,1075558175,1075594682,38.07,1075536000,19.83,1075615200,1075532400,6.81,47,4.16
0,2004-02-29 00:00:00,25.56,1078099200,18.01,1078092000,0.93,Denver,25.88,0.84,1078038000Denver,39.73194953,-104.7920906,0.3,0.977,0.005,0.0444,1078074000,0.7,snow,1003.1,CO,1078061655,1078102309,33.55,1078099200,27.38,1078059600,1078038000,7.47,352,10.14
0,2004-03-31 00:00:00,73.85,1080770400,35.31,1080738000,0.14,Denver,12.19,0.19,1080716400Denver,39.73194953,-104.7920906,0.34,,0.0001,0.0026,1080741600,0.08,rain,1013.09,CO,1080737096,1080782613,73.85,1080770400,39.89,1080738000,1080716400,9.59,176,5.18
0,2004-04-30 00:00:00,36.95,1083369600,22.87,1083387600,0.96,Denver,30.44,0.95,1083304800Denver,39.73194953,-104.7920906,0.35,1.459,0.0077,0.0303,1083358800,0.65,snow,1023.86,CO,1083326477,1083376421,43.23,1083369600,29.85,1083312000,1083304800,3.64,348,5.87
0,2004-05-31 00:00:00,71.3,1086040800,39.08,1086004800,0.3,Denver,24.25,0.29,1085983200Denver,39.73194953,-104.7920906,0.41,,0.0007,0.013,1086012000,0.54,rain,1009.62,CO,1086003289,1086056522,71.3,1086040800,44.19,1086004800,1085983200,10,296,9.93
0,2004-06-30 00:00:00,68.28,1088614800,53.59,1088593200,0.75,Denver,54.81,0.85,1088575200Denver,39.73194953,-104.7920906,0.44,,0.0113,0.0604,1088643600,0.73,rain,1015.45,CO,1088595355,1088649138,68.28,1088614800,53.59,1088593200,1088575200,9.31,224,1.41
0,2004-07-31 00:00:00,84.44,1091304000,58.01,1091271600,0.28,Denver,41.71,0.36,1091253600Denver,39.73194953,-104.7920906,0.51,,0.0009,0.0183,1091329200,0.59,rain,1011.6,CO,1091275146,1091326462,88.18,1091304000,58.01,1091271600,1091253600,9.98,202,4.64
0,2004-08-31 00:00:00,78.95,1093986000,53.15,1093953600,0.42,Denver,43.19,0.48,1093932000Denver,39.73194953,-104.7920906,0.56,,0,0,,0,,1020.07,CO,1093955303,1094002391,80.23,1093986000,53.15,1093953600,1093932000,9.66,183,2.51
0,2004-09-30 00:00:00,54.4,1096578000,45.02,1096538400,0.75,Denver,46.42,0.87,1096524000Denver,39.73194953,-104.7920906,0.58,,0.0128,0.0718,1096563600,0.75,rain,1008.21,CO,1096548972,1096591445,54.4,1096578000,47.32,1096538400,1096524000,9.2,341,1.28
0,2004-10-31 00:00:00,52.16,1099252800,15.47,1099288800,0.54,Denver,22.42,0.58,1099202400Denver,39.73194953,-104.7920906,0.62,,0.0094,0.0413,1099285200,0.69,rain,1008.96,CO,1099229317,1099267161,52.16,1099252800,28.89,1099288800,1099202400,8.39,37,2.26
0,2004-11-30 00:00:00,32.69,1101852000,-7.39,1101798000,0.12,Denver,8.96,0.63,1101798000Denver,39.73194953,-104.7920906,0.62,,0,0,,0,,1022.12,CO,1101823335,1101857818,36.88,1101852000,5.62,1101812400,1101798000,9.25,196,6.46
0,2004-12-31 00:00:00,39.67,1104530400,16.9,1104559200,0.28,Denver,18.63,0.59,1104476400Denver,39.73194953,-104.7920906,0.66,,0,0,,0,,1011.52,CO,1104502885,1104536753,41.94,1104530400,24.55,1104559200,1104476400,9.89,205,3.02
0,2005-01-31 00:00:00,34.7,1107205200,14.51,1107237600,0.68,Denver,24.37,0.85,1107154800Denver,39.73194953,-104.7920906,0.7,0.993,0.0043,0.0185,1107165600,0.59,snow,1025.89,CO,1107180536,1107217135,34.7,1107205200,22.15,1107234000,1107154800,7.05,319,2.03
0,2005-02-28 00:00:00,41.47,1109631600,14.19,1109595600,0.25,Denver,17.34,0.59,1109574000Denver,39.73194953,-104.7920906,0.65,,0,0,,0,,1016.65,CO,1109597678,1109638292,44.47,1109631600,20.17,1109592000,1109574000,9.93,109,1.54
0,2005-03-31 00:00:00,57.21,1112313600,15.32,1112277600,0.79,Denver,23.9,0.73,1112252400Denver,39.73194953,-104.7920906,0.71,0.301,0.0015,0.0103,1112299200,0.51,snow,1024.67,CO,1112273121,1112318598,57.21,1112313600,25.73,1112335200,1112252400,7.08,4,10.97
0,2005-04-30 00:00:00,41.66,1114880400,25.64,1114902000,0.83,Denver,31.39,0.91,1114840800Denver,39.73194953,-104.7920906,0.73,,0.0031,0.0169,1114902000,0.58,rain,1021.56,CO,1114862496,1114912406,41.66,1114880400,29.73,1114862400,1114840800,6.62,349,1.47
0,2005-05-31 00:00:00,75.86,1117584000,40.14,1117540800,0.51,Denver,42.38,0.69,1117519200Denver,39.73194953,-104.7920906,0.79,,0.0002,0.004,1117584000,0.16,rain,1012.39,CO,1117539296,1117592511,75.86,1117584000,42.14,1117540800,1117519200,8.95,140,2.3
0,2005-06-30 00:00:00,79.48,1120165200,52.27,1120125600,0.28,Denver,42.11,0.44,1120111200Denver,39.73194953,-104.7920906,0.82,,0,0,,0,,1013.64,CO,1120131348,1120185140,79.48,1120165200,52.27,1120125600,1120111200,9.36,153,3.76
0,2005-07-31 00:00:00,84.72,1122843600,60.53,1122804000,0.49,Denver,43.49,0.36,1122789600Denver,39.73194953,-104.7920906,0.87,,0,0.0008,1122822000,0,,1017.01,CO,1122811132,1122862477,88.41,1122843600,60.53,1122804000,1122789600,8.4,296,1.09
0,2005-08-31 00:00:00,73.65,1125532800,46.35,1125489600,0.31,Denver,30.51,0.35,1125468000Denver,39.73194953,-104.7920906,0.91,,0.0001,0.0016,1125500400,0.03,rain,1016.74,CO,1125491288,1125538415,73.65,1125532800,47.52,1125493200,1125468000,8.51,60,3.44
0,2005-09-30 00:00:00,79.56,1128124800,50.14,1128085200,0.29,Denver,31.85,0.37,1128060000Denver,39.73194953,-104.7920906,0.91,,0,0,,0,,1009.29,CO,1128084957,1128127470,79.56,1128124800,50.14,1128085200,1128060000,8.76,227,1.99
0,2005-10-31 00:00:00,57.05,1130803200,25.36,1130767200,0.39,Denver,26.19,0.62,1130742000Denver,39.73194953,-104.7920906,0.95,,0.0009,0.0046,1130745600,0.19,rain,1027,CO,1130765300,1130803180,57.05,1130803200,29.79,1130763600,1130742000,6.68,206,3.77
0,2005-11-30 00:00:00,23.78,1133377200,6.96,1133416800,0.4,Denver,6.48,0.42,1133334000Denver,39.73194953,-104.7920906,0.97,0.587,0.0023,0.0118,1133362800,0.53,snow,1011.92,CO,1133359319,1133393822,36.49,1133377200,16.41,1133416800,1133334000,9.75,307,7.76
