,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2012-10-01,74.48,1349046000,53.37,1349006400,0.06,custer,49.57,0.67,1349071200custer,37.8267,-122.4233,0.53,,0,0,,0,,1016.59,MT,1349013968,1349056513,74.48,1349046000,53.37,1349006400,1348988400,10,278,2.62
0,2012-10-01 00:00:00,77.08,1349128800,32.57,1349096400,0,phillips,34.67,0.53,1349071200phillips,48.250143,-107.928897,0.55,,0,0,,0,,1018.97,MT,1349097180,1349139105,77.08,1349128800,34.87,1349092800,1349071200,10,218,5.72
0,2012-10-02 00:00:00,68.47,1349211600,41.86,1349240400,0.16,phillips,35.52,0.43,1349157600phillips,48.250143,-107.928897,0.58,,0.0015,0.0256,1349240400,0.63,rain,1007.44,MT,1349183665,1349225380,68.47,1349211600,47.01,1349240400,1349157600,9.9,329,5.73
0,2012-10-03 00:00:00,39.68,1349244000,30.32,1349265600,0.93,phillips,35.57,0.84,1349244000phillips,48.250143,-107.928897,0.61,,0.0116,0.0481,1349265600,0.71,rain,1025.3,MT,1349270150,1349311657,45.53,1349244000,36.68,1349323200,1349244000,8.74,358,10.21
0,2012-10-04 00:00:00,39.73,1349391600,31.64,1349352000,0.84,phillips,31.73,0.81,1349330400phillips,48.250143,-107.928897,0.64,,0.0016,0.0108,1349388000,0.51,rain,1032.31,MT,1349356636,1349397934,42.26,1349391600,32.81,1349344800,1349330400,9.67,5,2.22
0,2012-10-05 00:00:00,34.77,1349470800,24.52,1349438400,0.55,phillips,27.34,0.79,1349416800phillips,48.250143,-107.928897,0.67,,0.0025,0.0257,1349456400,0.63,rain,1032.63,MT,1349443122,1349484211,40.98,1349470800,26.44,1349499600,1349416800,9.65,22,2.86
0,2012-10-06 00:00:00,50.39,1349564400,15.65,1349524800,0.16,phillips,22.64,0.66,1349503200phillips,48.250143,-107.928897,0.7,,0.0001,0.0013,1349582400,0.02,rain,1028.35,MT,1349529608,1349570489,50.39,1349564400,20.89,1349528400,1349503200,10,244,5.38
0,2012-10-07 00:00:00,61.19,1349650800,26.59,1349618400,0.21,phillips,32.23,0.61,1349589600phillips,48.250143,-107.928897,0.73,,0.0001,0.0013,1349593200,0.02,rain,1015.14,MT,1349616094,1349656767,61.19,1349650800,33.66,1349593200,1349589600,10,267,9.17
0,2012-10-08 00:00:00,51.04,1349676000,32.36,1349758800,0.71,phillips,35.07,0.65,1349676000phillips,48.250143,-107.928897,0.77,,0.0014,0.0069,1349740800,0.33,rain,1013.18,MT,1349702581,1349743046,51.04,1349676000,39.57,1349755200,1349676000,9.71,303,12.04
0,2012-10-09 00:00:00,50.89,1349820000,24.82,1349791200,0.55,phillips,29.34,0.67,1349762400phillips,48.250143,-107.928897,0.8,,0.0001,0.0018,1349769600,0.04,rain,1020.04,MT,1349789068,1349829326,50.89,1349820000,31.05,1349791200,1349762400,10,283,6.82
0,2012-10-10 00:00:00,59.7,1349895600,29,1349863200,0.46,phillips,32.35,0.63,1349848800phillips,48.250143,-107.928897,0.83,,0,0,,0,,1015.3,MT,1349875555,1349915606,59.7,1349895600,34.63,1349863200,1349848800,9.96,332,4.61
0,2012-10-11 00:00:00,34.62,1349996400,24.13,1349953200,0.8,phillips,29.73,0.82,1349935200phillips,48.250143,-107.928897,0.86,,0.001,0.0056,1349938800,0.25,rain,1025.25,MT,1349962043,1350001887,40.39,1349996400,30.44,1349960400,1349935200,8.46,88,5.86
0,2012-10-12 00:00:00,70.09,1350079200,23.27,1350043200,0.03,phillips,31.73,0.62,1350021600phillips,48.250143,-107.928897,0.9,,0,0,,0,,1009.63,MT,1350048531,1350088169,70.09,1350079200,29.82,1350039600,1350021600,9.04,216,3.45
0,2012-10-13 00:00:00,64.3,1350169200,36.28,1350136800,0.38,phillips,35.56,0.55,1350108000phillips,48.250143,-107.928897,0.93,,0.0001,0.0013,1350151200,0.02,rain,1010.88,MT,1350135020,1350174451,64.3,1350169200,40.86,1350136800,1350108000,9.85,273,7.78
0,2012-10-14 00:00:00,68.15,1350252000,37.68,1350223200,0.28,phillips,37.19,0.53,1350194400phillips,48.250143,-107.928897,0.97,,0,0,,0,,1014.49,MT,1350221508,1350260735,68.15,1350252000,42.24,1350223200,1350194400,9.85,253,10.9
0,2012-10-15 00:00:00,65.37,1350327600,44.28,1350363600,0.37,phillips,40.04,0.53,1350280800phillips,48.250143,-107.928897,0.01,,0.0003,0.0026,1350331200,0.08,rain,1006.1,MT,1350307998,1350347019,65.37,1350327600,47.88,1350363600,1350280800,10,254,9.93
0,2012-10-16 00:00:00,57.39,1350421200,33.92,1350450000,0.48,phillips,40.56,0.68,1350367200phillips,48.250143,-107.928897,0.04,,0.0082,0.0437,1350417600,0.7,rain,997.29,MT,1350394487,1350433304,57.39,1350421200,43.82,1350450000,1350367200,9.57,257,12.74
0,2012-10-17 00:00:00,40.35,1350504000,29.03,1350482400,0.44,phillips,24.99,0.49,1350453600phillips,48.250143,-107.928897,0.08,,0.0013,0.0194,1350453600,0.59,rain,1009.93,MT,1350480977,1350519590,48.85,1350504000,37.48,1350482400,1350453600,9.97,298,22.97
0,2012-10-18 00:00:00,53.43,1350597600,21.05,1350565200,0.09,phillips,23.23,0.54,1350540000phillips,48.250143,-107.928897,0.12,,0,0,,0,,1020.84,MT,1350567467,1350605877,53.43,1350597600,30.44,1350568800,1350540000,10,297,9.46
0,2012-10-19 00:00:00,65.3,1350684000,24.3,1350633600,0.1,phillips,30.93,0.57,1350626400phillips,48.250143,-107.928897,0.16,,0,0,,0,,1007.45,MT,1350653958,1350692166,65.3,1350684000,31.19,1350633600,1350626400,9.97,212,4.81
0,2012-10-20 00:00:00,62.71,1350759600,36.76,1350795600,0.39,phillips,32.28,0.48,1350712800phillips,48.250143,-107.928897,0.2,,0,0,,0,,1000.93,MT,1350740449,1350778455,62.71,1350759600,42.31,1350795600,1350712800,10,270,10.2
0,2012-10-21 00:00:00,49.42,1350853200,25.3,1350820800,0.35,phillips,24.57,0.58,1350799200phillips,48.250143,-107.928897,0.23,,0,0,,0,,1014.07,MT,1350826940,1350864745,49.42,1350853200,30.31,1350828000,1350799200,9.56,96,1.71
0,2012-10-22 00:00:00,34.77,1350936000,27.36,1350918000,0.8,phillips,32.96,0.83,1350885600phillips,48.250143,-107.928897,0.27,,0.0092,0.0666,1350957600,0.74,rain,1012.29,MT,1350913432,1350951036,41.94,1350936000,34.09,1350918000,1350885600,8.81,92,10.19
0,2012-10-23 00:00:00,26.01,1351026000,15.42,1351054800,0.7,phillips,27.41,0.82,1350972000phillips,48.250143,-107.928897,0.3,,0.0007,0.0053,1351047600,0.23,rain,1010.97,MT,1350999924,1351037329,36.28,1351026000,26.11,1351054800,1350972000,8.14,275,9.88
0,2012-10-24 00:00:00,24.2,1351116000,9.42,1351087200,0.81,phillips,20.19,0.75,1351058400phillips,48.250143,-107.928897,0.34,0.022,0.0001,0.0018,1351062000,0.04,snow,1022.2,MT,1351086416,1351123623,33.52,1351116000,22.04,1351087200,1351058400,9.91,282,11.01
0,2012-10-25 00:00:00,17.27,1351198800,14.38,1351188000,0.97,phillips,18.56,0.71,1351144800phillips,48.250143,-107.928897,0.37,,0,0,,0,,1030.53,MT,1351172908,1351209918,28.63,1351198800,25.47,1351227600,1351144800,9.88,301,12.59
0,2012-10-26 00:00:00,33.5,1351285200,13.52,1351252800,0.72,phillips,18.06,0.7,1351231200phillips,48.250143,-107.928897,0.4,0.079,0.0003,0.0033,1351303200,0.11,snow,1030.1,MT,1351259401,1351296214,33.5,1351285200,20.93,1351252800,1351231200,8.95,291,2.57
0,2012-10-27 00:00:00,25.16,1351375200,14.96,1351339200,0.93,phillips,23.01,0.84,1351317600phillips,48.250143,-107.928897,0.44,0.023,0.0001,0.0013,1351386000,0.02,snow,1023.75,MT,1351345894,1351382511,32.24,1351375200,23.32,1351339200,1351317600,9.18,94,7.47
0,2012-10-28 00:00:00,42.62,1351458000,19.27,1351414800,0.77,phillips,30.72,0.81,1351404000phillips,48.250143,-107.928897,0.47,,0.0002,0.0018,1351411200,0.04,rain,1015.07,MT,1351432388,1351468810,45.36,1351458000,28.14,1351414800,1351404000,8.67,117,5.89
0,2012-10-29 00:00:00,48.73,1351548000,28.66,1351522800,0.58,phillips,36.34,0.86,1351490400phillips,48.250143,-107.928897,0.49,,0.0013,0.0086,1351533600,0.45,rain,1013.96,MT,1351518881,1351555111,49.47,1351548000,33.08,1351512000,1351490400,7.17,153,2.46
0,2012-10-30 00:00:00,62.57,1351634400,30.03,1351602000,0.14,phillips,35.75,0.68,1351576800phillips,48.250143,-107.928897,0.53,,0,0,,0,,1014.99,MT,1351605375,1351641413,62.57,1351634400,36.19,1351602000,1351576800,8.68,232,6.04
0,2012-10-31 00:00:00,36.87,1351717200,27.58,1351746000,0.63,phillips,33.63,0.82,1351663200phillips,48.250143,-107.928897,0.56,,0,0,,0,,1018.58,MT,1351691869,1351727716,42.2,1351717200,34.67,1351746000,1351663200,9.63,65,4.75
0,2012-11-01 00:00:00,40.3,1351807200,25.53,1351753200,0.81,phillips,34.91,0.88,1351749600phillips,48.250143,-107.928897,0.59,,0.0017,0.0147,1351832400,0.56,rain,1013.52,MT,1351778363,1351814021,44.08,1351807200,33.73,1351753200,1351749600,7.61,97,7.99
0,2012-11-02 00:00:00,36.39,1351893600,31.92,1351861200,0.88,phillips,34.67,0.85,1351836000phillips,48.250143,-107.928897,0.62,,0.0017,0.0179,1351839600,0.58,rain,1018.53,MT,1351864857,1351900327,43.04,1351893600,35.46,1351864800,1351836000,8.81,302,5.56
0,2012-11-03 00:00:00,39.8,1351980000,28.65,1351954800,0.65,phillips,32,0.81,1351922400phillips,48.250143,-107.928897,0.65,,0.0003,0.0053,1351998000,0.23,rain,1021.49,MT,1351951351,1351986635,43.78,1351980000,32.45,1351954800,1351922400,9.33,104,3.97
0,2012-11-04 00:00:00,52.02,1352066400,31.28,1352080800,0.42,phillips,35.16,0.77,1352008800phillips,48.250143,-107.928897,0.68,,0.0005,0.0048,1352016000,0.2,rain,1021.53,MT,1352037845,1352072944,52.02,1352066400,34.27,1352084400,1352008800,8.81,292,4.28
0,2012-11-05 00:00:00,65.19,1352145600,27.45,1352181600,0.2,phillips,36.34,0.68,1352098800phillips,48.250143,-107.928897,0.71,,0.0001,0.0013,1352134800,0.02,rain,1017.37,MT,1352124339,1352159256,65.19,1352145600,33.41,1352181600,1352098800,9.34,268,6.27
0,2012-11-06 00:00:00,52.76,1352235600,25.58,1352192400,0.19,phillips,30.05,0.69,1352185200phillips,48.250143,-107.928897,0.75,,0,0,,0,,1020.89,MT,1352210834,1352245569,52.76,1352235600,30.45,1352210400,1352185200,10,224,1.8
0,2012-11-07 00:00:00,59.21,1352322000,31.1,1352354400,0.34,phillips,32.51,0.57,1352271600phillips,48.250143,-107.928897,0.78,,0.0003,0.0048,1352336400,0.2,rain,1008.72,MT,1352297328,1352331884,59.21,1352322000,37.62,1352354400,1352271600,9.97,275,5.07
0,2012-11-08 00:00:00,28.25,1352358000,14.78,1352437200,0.94,phillips,27.15,0.85,1352358000phillips,48.250143,-107.928897,0.81,1.151,0.0053,0.0263,1352408400,0.63,snow,1019.07,MT,1352383822,1352418200,35.42,1352358000,27.84,1352437200,1352358000,6.13,65,7.2
0,2012-11-09 00:00:00,14.42,1352444400,10.32,1352523600,1,phillips,20.89,0.88,1352444400phillips,48.250143,-107.928897,0.85,1.153,0.0041,0.0135,1352462400,0.54,snow,1015.31,MT,1352470315,1352504519,27.77,1352444400,18.02,1352527200,1352444400,4.09,70,12
0,2012-11-10 00:00:00,7.45,1352530800,-9.18,1352595600,0.92,phillips,6.72,0.82,1352530800phillips,48.250143,-107.928897,0.88,0.742,0.0016,0.0059,1352534400,0.27,snow,1020.11,MT,1352556809,1352590839,16.57,1352530800,6.24,1352606400,1352530800,4.8,298,10.52
0,2012-11-11 00:00:00,0.66,1352667600,-12.62,1352638800,0.42,phillips,1.55,0.76,1352617200phillips,48.250143,-107.928897,0.92,0.045,0.0001,0.0024,1352638800,0.07,snow,1023.37,MT,1352643302,1352677161,13.93,1352667600,3.34,1352696400,1352617200,8.93,272,11.38
0,2012-11-12 00:00:00,19.3,1352754000,-8.3,1352714400,0.23,phillips,12.44,0.76,1352703600phillips,48.250143,-107.928897,0.96,,0,0,,0,,1023.54,MT,1352729795,1352763485,27.96,1352754000,4.89,1352703600,1352703600,9.35,242,8.91
0,2012-11-13 00:00:00,25.4,1352844000,13.17,1352804400,0.21,phillips,22.09,0.81,1352790000phillips,48.250143,-107.928897,0.99,,0,0,,0,,1022.6,MT,1352816288,1352849812,33.66,1352844000,22.12,1352815200,1352790000,9.61,239,7.27
0,2012-11-14 00:00:00,31.26,1352923200,12.94,1352883600,0.23,phillips,23.12,0.82,1352876400phillips,48.250143,-107.928897,0.03,,0,0,,0,,1021.33,MT,1352902780,1352936140,37.23,1352923200,21.08,1352894400,1352876400,8.46,249,5.84
0,2012-11-15 00:00:00,31.69,1353013200,8.8,1352991600,0.09,phillips,20.4,0.82,1352962800phillips,48.250143,-107.928897,0.07,,0,0,,0,,1025.6,MT,1352989272,1353022471,36.33,1353013200,15.6,1352984400,1352962800,8.97,129,3.4
0,2012-11-16 00:00:00,34.39,1353099600,17.76,1353052800,0.18,phillips,24.53,0.76,1353049200phillips,48.250143,-107.928897,0.11,,0,0,,0,,1016.6,MT,1353075763,1353108803,39.79,1353099600,25.35,1353056400,1353049200,9.91,213,3.43
0,2012-11-17 00:00:00,40.29,1353186000,23.94,1353160800,0.1,phillips,28.26,0.79,1353135600phillips,48.250143,-107.928897,0.15,,0,0,,0,,1014.96,MT,1353162253,1353195138,42.95,1353186000,26.97,1353164400,1353135600,9.92,127,3.41
0,2012-11-18 00:00:00,37.7,1353268800,22.56,1353304800,0.14,phillips,27.64,0.72,1353222000phillips,48.250143,-107.928897,0.18,,0,0,,0,,1010.67,MT,1353248743,1353281475,44.46,1353268800,28.25,1353304800,1353222000,9.9,219,2.61
0,2012-11-19 00:00:00,43.7,1353362400,18.35,1353326400,0.03,phillips,26.55,0.66,1353308400phillips,48.250143,-107.928897,0.22,,0,0,,0,,1015.84,MT,1353335233,1353367814,48.39,1353362400,24.78,1353330000,1353308400,10,187,6.52
0,2012-11-20 00:00:00,53.68,1353445200,33.77,1353423600,0.17,phillips,33.28,0.61,1353394800phillips,48.250143,-107.928897,0.25,,0,0,,0,,1010,MT,1353421721,1353454156,53.68,1353445200,40.03,1353423600,1353394800,9.99,209,7.32
0,2012-11-21 00:00:00,39.71,1353531600,23.76,1353564000,0.55,phillips,32.94,0.81,1353481200phillips,48.250143,-107.928897,0.29,,0.0009,0.0083,1353513600,0.43,rain,1007.84,MT,1353508208,1353540500,44.35,1353531600,32.5,1353564000,1353481200,9.45,262,4.28
0,2012-11-22 00:00:00,22.49,1353567600,2.29,1353603600,0.49,phillips,14.09,0.77,1353567600phillips,48.250143,-107.928897,0.32,0.164,0.0005,0.0033,1353596400,0.11,snow,1028.32,MT,1353594695,1353626846,31.46,1353567600,10.86,1353646800,1353567600,9,298,10.4
0,2012-11-23 00:00:00,30.13,1353704400,1.74,1353661200,0.3,phillips,16.49,0.72,1353654000phillips,48.250143,-107.928897,0.35,,0,0,,0,,1027.98,MT,1353681181,1353713195,35.51,1353704400,11.25,1353654000,1353654000,9.99,119,4.59
0,2012-11-24 00:00:00,34.4,1353780000,20.37,1353819600,0.58,phillips,27.33,0.76,1353740400phillips,48.250143,-107.928897,0.38,,0,0,,0,,1015.82,MT,1353767665,1353799547,41.02,1353780000,26.19,1353823200,1353740400,9.45,276,6.96
0,2012-11-25 00:00:00,21.27,1353826800,11.36,1353909600,0.64,phillips,19.29,0.88,1353826800phillips,48.250143,-107.928897,0.42,0.291,0.001,0.0089,1353877200,0.47,snow,1022.73,MT,1353854149,1353885901,25.39,1353826800,14.9,1353906000,1353826800,7.3,16,2.69
0,2012-11-26 00:00:00,25.83,1353967200,8.86,1353931200,0.38,phillips,16.77,0.84,1353913200phillips,48.250143,-107.928897,0.45,0.082,0.0003,0.0045,1353952800,0.18,snow,1027.08,MT,1353940631,1353972257,31.16,1353967200,14.79,1353934800,1353913200,8.86,241,3.79
0,2012-11-27 00:00:00,30.64,1354053600,8.62,1354017600,0.15,phillips,16.27,0.8,1353999600phillips,48.250143,-107.928897,0.48,,0,0,,0,,1023.46,MT,1354027112,1354058616,30.64,1354053600,16.08,1354010400,1353999600,7.85,198,0.53
0,2012-11-28 00:00:00,38.97,1354136400,11.73,1354086000,0.08,phillips,20.85,0.78,1354086000phillips,48.250143,-107.928897,0.51,,0,0,,0,,1018.09,MT,1354113591,1354144978,38.97,1354136400,20.46,1354086000,1354086000,9.83,79,3.89
0,2012-11-29 00:00:00,34.53,1354222800,18.35,1354255200,0.53,phillips,23,0.8,1354172400phillips,48.250143,-107.928897,0.54,,0,0,,0,,1014.02,MT,1354200069,1354231342,34.53,1354222800,26.29,1354255200,1354172400,7.19,108,3.68
0,2012-11-30 00:00:00,39.94,1354312800,16.47,1354262400,0.49,phillips,27.79,0.78,1354258800phillips,48.250143,-107.928897,0.57,,0.0006,0.005,1354316400,0.21,rain,1006.88,MT,1354286546,1354317709,41.92,1354312800,26.29,1354262400,1354258800,8.53,141,2.53
0,2012-12-01 00:00:00,37.39,1354395600,25.83,1354359600,0.53,phillips,28.41,0.81,1354345200phillips,48.250143,-107.928897,0.6,,0,0,,0,,1007.1,MT,1354373021,1354404079,40.86,1354395600,28.96,1354366800,1354345200,5.55,223,2.61
0,2012-12-02 00:00:00,43.64,1354485600,23.5,1354446000,0.54,phillips,30.5,0.73,1354431600phillips,48.250143,-107.928897,0.63,,0.0006,0.0072,1354507200,0.35,rain,997.92,MT,1354459495,1354490452,47.86,1354485600,28.92,1354438800,1354431600,9.15,200,3.01
0,2012-12-03 00:00:00,40.04,1354568400,25.09,1354546800,0.03,phillips,23.9,0.56,1354518000phillips,48.250143,-107.928897,0.66,,0,0,,0,,1010.98,MT,1354545966,1354576827,46.96,1354568400,32.03,1354590000,1354518000,10,257,14.33
0,2012-12-04 00:00:00,34.32,1354654800,13.93,1354633200,0.24,phillips,23.13,0.68,1354604400phillips,48.250143,-107.928897,0.69,,0,0,,0,,1017.2,MT,1354632436,1354663205,40.21,1354654800,22.84,1354629600,1354604400,10,163,4.24
0,2012-12-05 00:00:00,50.27,1354741200,21.6,1354773600,0.12,phillips,27.48,0.55,1354690800phillips,48.250143,-107.928897,0.72,,0,0,,0,,1007.71,MT,1354718904,1354749587,50.27,1354741200,31.6,1354773600,1354690800,10,261,10.52
0,2012-12-06 00:00:00,30.86,1354824000,15.03,1354860000,0.21,phillips,18.26,0.65,1354777200phillips,48.250143,-107.928897,0.76,,0,0,,0,,1016.48,MT,1354805370,1354835970,37.41,1354824000,22.72,1354856400,1354777200,10,266,6.61
0,2012-12-07 00:00:00,29.55,1354917600,9.66,1354878000,0.68,phillips,19.02,0.82,1354863600phillips,48.250143,-107.928897,0.79,0.098,0.0004,0.0056,1354914000,0.25,snow,1013.07,MT,1354891834,1354922357,29.55,1354917600,19.96,1354885200,1354863600,7.75,106,3.44
0,2012-12-08 00:00:00,17.9,1354953600,-5.39,1355011200,0.87,phillips,10.32,0.82,1354950000phillips,48.250143,-107.928897,0.83,0.899,0.0023,0.0103,1354989600,0.51,snow,1017.51,MT,1354978297,1355008747,25.7,1354953600,4.98,1355032800,1354950000,6.13,346,6.89
0,2012-12-09 00:00:00,6.77,1355119200,-7.46,1355065200,0.47,phillips,3.57,0.76,1355036400phillips,48.250143,-107.928897,0.87,,0,0,,0,,1027.37,MT,1355064756,1355095140,19.42,1355119200,2.22,1355065200,1355036400,9.45,221,5.5
0,2012-12-10 00:00:00,19.57,1355173200,8.06,1355122800,0.75,phillips,18.28,0.74,1355122800phillips,48.250143,-107.928897,0.9,,0,0,,0,,1013.29,MT,1355151214,1355181535,30.37,1355173200,20.3,1355205600,1355122800,9.86,268,11.61
0,2012-12-11 00:00:00,27.37,1355277600,7.92,1355220000,0.66,phillips,20.83,0.75,1355209200phillips,48.250143,-107.928897,0.94,0.018,0.0001,0.0024,1355259600,0.07,snow,1004.94,MT,1355237670,1355267934,35.9,1355277600,16.56,1355220000,1355209200,9.7,235,6.46
0,2012-12-12 00:00:00,27.78,1355295600,18.31,1355378400,0.83,phillips,25.05,0.87,1355295600phillips,48.250143,-107.928897,0.98,0.076,0.0003,0.003,1355353200,0.1,snow,1006.77,MT,1355324123,1355354335,32.16,1355295600,23.7,1355378400,1355295600,8.22,84,0.94
0,2012-12-13 00:00:00,27.97,1355436000,14.71,1355410800,0.48,phillips,20.32,0.84,1355382000phillips,48.250143,-107.928897,0.02,0.032,0.0001,0.0024,1355382000,0.07,snow,1013.05,MT,1355410573,1355440740,33.15,1355436000,21.16,1355410800,1355382000,6.28,175,3.5
0,2012-12-14 00:00:00,26.25,1355518800,12.35,1355486400,0.31,phillips,17.98,0.79,1355468400phillips,48.250143,-107.928897,0.06,0.048,0.0001,0.003,1355500800,0.1,snow,1008.44,MT,1355497022,1355527147,32.44,1355518800,18.66,1355497200,1355468400,6.71,231,3.98
0,2012-12-15 00:00:00,24.3,1355608800,4.25,1355583600,0.24,phillips,13.91,0.78,1355554800phillips,48.250143,-107.928897,0.09,,0,0,,0,,1011.51,MT,1355583468,1355613557,28.39,1355608800,14.11,1355583600,1355554800,8.19,249,3.01
0,2012-12-16 00:00:00,22.73,1355691600,5.62,1355655600,0.39,phillips,13.48,0.74,1355641200phillips,48.250143,-107.928897,0.13,,0,0,,0,,1006.95,MT,1355669911,1355699971,30.49,1355691600,15.59,1355655600,1355641200,7.39,200,3.43
0,2012-12-17 00:00:00,28,1355778000,4.81,1355738400,0.58,phillips,15.79,0.72,1355727600phillips,48.250143,-107.928897,0.16,,0,0,,0,,999.01,MT,1355756352,1355786387,32.04,1355778000,12.96,1355742000,1355727600,9.34,161,2.64
0,2012-12-18 00:00:00,14.65,1355857200,3.67,1355889600,0.81,phillips,15,0.68,1355814000phillips,48.250143,-107.928897,0.2,0.166,0.0005,0.0048,1355896800,0.2,snow,1005.62,MT,1355842790,1355872806,28.23,1355857200,17.11,1355896800,1355814000,8.59,278,14.8
0,2012-12-19 00:00:00,14.53,1355950800,-0.86,1355932800,0.21,phillips,6.59,0.7,1355900400phillips,48.250143,-107.928897,0.23,0.067,0.0002,0.0018,1355904000,0.04,snow,1018.78,MT,1355929225,1355959228,23.23,1355950800,9.01,1355972400,1355900400,8.59,250,6.27
0,2012-12-20 00:00:00,27.53,1356037200,4.44,1356001200,0.02,phillips,9.39,0.58,1355986800phillips,48.250143,-107.928897,0.27,,0,0,,0,,1018.01,MT,1356015658,1356045653,34.08,1356037200,12.14,1355994000,1355986800,9.75,205,3.75
0,2012-12-21 00:00:00,32.54,1356120000,6.46,1356156000,0.22,phillips,13.6,0.62,1356073200phillips,48.250143,-107.928897,0.3,,0,0,,0,,1017.25,MT,1356102088,1356132081,36.36,1356120000,16.44,1356156000,1356073200,9.93,259,2.12
0,2012-12-22 00:00:00,5.76,1356159600,-5.75,1356242400,0.76,phillips,6.2,0.81,1356159600phillips,48.250143,-107.928897,0.33,,0,0,,0,,1023.09,MT,1356188515,1356218512,14.47,1356159600,8.34,1356242400,1356159600,8.4,71,7.01
0,2012-12-23 00:00:00,10.33,1356296400,-12.17,1356321600,0.5,phillips,3.09,0.82,1356246000phillips,48.250143,-107.928897,0.36,0.346,0.0008,0.0037,1356282000,0.14,snow,1022.24,MT,1356274939,1356304945,16.11,1356296400,-3.93,1356328800,1356246000,8.35,47,2.86
0,2012-12-24 00:00:00,-11,1356386400,-12.48,1356346800,0.9,phillips,-3.59,0.81,1356332400phillips,48.250143,-107.928897,0.39,0.405,0.0009,0.0042,1356411600,0.16,snow,1029.93,MT,1356361361,1356391381,2.83,1356386400,-2.58,1356332400,1356332400,5.29,322,3.54
0,2012-12-25 00:00:00,-3.75,1356469200,-22.13,1356494400,0.55,phillips,-7.47,0.81,1356418800phillips,48.250143,-107.928897,0.42,0.44,0.001,0.0061,1356444000,0.28,snow,1033.15,MT,1356447779,1356477820,3.07,1356469200,-7.96,1356490800,1356418800,8.29,52,1.35
0,2012-12-26 00:00:00,-8.92,1356555600,-21.27,1356508800,0.66,phillips,-5.37,0.81,1356505200phillips,48.250143,-107.928897,0.45,0.057,0.0001,0.003,1356552000,0.1,snow,1021.81,MT,1356534195,1356564262,4.59,1356555600,-6.51,1356512400,1356505200,9.4,92,5.54
0,2012-12-27 00:00:00,11.84,1356642000,-11.67,1356595200,0.68,phillips,0.07,0.81,1356591600phillips,48.250143,-107.928897,0.48,,0,0,,0,,1020.27,MT,1356620608,1356650706,11.84,1356642000,0.11,1356591600,1356591600,9.07,124,1.42
0,2012-12-28 00:00:00,9.62,1356732000,-5.02,1356681600,0.44,phillips,6.12,0.77,1356678000phillips,48.250143,-107.928897,0.51,,0,0,,0,,1019.99,MT,1356707018,1356737153,19.36,1356732000,7.8,1356753600,1356678000,9.29,254,7.33
0,2012-12-29 00:00:00,21.04,1356814800,0.94,1356771600,0.21,phillips,10.08,0.74,1356764400phillips,48.250143,-107.928897,0.54,,0,0,,0,,1019.45,MT,1356793425,1356823602,27.2,1356814800,11.17,1356793200,1356764400,10,249,5.83
0,2012-12-30 00:00:00,17.73,1356901200,3.5,1356854400,0.83,phillips,15.09,0.83,1356850800phillips,48.250143,-107.928897,0.57,0.124,0.0003,0.0037,1356868800,0.14,snow,1020.67,MT,1356879830,1356910054,25.62,1356901200,14.15,1356854400,1356850800,7.97,258,6.15
0,2012-12-31 00:00:00,16.19,1356998400,-3.46,1356948000,0.81,phillips,13.69,0.81,1356937200phillips,48.250143,-107.928897,0.6,0.722,0.002,0.0114,1356984000,0.52,snow,1022.34,MT,1356966231,1356996509,27.71,1356998400,8.45,1356955200,1356937200,7.16,275,9.31
0,2013-01-01 00:00:00,14.09,1357059600,0.83,1357023600,0.73,phillips,15.71,0.8,1357023600phillips,48.250143,-107.928897,0.64,0.39,0.0011,0.0065,1357052400,0.31,snow,1022.55,MT,1357052629,1357082965,26.47,1357059600,10.06,1357023600,1357023600,8.27,296,12.53
0,2013-01-02 00:00:00,13.07,1357164000,-1.6,1357192800,0.4,phillips,11.15,0.74,1357110000phillips,48.250143,-107.928897,0.67,,0,0,,0,,1027.12,MT,1357139025,1357169424,23.42,1357164000,9.14,1357192800,1357110000,9.82,294,9.95
0,2013-01-03 00:00:00,17.8,1357250400,-4.5,1357200000,0.03,phillips,5.01,0.67,1357196400phillips,48.250143,-107.928897,0.71,,0,0,,0,,1023.98,MT,1357225417,1357255886,25.81,1357250400,5.82,1357225200,1357196400,9.25,250,5.07
0,2013-01-04 00:00:00,15.75,1357340400,0.7,1357308000,0.08,phillips,9.41,0.69,1357282800phillips,48.250143,-107.928897,0.74,,0,0,,0,,1020.23,MT,1357311807,1357342349,27.6,1357340400,10.21,1357293600,1357282800,9.97,264,7.47
0,2013-01-05 00:00:00,21.04,1357419600,1.29,1357452000,0.04,phillips,10.67,0.76,1357369200phillips,48.250143,-107.928897,0.78,,0,0,,0,,1024.13,MT,1357398194,1357428815,27.92,1357419600,8.56,1357452000,1357369200,9.87,274,4.56
