,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2000-01-01,52.97,946681200,40.82,946634400,0.8,custer,42.15,0.79,946710000custer,37.8267,-122.4233,0.82,,0,0,,0,,1017.74,MT,946653980,946688485,52.97,946681200,42.61,946630800,946627200,6.64,243,4.68
0,2000-01-31 00:00:00,37.33,949352400,3.14,949320000,0.09,Larimer,8.63,0.53,949302000Larimer,40.564773,-105.3120598,0.85,,0,0,,0,,1021.25,CO,949328005,949364302,40.82,949352400,12.91,949320000,949302000,10,189,2.8
0,2000-02-29 00:00:00,53.91,951861600,27.54,951822000,0.27,Larimer,21.22,0.45,951807600Larimer,40.564773,-105.3120598,0.83,,0,0,,0,,1012.1,CO,951831419,951871994,53.91,951861600,32.66,951890400,951807600,9.98,334,3.37
0,2000-03-31 00:00:00,34.31,954547200,21.5,954500400,0.87,Larimer,26.82,0.86,954486000Larimer,40.564773,-105.3120598,0.86,2.14,0.0105,0.0436,954525600,0.7,snow,1025.75,CO,954506787,954552370,36.89,954547200,28.44,954565200,954486000,5.57,334,1.75
0,2000-04-30 00:00:00,56.43,957139200,29.75,957078000,0.84,Larimer,31.7,0.64,957074400Larimer,40.564773,-105.3120598,0.88,,0.006,0.052,957078000,0.72,rain,1022.82,CO,957096101,957146247,56.43,957139200,39.1,957078000,957074400,9.71,356,12.51
0,2000-05-31 00:00:00,76.95,959817600,52.01,959763600,0.55,Larimer,52.94,0.72,959752800Larimer,40.564773,-105.3120598,0.93,,0.0009,0.0112,959756400,0.52,rain,1007.53,CO,959772861,959826401,76.95,959817600,52.01,959763600,959752800,7.65,111,2.8
0,2000-06-30 00:00:00,84.8,962402400,53.74,962362800,0.17,Larimer,47.73,0.5,962344800Larimer,40.564773,-105.3120598,0.96,,0.0007,0.0168,962409600,0.58,rain,1011.03,CO,962364919,962419025,88.38,962402400,53.74,962362800,962344800,9.87,162,5.99
0,2000-07-31 00:00:00,85.38,965084400,55.51,965044800,0.09,Larimer,45.7,0.43,965023200Larimer,40.564773,-105.3120598,0.03,,0,0,,0,,1017.19,CO,965044753,965096304,89,965084400,55.51,965044800,965023200,9.94,131,1.61
0,2000-08-31 00:00:00,70.28,967766400,50.99,967726800,0.39,Larimer,50.73,0.73,967701600Larimer,40.564773,-105.3120598,0.09,,0.0055,0.0709,967770000,0.75,rain,1012.96,CO,967724976,967772166,70.28,967766400,50.99,967726800,967701600,9.9,136,3.76
0,2000-09-30 00:00:00,76.94,970344000,48.22,970318800,0.21,Larimer,40.36,0.48,970293600Larimer,40.564773,-105.3120598,0.1,,0,0,,0,,1010.04,CO,970318715,970361150,76.94,970344000,49.54,970318800,970293600,10,238,5.86
0,2000-10-31 00:00:00,40.08,973029600,31.76,972986400,0.72,Larimer,35.55,0.85,972975600Larimer,40.564773,-105.3120598,0.15,,0.0109,0.0709,973044000,0.75,rain,1008.13,CO,972999131,973036797,43.42,973029600,35.36,972990000,972975600,7.62,348,4.05
0,2000-11-30 00:00:00,37.61,975614400,15.34,975567600,0.14,Larimer,16,0.5,975567600Larimer,40.564773,-105.3120598,0.15,,0,0,,0,,1017.68,CO,975593203,975627402,46.96,975614400,23.31,975567600,975567600,9.79,293,14.58
0,2000-12-31 00:00:00,27.54,978307200,4.14,978271200,0.51,Larimer,16.39,0.84,978246000Larimer,40.564773,-105.3120598,0.19,0.079,0.0002,0.0056,978310800,0.25,snow,1024.97,CO,978272761,978306329,31.76,978307200,13.57,978246000,978246000,6.93,260,2.72
0,2001-01-31 00:00:00,24.67,980985600,-0.4,980946000,0.2,Larimer,6.3,0.61,980924400Larimer,40.564773,-105.3120598,0.23,,0,0,,0,,1022.37,CO,980950364,980986757,30.23,980985600,8.22,980953200,980924400,10,236,4.48
0,2001-02-28 00:00:00,42.6,983404800,6.07,983343600,0.52,Larimer,16.97,0.75,983343600Larimer,40.564773,-105.3120598,0.17,0.076,0.0002,0.0054,983379600,0.24,snow,1018.58,CO,983367443,983407976,44.64,983404800,14.44,983358000,983343600,8.04,70,0.47
0,2001-03-31 00:00:00,62.64,986083200,19.18,986040000,0.46,Larimer,25.78,0.7,986022000Larimer,40.564773,-105.3120598,0.23,0.466,0.0019,0.0108,986058000,0.52,snow,1015.82,CO,986042813,986088354,62.64,986083200,24.75,986047200,986022000,8.4,314,0.64
0,2001-04-30 00:00:00,72.47,988671600,43.05,988628400,0.22,Larimer,32.86,0.39,988610400Larimer,40.564773,-105.3120598,0.25,,0,0,,0,,1012.42,CO,988632120,988682231,72.47,988671600,45.94,988632000,988610400,9.9,246,3.73
0,2001-05-31 00:00:00,75.48,991353600,42.95,991303200,0.34,Larimer,45.69,0.66,991288800Larimer,40.564773,-105.3120598,0.32,,0,0,,0,,1015.32,CO,991308867,991362389,75.48,991353600,44.34,991310400,991288800,9.12,23,2.15
0,2001-06-30 00:00:00,90.53,993931200,60.98,993902400,0.23,Larimer,48.33,0.38,993880800Larimer,40.564773,-105.3120598,0.34,,0,0,,0,,1012.29,CO,993900912,993955026,94.23,993931200,60.98,993902400,993880800,9.94,135,1.96
0,2001-07-31 00:00:00,86.27,996616800,63.99,996642000,0.41,Larimer,51.18,0.45,996559200Larimer,40.564773,-105.3120598,0.39,,0.0071,0.1662,996627600,0.83,rain,1007.75,CO,996580738,996632320,89.34,996616800,63.99,996642000,996559200,9.95,231,4.49
0,2001-08-31 00:00:00,77.41,999302400,53.96,999262800,0.29,Larimer,47.25,0.53,999237600Larimer,40.564773,-105.3120598,0.43,,0.0004,0.0056,999298800,0.25,rain,1012.01,CO,999260961,999308191,77.41,999302400,53.96,999262800,999237600,10,215,2.9
0,2001-09-30 00:00:00,76.11,1001894400,46.32,1001854800,0.16,Larimer,43.29,0.56,1001829600Larimer,40.564773,-105.3120598,0.44,,0,0,,0,,1022.83,CO,1001854699,1001897176,76.11,1001894400,47.89,1001854800,1001829600,10,127,0.44
0,2001-10-31 00:00:00,66.52,1004554800,43.04,1004594400,0.22,Larimer,29.13,0.38,1004511600Larimer,40.564773,-105.3120598,0.48,,0,0,,0,,1002.98,CO,1004535113,1004572816,66.52,1004554800,46.38,1004590800,1004511600,9.85,253,7.89
