,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2000-01-01,52.97,946681200,40.82,946634400,0.8,custer,42.15,0.79,946710000custer,37.8267,-122.4233,0.82,,0,0,,0,,1017.74,MT,946653980,946688485,52.97,946681200,42.61,946630800,946627200,6.64,243,4.68
0,2000-01-31 00:00:00,31.09,949363200,6.84,949305600,0.75,Power,19.01,0.85,949302000Power,42.546289,-112.7748173,0.85,1.261,0.0035,0.0136,949305600,0.55,snow,1024.59,ID,949330062,949365828,34.68,949363200,16.79,949305600,949302000,6.47,95,1.38
0,2000-02-29 00:00:00,41.68,951861600,24.34,951829200,0.6,Power,28.82,0.69,951807600Power,42.546289,-112.7748173,0.83,,0.0025,0.0293,951868800,0.65,rain,1016.25,ID,951833314,951873681,46.53,951861600,30.96,951829200,951807600,9.58,180,7.06
0,2000-03-31 00:00:00,53.85,954547200,19.8,954511200,0.05,Power,18.99,0.47,954486000Power,42.546289,-112.7748173,0.86,,0,0,,0,,1025.35,ID,954508501,954554238,53.85,954547200,23.87,954507600,954486000,9.83,15,4.61
0,2000-04-30 00:00:00,74.94,957139200,29.03,957088800,0.04,Power,24.89,0.42,957074400Power,42.546289,-112.7748173,0.88,,0,0,,0,,1024.84,ID,957097645,957148285,74.94,957139200,30.53,957099600,957074400,9.81,98,0.85
0,2000-05-31 00:00:00,72.9,959817600,37.53,959774400,0.06,Power,28.65,0.41,959752800Power,42.546289,-112.7748173,0.93,,0,0,,0,,1014.65,ID,959774270,959828574,72.9,959817600,41.39,959774400,959752800,9.81,247,10.07
0,2000-06-30 00:00:00,83.89,962395200,53.65,962366400,0.19,Power,44.46,0.41,962344800Power,42.546289,-112.7748173,0.96,,0.0092,0.17,962406000,0.83,rain,1008.65,ID,962366306,962421221,86.99,962395200,53.65,962366400,962344800,9.63,166,5.35
0,2000-07-31 00:00:00,97.35,965084400,59.76,965044800,0.1,Power,47.71,0.34,965023200Power,42.546289,-112.7748173,0.03,,0,0,,0,,1011.38,ID,965046245,965098394,99.76,965084400,59.76,965044800,965023200,9.52,209,0.43
0,2000-08-31 00:00:00,70.61,967748400,52.91,967719600,0.55,Power,49.08,0.66,967701600Power,42.546289,-112.7748173,0.09,,0.014,0.0661,967730400,0.74,rain,1009.86,ID,967726634,967774089,70.61,967748400,52.91,967719600,967701600,9.42,183,5.7
0,2000-09-30 00:00:00,74.81,970354800,46.82,970322400,0.13,Power,39.96,0.47,970293600Power,42.546289,-112.7748173,0.1,,0,0,,0,,1013.05,ID,970320545,970362900,74.81,970354800,49.67,970322400,970293600,9.76,222,9.66
0,2000-10-31 00:00:00,37.79,973033200,29.67,972993600,0.87,Power,34.6,0.85,972975600Power,42.546289,-112.7748173,0.15,,0.0022,0.05,973036800,0.71,rain,1014.87,ID,973001138,973038372,43.84,973033200,35.83,972993600,972975600,8.68,277,7.29
0,2000-11-30 00:00:00,36.88,975614400,20.62,975646800,0.29,Power,24.96,0.71,975567600Power,42.546289,-112.7748173,0.15,,0.0001,0.0024,975578400,0.07,rain,1026.41,ID,975595346,975628842,41.44,975614400,23.42,975650400,975567600,9.68,235,6.26
0,2000-12-31 00:00:00,17.94,978296400,6.07,978253200,0.73,Power,16.2,0.91,978246000Power,42.546289,-112.7748173,0.19,,0,0,,0,,1034,ID,978274929,978307744,23.03,978296400,13.29,978249600,978246000,3.77,259,2.01
0,2001-01-31 00:00:00,21.1,980985600,0.9,980946000,0.75,Power,12.43,0.8,980924400Power,42.546289,-112.7748173,0.23,0.042,0.0001,0.0022,980946000,0.06,snow,1032.88,ID,980952417,980988287,26.58,980985600,10.84,980942400,980924400,7.76,221,1.95
0,2001-02-28 00:00:00,31.14,983404800,0.78,983368800,0.11,Power,12.63,0.69,983343600Power,42.546289,-112.7748173,0.17,,0,0,,0,,1020.16,ID,983369339,983409662,35.89,983404800,10.92,983368800,983343600,9.73,49,2.67
0,2001-03-31 00:00:00,57.52,986083200,27.23,986047200,0.33,Power,26.09,0.53,986022000Power,42.546289,-112.7748173,0.23,,0,0,,0,,1016.2,ID,986044528,986090221,57.52,986083200,27.23,986047200,986022000,9.82,236,5.37
0,2001-04-30 00:00:00,70.68,988678800,40.88,988632000,0.38,Power,33.21,0.41,988610400Power,42.546289,-112.7748173,0.25,,0,0,,0,,1014.35,ID,988633666,988684267,70.68,988678800,44.39,988632000,988610400,9.82,225,9.49
0,2001-05-31 00:00:00,83.36,991353600,46.38,991310400,0.04,Power,37.92,0.39,991288800Power,42.546289,-112.7748173,0.32,,0,0,,0,,1017.75,ID,991310277,991364562,86.74,991353600,49.24,991310400,991288800,9.81,231,6.24
0,2001-06-30 00:00:00,88.77,993942000,52.88,993902400,0.09,Power,45.14,0.39,993880800Power,42.546289,-112.7748173,0.34,,0,0,,0,,1011.64,ID,993902298,993957223,92.96,993942000,52.88,993902400,993880800,9.89,205,2.46
0,2001-07-31 00:00:00,83.82,996624000,45.96,996584400,0.16,Power,42.11,0.49,996559200Power,42.546289,-112.7748173,0.39,,0,0,,0,,1013.51,ID,996582229,996634411,87.2,996624000,49.8,996584400,996559200,9.82,237,7.2
0,2001-08-31 00:00:00,83.71,999302400,56.79,999262800,0.1,Power,46.09,0.44,999237600Power,42.546289,-112.7748173,0.43,,0,0,,0,,1009.25,ID,999262618,999310115,87.02,999302400,56.79,999262800,999237600,9.87,184,2.43
0,2001-09-30 00:00:00,79.2,1001890800,37.41,1001858400,0,Power,37.22,0.5,1001829600Power,42.546289,-112.7748173,0.44,,0,0,,0,,1021.41,ID,1001856528,1001898928,80.88,1001890800,39.5,1001854800,1001829600,9.93,61,1.55
0,2001-10-31 00:00:00,51.34,1004562000,37.42,1004536800,0.81,Power,38.4,0.72,1004511600Power,42.546289,-112.7748173,0.48,,0.0123,0.0604,1004518800,0.73,rain,1011.8,ID,1004537118,1004574393,51.34,1004562000,44.08,1004536800,1004511600,9.42,232,12.83
0,2001-11-30 00:00:00,19.65,1007164800,7.92,1007136000,0.55,Power,19.16,0.78,1007103600Power,42.546289,-112.7748173,0.49,0.319,0.0012,0.0051,1007118000,0.22,snow,1015.28,ID,1007131329,1007164847,32.2,1007164800,19.09,1007186400,1007103600,8.71,214,9.7
0,2001-12-31 00:00:00,28.45,1009832400,12.18,1009785600,0.97,Power,23.09,0.91,1009782000Power,42.546289,-112.7748173,0.55,0.644,0.0026,0.0098,1009846800,0.5,snow,1021.94,ID,1009810927,1009843731,28.45,1009832400,21.11,1009782000,1009782000,4.75,45,2.8
0,2002-01-31 00:00:00,14.79,1012521600,-1.9,1012460400,0.86,Power,7.61,0.81,1012460400Power,42.546289,-112.7748173,0.61,0.493,0.0011,0.0076,1012507200,0.38,snow,1032.44,ID,1012488433,1012524266,19.41,1012521600,6.74,1012460400,1012460400,7.03,52,3.7
0,2002-02-28 00:00:00,20.35,1014926400,7.08,1014962400,0.6,Power,15.37,0.71,1014879600Power,42.546289,-112.7748173,0.55,0.337,0.0015,0.0209,1014922800,0.61,snow,1015.63,ID,1014905365,1014945642,30.66,1014926400,17.35,1014958800,1014879600,8.85,315,4.69
0,2002-03-31 00:00:00,63.66,1017612000,27.77,1017579600,0.05,Power,25.55,0.43,1017558000Power,42.546289,-112.7748173,0.61,,0,0,,0,,1017.62,ID,1017580555,1017626203,63.66,1017612000,34.08,1017579600,1017558000,9.82,227,9.85
