,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2012-10-01,74.48,1349046000,53.37,1349006400,0.06,custer,49.57,0.67,1349071200custer,37.8267,-122.4233,0.53,,0,0,,0,,1016.59,MT,1349013968,1349056513,74.48,1349046000,53.37,1349006400,1348988400,10,278,2.62
0,2012-10-01 00:00:00,68.01,1349125200,37.29,1349096400,0.09,hinsdale,28.49,0.41,1349071200hinsdale,37.821165,-107.338261,0.55,,0,0,,0,,1019.06,CO,1349096797,1349139204,68.01,1349125200,40.44,1349096400,1349071200,10,310,1.14
0,2012-10-02 00:00:00,70.19,1349211600,38.49,1349182800,0,hinsdale,26.98,0.39,1349157600hinsdale,37.821165,-107.338261,0.58,,0,0,,0,,1015.42,CO,1349183250,1349225512,70.19,1349211600,38.49,1349182800,1349157600,10,249,3.82
0,2012-10-03 00:00:00,70.72,1349298000,40.53,1349265600,0.07,hinsdale,23.05,0.32,1349244000hinsdale,37.821165,-107.338261,0.61,,0,0,,0,,1013.48,CO,1349269703,1349311821,70.72,1349298000,40.53,1349265600,1349244000,10,269,5.61
0,2012-10-04 00:00:00,66.48,1349380800,37.52,1349348400,0.25,hinsdale,24.28,0.34,1349330400hinsdale,37.821165,-107.338261,0.64,,0,0,,0,,1015.4,CO,1349356156,1349398130,66.48,1349380800,39.87,1349355600,1349330400,10,237,7.22
0,2012-10-05 00:00:00,63.5,1349470800,39.14,1349434800,0.18,hinsdale,22.58,0.33,1349416800hinsdale,37.821165,-107.338261,0.67,,0,0,,0,,1013.22,CO,1349442610,1349484439,63.5,1349470800,41.79,1349442000,1349416800,10,253,9.37
0,2012-10-06 00:00:00,57.84,1349557200,37.37,1349528400,0.07,hinsdale,9.96,0.24,1349503200hinsdale,37.821165,-107.338261,0.7,,0,0,,0,,1013.49,CO,1349529064,1349570749,57.84,1349557200,37.52,1349586000,1349503200,10,258,7.23
0,2012-10-07 00:00:00,55.61,1349647200,23.29,1349611200,0.03,hinsdale,5.83,0.26,1349589600hinsdale,37.821165,-107.338261,0.73,,0,0,,0,,1016.58,CO,1349615518,1349657059,55.61,1349647200,26.74,1349614800,1349589600,10,235,4.62
0,2012-10-08 00:00:00,59.08,1349733600,24.87,1349701200,0,hinsdale,7.52,0.25,1349676000hinsdale,37.821165,-107.338261,0.77,,0,0,,0,,1017.74,CO,1349701973,1349743371,59.08,1349733600,28.01,1349697600,1349676000,10,248,4.7
0,2012-10-09 00:00:00,63.89,1349816400,28.72,1349787600,0,hinsdale,17.41,0.32,1349762400hinsdale,37.821165,-107.338261,0.8,,0,0,,0,,1015.56,CO,1349788428,1349829682,63.89,1349816400,33.51,1349784000,1349762400,9.99,254,6.13
0,2012-10-10 00:00:00,65.68,1349902800,33.87,1349866800,0.03,hinsdale,23.24,0.37,1349848800hinsdale,37.821165,-107.338261,0.83,,0,0,,0,,1016.44,CO,1349874883,1349915995,65.68,1349902800,34.89,1349874000,1349848800,10,242,5.28
0,2012-10-11 00:00:00,66.44,1349989200,35.91,1349953200,0.27,hinsdale,27.2,0.41,1349935200hinsdale,37.821165,-107.338261,0.86,,0.0001,0.0013,1350018000,0.02,rain,1015.23,CO,1349961339,1350002308,66.44,1349989200,36.93,1349960400,1349935200,9.91,198,3.65
0,2012-10-12 00:00:00,49.14,1350021600,31.34,1350100800,0.69,hinsdale,37.86,0.75,1350021600hinsdale,37.821165,-107.338261,0.9,,0.0118,0.0427,1350068400,0.69,rain,1013.66,CO,1350047795,1350088622,49.14,1350021600,36.03,1350104400,1350021600,9.01,202,4.13
0,2012-10-13 00:00:00,45.46,1350169200,26.51,1350129600,0.62,hinsdale,32.06,0.77,1350108000hinsdale,37.821165,-107.338261,0.93,,0.0004,0.0019,1350147600,0.05,rain,1019.15,CO,1350134251,1350174936,47.36,1350169200,32.15,1350126000,1350108000,9.25,252,3.75
0,2012-10-14 00:00:00,60.27,1350252000,27.87,1350219600,0.14,hinsdale,31.98,0.64,1350194400hinsdale,37.821165,-107.338261,0.97,,0,0,,0,,1024.74,CO,1350220708,1350261252,60.27,1350252000,32.98,1350219600,1350194400,10,152,0.27
0,2012-10-15 00:00:00,61.51,1350338400,28.59,1350298800,0,hinsdale,27.92,0.53,1350280800hinsdale,37.821165,-107.338261,0.01,,0,0,,0,,1020.12,CO,1350307165,1350347568,61.51,1350338400,32.82,1350306000,1350280800,10,225,2.85
0,2012-10-16 00:00:00,63.65,1350424800,32.65,1350374400,0.05,hinsdale,25.39,0.43,1350367200hinsdale,37.821165,-107.338261,0.04,,0,0,,0,,1012.48,CO,1350393623,1350433885,63.65,1350424800,33.95,1350392400,1350367200,10,251,7.91
0,2012-10-17 00:00:00,55.48,1350507600,35.8,1350478800,0.09,hinsdale,12.41,0.28,1350453600hinsdale,37.821165,-107.338261,0.08,,0.0001,0.0017,1350464400,0.04,rain,1011.84,CO,1350480081,1350520203,55.48,1350507600,38.32,1350536400,1350453600,10,271,11.11
0,2012-10-18 00:00:00,58.88,1350597600,29.07,1350568800,0,hinsdale,11.93,0.29,1350540000hinsdale,37.821165,-107.338261,0.12,,0,0,,0,,1019.66,CO,1350566539,1350606522,58.88,1350597600,29.5,1350565200,1350540000,10,282,4.06
0,2012-10-19 00:00:00,63.21,1350684000,31.22,1350648000,0,hinsdale,16.4,0.34,1350626400hinsdale,37.821165,-107.338261,0.16,,0,0,,0,,1017.97,CO,1350652998,1350692842,63.21,1350684000,31.22,1350648000,1350626400,10,253,3.88
0,2012-10-20 00:00:00,64.88,1350770400,27.81,1350734400,0,hinsdale,15.33,0.31,1350712800hinsdale,37.821165,-107.338261,0.2,,0,0,,0,,1012.34,CO,1350739457,1350779163,64.88,1350770400,32.26,1350738000,1350712800,9.98,239,5.52
0,2012-10-21 00:00:00,60.89,1350853200,29.7,1350820800,0.02,hinsdale,21.82,0.38,1350799200hinsdale,37.821165,-107.338261,0.23,,0,0,,0,,1010.88,CO,1350825917,1350865485,60.89,1350853200,33.36,1350824400,1350799200,10,236,5.92
0,2012-10-22 00:00:00,59.1,1350939600,29.47,1350907200,0.04,hinsdale,25.48,0.47,1350885600hinsdale,37.821165,-107.338261,0.27,,0,0,,0,,1011.48,CO,1350912377,1350951807,59.1,1350939600,34.15,1350910800,1350885600,10,214,6.32
0,2012-10-23 00:00:00,60.13,1351029600,32.05,1350997200,0.26,hinsdale,24.74,0.41,1350972000hinsdale,37.821165,-107.338261,0.3,,0,0,,0,,1009.53,CO,1350998838,1351038131,60.13,1351029600,39.21,1350997200,1350972000,10,218,9.16
0,2012-10-24 00:00:00,57.25,1351105200,25.26,1351141200,0.3,hinsdale,22.17,0.42,1351058400hinsdale,37.821165,-107.338261,0.34,,0,0,,0,,1008.23,CO,1351085298,1351124457,57.25,1351105200,33.54,1351141200,1351058400,9.79,235,9.82
0,2012-10-25 00:00:00,34.46,1351198800,19.23,1351159200,0.31,hinsdale,14.12,0.5,1351144800hinsdale,37.821165,-107.338261,0.37,0.012,0.0001,0.0016,1351184400,0.03,snow,1018.53,CO,1351171760,1351210783,42.06,1351198800,22.82,1351170000,1351144800,9.85,261,7.02
0,2012-10-26 00:00:00,36.73,1351288800,11.56,1351252800,0.03,hinsdale,3.82,0.4,1351231200hinsdale,37.821165,-107.338261,0.4,,0,0,,0,,1026.12,CO,1351258221,1351297110,40.86,1351288800,16.61,1351256400,1351231200,9.99,259,2.31
0,2012-10-27 00:00:00,41.77,1351375200,9.79,1351339200,0.09,hinsdale,5.04,0.32,1351317600hinsdale,37.821165,-107.338261,0.44,,0,0,,0,,1023.3,CO,1351344683,1351383439,47.38,1351375200,18.98,1351342800,1351317600,9.99,248,6.85
0,2012-10-28 00:00:00,54.96,1351461600,21.1,1351429200,0.02,hinsdale,16.24,0.4,1351404000hinsdale,37.821165,-107.338261,0.47,,0,0,,0,,1021.66,CO,1351431146,1351469769,54.96,1351461600,25.85,1351429200,1351404000,9.97,262,5.19
0,2012-10-29 00:00:00,58.79,1351544400,25.26,1351515600,0,hinsdale,20.5,0.44,1351490400hinsdale,37.821165,-107.338261,0.49,,0,0,,0,,1022.53,CO,1351517608,1351556100,58.79,1351544400,29.7,1351515600,1351490400,10,259,4.48
0,2012-10-30 00:00:00,59.33,1351630800,29.49,1351594800,0,hinsdale,18.29,0.39,1351576800hinsdale,37.821165,-107.338261,0.53,,0,0,,0,,1021.49,CO,1351604071,1351642433,59.33,1351630800,29.97,1351602000,1351576800,9.97,256,2.08
0,2012-10-31 00:00:00,60.16,1351720800,25.78,1351688400,0,hinsdale,16.05,0.36,1351663200hinsdale,37.821165,-107.338261,0.56,,0,0,,0,,1021.21,CO,1351690534,1351728767,60.16,1351720800,30.09,1351688400,1351663200,10,198,1.06
0,2012-11-01 00:00:00,58.6,1351807200,25.29,1351774800,0,hinsdale,13.04,0.32,1351749600hinsdale,37.821165,-107.338261,0.59,,0,0,,0,,1018.87,CO,1351776998,1351815102,58.6,1351807200,29.69,1351774800,1351749600,9.98,230,4.93
0,2012-11-02 00:00:00,56.32,1351890000,29,1351861200,0,hinsdale,11.35,0.3,1351836000hinsdale,37.821165,-107.338261,0.62,,0,0,,0,,1017.4,CO,1351863462,1351901439,56.32,1351890000,32.39,1351861200,1351836000,10,239,3.96
0,2012-11-03 00:00:00,55.02,1351980000,22.06,1351947600,0,hinsdale,11.27,0.33,1351922400hinsdale,37.821165,-107.338261,0.65,,0,0,,0,,1021.66,CO,1351949926,1351987777,55.02,1351980000,26.95,1351947600,1351922400,9.99,234,4.56
0,2012-11-04 00:00:00,54.6,1352062800,25.06,1352026800,0,hinsdale,13.84,0.37,1352008800hinsdale,37.821165,-107.338261,0.68,,0,0,,0,,1025.22,CO,1352036390,1352074116,54.6,1352062800,27.18,1352034000,1352008800,10,267,1.87
0,2012-11-05 00:00:00,57.65,1352149200,29.6,1352120400,0,hinsdale,20.18,0.43,1352098800hinsdale,37.821165,-107.338261,0.71,,0,0,,0,,1025.5,CO,1352122855,1352160457,57.65,1352149200,29.6,1352120400,1352098800,9.99,299,2.1
0,2012-11-06 00:00:00,59.94,1352239200,30.69,1352206800,0,hinsdale,17.61,0.38,1352185200hinsdale,37.821165,-107.338261,0.75,,0,0,,0,,1024.47,CO,1352209319,1352246800,59.94,1352239200,30.69,1352206800,1352185200,10,226,1.58
0,2012-11-07 00:00:00,59.37,1352325600,24.12,1352293200,0,hinsdale,15.38,0.35,1352271600hinsdale,37.821165,-107.338261,0.78,,0,0,,0,,1020.92,CO,1352295784,1352333144,59.37,1352325600,29.7,1352293200,1352271600,9.97,239,4.96
0,2012-11-08 00:00:00,56.29,1352412000,23.14,1352376000,0.09,hinsdale,16.02,0.36,1352358000hinsdale,37.821165,-107.338261,0.81,,0,0,,0,,1013.72,CO,1352382249,1352419489,56.29,1352412000,30.07,1352376000,1352358000,9.97,209,6.4
0,2012-11-09 00:00:00,43.88,1352491200,32.71,1352451600,0.82,hinsdale,32.68,0.71,1352444400hinsdale,37.821165,-107.338261,0.85,,0.0083,0.0189,1352509200,0.59,rain,1006.66,CO,1352468714,1352505836,47.78,1352491200,37.13,1352466000,1352444400,8.15,190,6.9
0,2012-11-10 00:00:00,32.67,1352530800,8.5,1352613600,0.67,hinsdale,19.39,0.7,1352530800hinsdale,37.821165,-107.338261,0.88,1.644,0.008,0.0349,1352545200,0.67,snow,1005.87,CO,1352555179,1352592185,39.59,1352530800,16.47,1352610000,1352530800,8.23,230,9.45
0,2012-11-11 00:00:00,8.82,1352660400,3.16,1352635200,0.49,hinsdale,7.75,0.68,1352617200hinsdale,37.821165,-107.338261,0.92,0.648,0.0015,0.0065,1352617200,0.31,snow,1021.89,CO,1352641644,1352678536,21.42,1352660400,11.67,1352700000,1352617200,8.62,274,6.53
0,2012-11-12 00:00:00,26.57,1352757600,1.61,1352710800,0.05,hinsdale,7.16,0.59,1352703600hinsdale,37.821165,-107.338261,0.96,0.083,0.0004,0.0051,1352750400,0.22,snow,1033.86,CO,1352728109,1352764888,32.83,1352757600,8.05,1352718000,1352703600,10,207,2.16
0,2012-11-13 00:00:00,34.69,1352844000,12.33,1352815200,0.07,hinsdale,14.39,0.59,1352790000hinsdale,37.821165,-107.338261,0.99,0.01,0.0001,0.0013,1352844000,0.02,snow,1029.39,CO,1352814574,1352851242,40.32,1352844000,17.71,1352811600,1352790000,10,246,3.83
0,2012-11-14 00:00:00,39.65,1352930400,12.56,1352898000,0,hinsdale,12.42,0.5,1352876400hinsdale,37.821165,-107.338261,0.03,,0,0,,0,,1027.73,CO,1352901039,1352937597,44.9,1352930400,19.4,1352898000,1352876400,9.96,242,5.4
0,2012-11-15 00:00:00,42.61,1353013200,18.55,1352988000,0.01,hinsdale,12.59,0.46,1352962800hinsdale,37.821165,-107.338261,0.07,,0,0,,0,,1027.02,CO,1352987504,1353023954,46.71,1353013200,22.23,1352984400,1352962800,9.99,229,2.85
0,2012-11-16 00:00:00,45.48,1353103200,18.13,1353056400,0.47,hinsdale,15.27,0.46,1353049200hinsdale,37.821165,-107.338261,0.11,,0,0,,0,,1023.72,CO,1353073969,1353110314,46.31,1353103200,26.57,1353063600,1353049200,10,227,5.12
0,2012-11-17 00:00:00,50.59,1353186000,21.74,1353150000,0.28,hinsdale,21.64,0.55,1353135600hinsdale,37.821165,-107.338261,0.15,,0,0,,0,,1020.82,CO,1353160434,1353196674,50.59,1353186000,27.73,1353153600,1353135600,9.98,214,4.7
0,2012-11-18 00:00:00,43.06,1353272400,21.55,1353243600,0.42,hinsdale,25.47,0.67,1353222000hinsdale,37.821165,-107.338261,0.18,,0,0,,0,,1019.81,CO,1353246898,1353283037,47.67,1353272400,29.24,1353247200,1353222000,9.71,239,5.75
0,2012-11-19 00:00:00,45.28,1353358800,21.14,1353330000,0.07,hinsdale,21.92,0.62,1353308400hinsdale,37.821165,-107.338261,0.22,,0,0,,0,,1025.87,CO,1353333362,1353369402,48.53,1353358800,25.59,1353330000,1353308400,10,228,4.35
0,2012-11-20 00:00:00,53.13,1353445200,18.18,1353420000,0,hinsdale,18.21,0.53,1353394800hinsdale,37.821165,-107.338261,0.25,,0,0,,0,,1026.62,CO,1353419825,1353455768,53.13,1353445200,24.45,1353409200,1353394800,9.99,216,2.36
0,2012-11-21 00:00:00,51.8,1353535200,17.03,1353502800,0,hinsdale,13.29,0.42,1353481200hinsdale,37.821165,-107.338261,0.29,,0,0,,0,,1022.07,CO,1353506289,1353542136,51.8,1353535200,24.74,1353502800,1353481200,10,236,6.59
0,2012-11-22 00:00:00,50.97,1353618000,17.84,1353589200,0,hinsdale,15.14,0.45,1353567600hinsdale,37.821165,-107.338261,0.32,,0,0,,0,,1023.94,CO,1353592752,1353628506,50.97,1353618000,24,1353589200,1353567600,10,237,4.68
0,2012-11-23 00:00:00,44.46,1353704400,18.89,1353679200,0,hinsdale,15.68,0.49,1353654000hinsdale,37.821165,-107.338261,0.35,,0,0,,0,,1030.8,CO,1353679214,1353714879,48.66,1353704400,23.72,1353679200,1353654000,9.99,218,3.56
0,2012-11-24 00:00:00,45.73,1353790800,17.44,1353765600,0,hinsdale,13.71,0.46,1353740400hinsdale,37.821165,-107.338261,0.38,,0,0,,0,,1026.31,CO,1353765676,1353801253,49.8,1353790800,22.46,1353765600,1353740400,10,238,4.59
0,2012-11-25 00:00:00,43.86,1353877200,18.94,1353837600,0.01,hinsdale,12.49,0.44,1353826800hinsdale,37.821165,-107.338261,0.42,,0,0,,0,,1018.57,CO,1353852137,1353887629,48.23,1353877200,21.73,1353852000,1353826800,10,230,3.96
0,2012-11-26 00:00:00,43.83,1353963600,17.71,1353938400,0.02,hinsdale,8.44,0.39,1353913200hinsdale,37.821165,-107.338261,0.45,,0,0,,0,,1022.49,CO,1353938598,1353974007,47.17,1353963600,22.21,1353938400,1353913200,9.98,237,3.07
0,2012-11-27 00:00:00,42.75,1354053600,7.96,1354017600,0,hinsdale,4.61,0.36,1353999600hinsdale,37.821165,-107.338261,0.48,,0,0,,0,,1029.2,CO,1354025058,1354060387,46.72,1354053600,17.6,1354021200,1353999600,9.99,233,5.22
0,2012-11-28 00:00:00,41.74,1354140000,13.46,1354107600,0,hinsdale,10.33,0.43,1354086000hinsdale,37.821165,-107.338261,0.51,,0,0,,0,,1027.09,CO,1354111517,1354146768,46.04,1354140000,20.39,1354111200,1354086000,10,243,5.59
0,2012-11-29 00:00:00,44.2,1354222800,16.4,1354197600,0.09,hinsdale,19.04,0.56,1354172400hinsdale,37.821165,-107.338261,0.54,,0,0,,0,,1022.94,CO,1354197976,1354233152,47.93,1354222800,25.17,1354194000,1354172400,10,248,6.52
0,2012-11-30 00:00:00,42.97,1354309200,15.37,1354280400,0.07,hinsdale,21.01,0.6,1354258800hinsdale,37.821165,-107.338261,0.57,,0,0,,0,,1021.23,CO,1354284434,1354319538,47.62,1354309200,24,1354280400,1354258800,9.98,242,8.06
0,2012-12-01 00:00:00,46.87,1354395600,22.22,1354370400,0.12,hinsdale,21.28,0.55,1354345200hinsdale,37.821165,-107.338261,0.6,,0,0,,0,,1019.78,CO,1354370890,1354405926,49.89,1354395600,28.37,1354370400,1354345200,10,240,5.81
0,2012-12-02 00:00:00,45.53,1354482000,17.12,1354446000,0.09,hinsdale,19.38,0.54,1354431600hinsdale,37.821165,-107.338261,0.63,,0,0,,0,,1018.33,CO,1354457346,1354492316,49.47,1354482000,25.55,1354456800,1354431600,10,228,6.37
0,2012-12-03 00:00:00,40.23,1354564800,26.46,1354600800,0.53,hinsdale,25.39,0.65,1354518000hinsdale,37.821165,-107.338261,0.66,,0.0004,0.0025,1354582800,0.07,rain,1018.47,CO,1354543801,1354578709,44.6,1354564800,26.46,1354600800,1354518000,9.44,252,4.67
0,2012-12-04 00:00:00,40.84,1354658400,19.43,1354611600,0.06,hinsdale,14.09,0.51,1354604400hinsdale,37.821165,-107.338261,0.69,,0,0,,0,,1029.93,CO,1354630255,1354665103,44.67,1354658400,21.71,1354622400,1354604400,9.97,242,2.58
0,2012-12-05 00:00:00,44.11,1354744800,19.78,1354708800,0.19,hinsdale,17.86,0.51,1354690800hinsdale,37.821165,-107.338261,0.72,,0,0,,0,,1023.68,CO,1354716708,1354751499,48.07,1354744800,25.08,1354716000,1354690800,10,244,6.5
0,2012-12-06 00:00:00,40.31,1354827600,20.3,1354798800,0.66,hinsdale,24.93,0.69,1354777200hinsdale,37.821165,-107.338261,0.76,,0.0007,0.003,1354834800,0.1,rain,1015.48,CO,1354803160,1354837897,42.42,1354827600,28.42,1354798800,1354777200,9.21,226,5.64
0,2012-12-07 00:00:00,36.96,1354914000,21.51,1354888800,0.38,hinsdale,23.56,0.73,1354863600hinsdale,37.821165,-107.338261,0.79,0.024,0.0001,0.0031,1354899600,0.1,snow,1014.26,CO,1354889611,1354924298,42.23,1354914000,25.31,1354946400,1354863600,9.55,217,3.28
0,2012-12-08 00:00:00,33.85,1355000400,12.86,1354971600,0.39,hinsdale,17.99,0.63,1354950000hinsdale,37.821165,-107.338261,0.83,,0,0,,0,,1012.68,CO,1354976060,1355010700,40.6,1355000400,21.01,1354971600,1354950000,9.44,232,6.11
0,2012-12-09 00:00:00,18.98,1355036400,-5.26,1355115600,0.55,hinsdale,4.84,0.59,1355036400hinsdale,37.821165,-107.338261,0.87,0.918,0.0026,0.0084,1355047200,0.44,snow,1017.6,CO,1355062508,1355097104,25.75,1355036400,3.38,1355119200,1355036400,8.52,286,5.05
0,2012-12-10 00:00:00,11.71,1355173200,-8.15,1355144400,0.48,hinsdale,-1.2,0.58,1355122800hinsdale,37.821165,-107.338261,0.9,0.09,0.0002,0.0017,1355194800,0.04,snow,1024.74,CO,1355148955,1355183511,19.53,1355173200,1.77,1355130000,1355122800,9,215,0.74
0,2012-12-11 00:00:00,20.16,1355259600,0.48,1355220000,0.2,hinsdale,4.55,0.64,1355209200hinsdale,37.821165,-107.338261,0.94,0.076,0.0002,0.0019,1355227200,0.05,snow,1022.27,CO,1355235400,1355269919,27.39,1355259600,5.89,1355234400,1355209200,9.61,176,0.92
0,2012-12-12 00:00:00,32.05,1355349600,1.18,1355302800,0.14,hinsdale,7.37,0.54,1355295600hinsdale,37.821165,-107.338261,0.98,,0,0,,0,,1020.01,CO,1355321845,1355356330,35.44,1355349600,9.97,1355317200,1355295600,10,122,3.51
0,2012-12-13 00:00:00,36.88,1355432400,9.23,1355400000,0.04,hinsdale,9.45,0.46,1355382000hinsdale,37.821165,-107.338261,0.02,,0,0,,0,,1016.62,CO,1355408287,1355442743,40,1355432400,18.41,1355407200,1355382000,10,131,4.17
0,2012-12-14 00:00:00,31.19,1355511600,16.08,1355551200,0.88,hinsdale,21.14,0.77,1355468400hinsdale,37.821165,-107.338261,0.06,1.96,0.0084,0.0186,1355518800,0.59,snow,1006.74,CO,1355494728,1355529157,31.19,1355511600,24.94,1355468400,1355468400,6.47,189,3.22
0,2012-12-15 00:00:00,29.23,1355601600,15.15,1355637600,0.93,hinsdale,21.54,0.84,1355554800hinsdale,37.821165,-107.338261,0.09,1.683,0.0059,0.017,1355626800,0.58,snow,1011.55,CO,1355581168,1355615574,29.23,1355601600,23.36,1355565600,1355554800,6.48,130,1.33
0,2012-12-16 00:00:00,14.31,1355688000,9.68,1355662800,0.78,hinsdale,15.87,0.8,1355641200hinsdale,37.821165,-107.338261,0.13,0.351,0.0011,0.0072,1355641200,0.35,snow,1015.33,CO,1355667606,1355701992,24.8,1355688000,17.86,1355720400,1355641200,8.66,216,3.71
0,2012-12-17 00:00:00,22.86,1355781600,11.69,1355734800,0.72,hinsdale,15.54,0.75,1355727600hinsdale,37.821165,-107.338261,0.16,0.088,0.0004,0.0072,1355774400,0.35,snow,1018.74,CO,1355754042,1355788413,29.43,1355781600,16.39,1355752800,1355727600,9.7,137,0.58
0,2012-12-18 00:00:00,22.34,1355864400,17.1,1355842800,0.71,hinsdale,19.65,0.75,1355814000hinsdale,37.821165,-107.338261,0.2,,0,0.0008,1355889600,0,,1009.94,CO,1355840477,1355874835,31.55,1355864400,21.61,1355835600,1355814000,9.23,170,4.47
0,2012-12-19 00:00:00,22.54,1355904000,-10.52,1355983200,0.63,hinsdale,10.13,0.75,1355900400hinsdale,37.821165,-107.338261,0.23,2.847,0.0082,0.0214,1355914800,0.61,snow,1011.94,CO,1355926910,1355961260,28.27,1355904000,-0.38,1355983200,1355900400,6.82,286,5.18
0,2012-12-20 00:00:00,7.72,1356040800,-13.47,1356012000,0.01,hinsdale,-4.04,0.63,1355986800hinsdale,37.821165,-107.338261,0.27,0.08,0.0002,0.0016,1356037200,0.03,snow,1039.11,CO,1356013341,1356047686,20.51,1356040800,-4.13,1356012000,1355986800,9.98,187,2.4
0,2012-12-21 00:00:00,22.28,1356123600,-10.94,1356080400,0,hinsdale,-0.14,0.56,1356073200hinsdale,37.821165,-107.338261,0.3,,0,0,,0,,1034.6,CO,1356099771,1356134114,28.86,1356123600,0.46,1356084000,1356073200,9.96,223,5.32
0,2012-12-22 00:00:00,18.71,1356210000,-0.54,1356184800,0,hinsdale,1.51,0.53,1356159600hinsdale,37.821165,-107.338261,0.33,,0,0,,0,,1028.24,CO,1356186199,1356220544,28.31,1356210000,8.97,1356184800,1356159600,9.92,233,5.98
0,2012-12-23 00:00:00,25.72,1356296400,1.95,1356246000,0.37,hinsdale,10.9,0.69,1356246000hinsdale,37.821165,-107.338261,0.36,,0,0,,0,,1023.25,CO,1356272625,1356306976,29.9,1356296400,11.97,1356253200,1356246000,9.42,206,3.49
0,2012-12-24 00:00:00,20.62,1356375600,8.34,1356350400,0.89,hinsdale,17.41,0.82,1356332400hinsdale,37.821165,-107.338261,0.39,0.862,0.0026,0.011,1356400800,0.52,snow,1011.56,CO,1356359049,1356393410,26.67,1356375600,19.05,1356357600,1356332400,7.32,215,3.06
0,2012-12-25 00:00:00,22.84,1356465600,1.56,1356501600,0.4,hinsdale,11.28,0.81,1356418800hinsdale,37.821165,-107.338261,0.42,0.3,0.0007,0.0028,1356426000,0.09,snow,1019.31,CO,1356445471,1356479845,22.84,1356465600,10.28,1356501600,1356418800,8.71,245,0.18
0,2012-12-26 00:00:00,15.19,1356559200,-1.28,1356516000,0.78,hinsdale,10.2,0.73,1356505200hinsdale,37.821165,-107.338261,0.45,0.21,0.0005,0.0049,1356584400,0.21,snow,1014.03,CO,1356531891,1356566282,25.11,1356559200,9.71,1356508800,1356505200,8.9,212,5.56
0,2012-12-27 00:00:00,15.68,1356634800,3.07,1356613200,0.84,hinsdale,12.2,0.83,1356591600hinsdale,37.821165,-107.338261,0.48,1.36,0.0031,0.0091,1356656400,0.48,snow,1010.66,CO,1356618310,1356652721,23.02,1356634800,11.54,1356674400,1356591600,6.95,235,5.04
0,2012-12-28 00:00:00,12.14,1356728400,-7.27,1356760800,0.46,hinsdale,4.15,0.77,1356678000hinsdale,37.821165,-107.338261,0.51,0.136,0.0003,0.0019,1356681600,0.05,snow,1023.05,CO,1356704726,1356739161,18.07,1356728400,1.87,1356760800,1356678000,8.29,215,1.04
0,2012-12-29 00:00:00,15.82,1356818400,-10.5,1356764400,0.06,hinsdale,-4.07,0.56,1356764400hinsdale,37.821165,-107.338261,0.54,,0,0,,0,,1029.5,CO,1356791141,1356825603,20.78,1356818400,-0.4,1356782400,1356764400,9.96,165,2.94
0,2012-12-30 00:00:00,24.89,1356904800,-1.36,1356850800,0.52,hinsdale,5.11,0.67,1356850800hinsdale,37.821165,-107.338261,0.57,0.288,0.0007,0.0038,1356912000,0.14,snow,1020.53,CO,1356877554,1356912047,24.89,1356904800,6.37,1356872400,1356850800,8.9,187,2.94
0,2012-12-31 00:00:00,7.5,1356991200,-7.69,1357020000,0.45,hinsdale,1.53,0.79,1356937200hinsdale,37.821165,-107.338261,0.6,0.052,0.0001,0.0014,1356980400,0.03,snow,1028.28,CO,1356963964,1356998492,15.59,1356991200,0.54,1357020000,1356937200,8.29,179,0.9
0,2013-01-01 00:00:00,7.91,1357059600,-9.06,1357106400,0.4,hinsdale,0.15,0.77,1357023600hinsdale,37.821165,-107.338261,0.64,0.055,0.0001,0.0015,1357048800,0.03,snow,1029.86,CO,1357050373,1357084938,15.48,1357059600,-0.84,1357106400,1357023600,8.82,119,0.83
0,2013-01-02 00:00:00,9.13,1357160400,-11.78,1357189200,0.1,hinsdale,-3.2,0.69,1357110000hinsdale,37.821165,-107.338261,0.67,,0,0,,0,,1031.72,CO,1357136780,1357171386,16.44,1357160400,-3.37,1357131600,1357110000,9.87,94,1.28
0,2013-01-03 00:00:00,17.2,1357246800,-20.18,1357221600,0.01,hinsdale,-8.72,0.57,1357196400hinsdale,37.821165,-107.338261,0.71,,0,0,,0,,1036.12,CO,1357223184,1357257835,17.2,1357246800,-6.52,1357218000,1357196400,9.98,64,5.1
0,2013-01-04 00:00:00,20.19,1357336800,-17.34,1357293600,0,hinsdale,-5.09,0.61,1357282800hinsdale,37.821165,-107.338261,0.74,,0,0,,0,,1033.71,CO,1357309587,1357344286,20.19,1357336800,-9.12,1357293600,1357282800,9.96,73,2.45
0,2013-01-05 00:00:00,18.08,1357423200,-12.05,1357394400,0,hinsdale,-3.41,0.55,1357369200hinsdale,37.821165,-107.338261,0.78,,0,0,,0,,1036.39,CO,1357395987,1357430738,24.77,1357423200,-0.86,1357394400,1357369200,9.93,102,1.02
