,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2000-01-01,52.97,946681200,40.82,946634400,0.8,custer,42.15,0.79,946710000custer,37.8267,-122.4233,0.82,,0,0,,0,,1017.74,MT,946653980,946688485,52.97,946681200,42.61,946630800,946627200,6.64,243,4.68
0,2000-01-31 00:00:00,38.32,949363200,11.56,949309200,0.77,Mesa,20.04,0.75,949302000Mesa,39.08805378,-108.5160333,0.85,0.431,0.0019,0.0098,949374000,0.5,snow,1021.57,CO,949328586,949365260,38.32,949363200,22.16,949312800,949302000,6.69,107,3.32
0,2000-02-29 00:00:00,50.02,951865200,27.37,951825600,0.48,Mesa,27.8,0.66,951807600Mesa,39.08805378,-108.5160333,0.83,,0.0001,0.0022,951843600,0.06,rain,1016.86,CO,951832112,951872839,50.02,951865200,30.62,951832800,951807600,9.93,318,2.18
0,2000-03-31 00:00:00,51.6,954547200,29.02,954500400,0.88,Mesa,25.43,0.57,954486000Mesa,39.08805378,-108.5160333,0.86,,0.0011,0.0069,954525600,0.34,rain,1015.97,CO,954507608,954553087,51.6,954547200,34.34,954500400,954486000,9.62,28,6.88
0,2000-04-30 00:00:00,73.63,957139200,41.69,957096000,0.38,Mesa,28.77,0.38,957074400Mesa,39.08805378,-108.5160333,0.88,,0,0,,0,,1016.92,CO,957097042,957146844,73.63,957139200,47.32,957099600,957074400,9.97,344,9.14
0,2000-05-31 00:00:00,87.92,959810400,61.06,959770800,0,Mesa,28.47,0.17,959752800Mesa,39.08805378,-108.5160333,0.93,,0,0,,0,,1002.94,CO,959773896,959826903,92.27,959810400,61.06,959770800,959752800,9.96,210,4.96
0,2000-06-30 00:00:00,86.71,962398800,60.25,962366400,0.04,Mesa,40.36,0.31,962344800Mesa,39.08805378,-108.5160333,0.96,,0,0,,0,,1009.34,CO,962365972,962419510,90.87,962398800,60.25,962366400,962344800,10,131,3.11
0,2000-07-31 00:00:00,93.07,965088000,62.11,965048400,0.01,Mesa,42.99,0.31,965023200Mesa,39.08805378,-108.5160333,0.03,,0,0,,0,,1013.97,CO,965045733,965096862,97.33,965088000,62.11,965048400,965023200,9.99,122,3.55
0,2000-08-31 00:00:00,75.92,967755600,56.75,967723200,0.45,Mesa,49.68,0.58,967701600Mesa,39.08805378,-108.5160333,0.09,,0.0018,0.0219,967716000,0.61,rain,1011.22,CO,967725840,967772839,75.92,967755600,56.75,967723200,967701600,9.96,116,2.8
0,2000-09-30 00:00:00,79.12,970358400,45.96,970318800,0.05,Mesa,41.53,0.52,970293600Mesa,39.08805378,-108.5160333,0.1,,0,0,,0,,1013.58,CO,970319457,970361946,81.11,970358400,48.06,970315200,970293600,10,256,0.86
0,2000-10-31 00:00:00,39.45,973029600,29.54,973004400,0.75,Mesa,34.41,0.8,972975600Mesa,39.08805378,-108.5160333,0.15,,0.0212,0.1163,972993600,0.8,rain,1009.73,CO,972999749,973037717,44.46,973029600,36.18,973000800,972975600,9.09,280,2.33
0,2000-11-30 00:00:00,46.02,975618000,21.94,975650400,0.18,Mesa,20.59,0.57,975567600Mesa,39.08805378,-108.5160333,0.15,,0,0,,0,,1022.2,CO,975593726,975628417,49.36,975618000,26.47,975650400,975567600,9.93,1,1.61
0,2000-12-31 00:00:00,39.88,978300000,7.08,978271200,0.03,Mesa,14.87,0.65,978246000Mesa,39.08805378,-108.5160333,0.19,,0,0,,0,,1027.74,CO,978273265,978307363,39.88,978300000,14.91,978267600,978246000,9.97,90,1.36
0,2001-01-31 00:00:00,27.85,980985600,0.4,980949600,0.19,Mesa,8.97,0.64,980924400Mesa,39.08805378,-108.5160333,0.23,,0,0,,0,,1027.92,CO,980950947,980987712,32.6,980985600,10.3,980949600,980924400,9.92,70,1.3
0,2001-02-28 00:00:00,38.58,983386800,21.23,983354400,0.69,Mesa,28.32,0.81,983343600Mesa,39.08805378,-108.5160333,0.17,,0.0035,0.0542,983394000,0.72,rain,1013.27,CO,983368135,983408822,41.38,983386800,29.99,983354400,983343600,9.17,81,2.38
0,2001-03-31 00:00:00,65.29,986083200,24.03,986043600,0.07,Mesa,21.59,0.41,986022000Mesa,39.08805378,-108.5160333,0.23,,0,0,,0,,1013.7,CO,986043633,986089072,65.29,986083200,29.71,986040000,986022000,9.96,254,1.58
0,2001-04-30 00:00:00,78.36,988675200,39.76,988628400,0.03,Mesa,25.96,0.3,988610400Mesa,39.08805378,-108.5160333,0.25,,0,0,,0,,1014.68,CO,988633060,988682829,80.48,988675200,43.2,988628400,988610400,10,267,1.39
0,2001-05-31 00:00:00,82.16,991353600,52.56,991303200,0.01,Mesa,27.81,0.23,991288800Mesa,39.08805378,-108.5160333,0.32,,0.0001,0.0025,991314000,0.08,rain,1013.05,CO,991309903,991362892,85.95,991353600,52.56,991303200,991288800,9.98,298,2.36
0,2001-06-30 00:00:00,92.19,993942000,66.1,993902400,0.03,Mesa,40.47,0.26,993880800Mesa,39.08805378,-108.5160333,0.34,,0,0,,0,,1011,CO,993901965,993955511,97.23,993942000,66.1,993902400,993880800,10,106,3.39
0,2001-07-31 00:00:00,83.11,996620400,62.89,996584400,0.36,Mesa,55.99,0.57,996559200Mesa,39.08805378,-108.5160333,0.39,,0.0014,0.0102,996584400,0.51,rain,1010.45,CO,996581719,996632877,85.08,996620400,62.89,996584400,996559200,9.96,124,8.29
0,2001-08-31 00:00:00,80.49,999302400,59.04,999259200,0.17,Mesa,46.53,0.44,999237600Mesa,39.08805378,-108.5160333,0.43,,0.0016,0.0107,999259200,0.52,rain,1011.32,CO,999261826,999308863,82.59,999302400,59.04,999259200,999237600,9.99,120,4.74
0,2001-09-30 00:00:00,80.79,1001887200,54.06,1001854800,0.04,Mesa,32.93,0.29,1001829600Mesa,39.08805378,-108.5160333,0.44,,0,0,,0,,1017.19,CO,1001855442,1001897970,83.46,1001887200,54.06,1001854800,1001829600,9.98,92,3.88
0,2001-10-31 00:00:00,61.25,1004562000,42.22,1004590800,0.51,Mesa,33.27,0.46,1004511600Mesa,39.08805378,-108.5160333,0.48,,0.0007,0.0046,1004562000,0.19,rain,1009.13,CO,1004535732,1004573735,61.25,1004562000,42.22,1004590800,1004511600,9.92,263,5.64
0,2001-11-30 00:00:00,27.13,1007154000,20.54,1007172000,0.88,Mesa,25.86,0.9,1007103600Mesa,39.08805378,-108.5160333,0.49,0.59,0.0026,0.0246,1007139600,0.63,snow,1015.43,CO,1007129710,1007164421,32.68,1007154000,25.62,1007172000,1007103600,5.88,316,1.46
0,2001-12-31 00:00:00,34.86,1009836000,21.67,1009810800,0.88,Mesa,25.97,0.85,1009782000Mesa,39.08805378,-108.5160333,0.55,,0,0,,0,,1019.52,CO,1009809263,1009843350,34.86,1009836000,26.71,1009807200,1009782000,8.11,31,1
0,2002-01-31 00:00:00,21.87,1012521600,-8,1012489200,0.14,Mesa,-0.32,0.56,1012460400Mesa,39.08805378,-108.5160333,0.61,,0,0,,0,,1029.5,CO,1012486961,1012523694,26.36,1012521600,2.1,1012489200,1012460400,9.94,128,3.06
0,2002-02-28 00:00:00,46.39,1014937200,7.17,1014894000,0.39,Mesa,7.06,0.39,1014879600Mesa,39.08805378,-108.5160333,0.55,,0,0,,0,,1010.03,CO,1014904157,1014944806,46.39,1014937200,17.68,1014897600,1014879600,9.86,104,3.31
0,2002-03-31 00:00:00,72.12,1017619200,32.11,1017576000,0,Mesa,22.64,0.36,1017558000Mesa,39.08805378,-108.5160333,0.61,,0,0,,0,,1015.32,CO,1017579657,1017625057,72.12,1017619200,34.6,1017579600,1017558000,9.99,291,0.5
0,2002-04-30 00:00:00,76.67,1020204000,39.07,1020168000,0.01,Mesa,13.13,0.17,1020146400Mesa,39.08805378,-108.5160333,0.63,,0,0,,0,,1003.13,CO,1020169079,1020218813,76.67,1020204000,43.89,1020164400,1020146400,10,234,4.11
0,2002-05-31 00:00:00,89.67,1022886000,58.21,1022846400,0.01,Mesa,28.14,0.18,1022824800Mesa,39.08805378,-108.5160333,0.68,,0,0,,0,,1006.37,CO,1022845909,1022898881,95.81,1022886000,58.21,1022846400,1022824800,9.98,138,1.46
