,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2009-10-01,67.18,1254355200,52.22,1254319200,0.02,custer,40.74,0.53,1254376800custer,37.8267,-122.4233,0.39,,0,0,,0,,1020.64,MT,1254319556,1254362134,67.18,1254355200,52.22,1254319200,1254294000,9.52,292,4.86
0,2009-10-01 00:00:00,52.55,1254441600,28.19,1254391200,0.69,rosebud,32.02,0.66,1254376800rosebud,46.17336,-106.66641,0.42,,0.0047,0.0198,1254384000,0.6,rain,1015.18,MT,1254402406,1254444482,52.55,1254441600,39.02,1254376800,1254376800,9.46,311,22.64
0,2009-10-02 00:00:00,54.71,1254517200,27.75,1254488400,0.3,rosebud,28.6,0.57,1254463200rosebud,46.17336,-106.66641,0.45,,0,0,,0,,1017.12,MT,1254488883,1254530765,54.71,1254517200,35.67,1254488400,1254463200,10,321,10.83
0,2009-10-03 00:00:00,50.44,1254607200,24.81,1254571200,0.54,rosebud,30.75,0.69,1254549600rosebud,46.17336,-106.66641,0.48,,0.0005,0.0091,1254614400,0.48,rain,1016.23,MT,1254575361,1254617049,50.44,1254607200,30.94,1254574800,1254549600,9.87,19,4.43
0,2009-10-04 00:00:00,39.64,1254682800,28.2,1254700800,0.97,rosebud,34.44,0.8,1254636000rosebud,46.17336,-106.66641,0.52,,0.0049,0.0327,1254718800,0.66,rain,1018.1,MT,1254661839,1254703333,43.89,1254682800,36.15,1254700800,1254636000,8.86,56,6.66
0,2009-10-05 00:00:00,51.25,1254787200,26.96,1254754800,0.96,rosebud,34.11,0.9,1254722400rosebud,46.17336,-106.66641,0.55,,0.017,0.0397,1254733200,0.68,rain,1016.45,MT,1254748317,1254789617,51.25,1254787200,35.08,1254744000,1254722400,5.58,28,9.12
0,2009-10-06 00:00:00,52.45,1254870000,24.25,1254834000,0.43,rosebud,32.04,0.74,1254808800rosebud,46.17336,-106.66641,0.58,,0.0004,0.0033,1254834000,0.11,rain,1014.35,MT,1254834796,1254875902,52.45,1254870000,31.6,1254834000,1254808800,9.41,251,9.19
0,2009-10-07 00:00:00,38.79,1254906000,26.22,1254978000,0.84,rosebud,30.36,0.7,1254895200rosebud,46.17336,-106.66641,0.62,,0.0013,0.0053,1254970800,0.23,rain,1015.75,MT,1254921275,1254962188,46.75,1254906000,32.95,1254978000,1254895200,8.5,315,12.9
0,2009-10-08 00:00:00,37.09,1255039200,9.69,1255046400,0.62,rosebud,22.61,0.66,1254981600rosebud,46.17336,-106.66641,0.65,,0.0004,0.0036,1254981600,0.13,rain,1022.05,MT,1255007754,1255048474,40.77,1255039200,23.03,1255046400,1254981600,9.64,282,4.13
0,2009-10-09 00:00:00,28.71,1255068000,5.75,1255104000,0.83,rosebud,14.88,0.7,1255068000rosebud,46.17336,-106.66641,0.69,0.252,0.0011,0.0098,1255071600,0.5,snow,1027.82,MT,1255094234,1255134761,31.56,1255068000,18.85,1255150800,1255068000,7.93,328,14.9
0,2009-10-10 00:00:00,14.98,1255212000,6.42,1255158000,0.97,rosebud,9.32,0.58,1255154400rosebud,46.17336,-106.66641,0.73,0.038,0.0001,0.0014,1255219200,0.03,snow,1030.6,MT,1255180714,1255221049,25.55,1255212000,18.42,1255183200,1255154400,9.65,299,9.53
0,2009-10-11 00:00:00,20.91,1255305600,14.44,1255240800,0.98,rosebud,13.66,0.67,1255240800rosebud,46.17336,-106.66641,0.76,0.084,0.0003,0.0014,1255309200,0.03,snow,1024.2,MT,1255267194,1255307337,28.95,1255305600,20.26,1255262400,1255240800,7.62,79,1.74
0,2009-10-12 00:00:00,25.4,1255392000,13.56,1255352400,0.96,rosebud,18.11,0.76,1255327200rosebud,46.17336,-106.66641,0.8,,0,0,,0,,1021.94,MT,1255353675,1255393626,33.96,1255392000,19.61,1255352400,1255327200,8.96,107,5.39
0,2009-10-13 00:00:00,44.61,1255478400,18.98,1255438800,0.97,rosebud,26.31,0.79,1255413600rosebud,46.17336,-106.66641,0.84,,0,0,,0,,1018.25,MT,1255440156,1255479916,44.61,1255478400,28.14,1255413600,1255413600,9.04,117,10.01
0,2009-10-14 00:00:00,50.4,1255564800,25.01,1255500000,0.82,rosebud,32.99,0.83,1255500000rosebud,46.17336,-106.66641,0.88,,0.0007,0.0083,1255536000,0.43,rain,1011.76,MT,1255526637,1255566206,50.4,1255564800,32.95,1255510800,1255500000,8.1,96,2.84
0,2009-10-15 00:00:00,53.17,1255647600,34.91,1255611600,0.72,rosebud,36.09,0.75,1255586400rosebud,46.17336,-106.66641,0.91,,0.001,0.0098,1255600800,0.5,rain,1019.49,MT,1255613119,1255652498,53.17,1255647600,37.07,1255615200,1255586400,9.46,307,5.15
0,2009-10-16 00:00:00,66.83,1255737600,32.07,1255698000,0.38,rosebud,33.95,0.68,1255672800rosebud,46.17336,-106.66641,0.95,,0,0,,0,,1025.61,MT,1255699601,1255738790,66.83,1255737600,36.66,1255701600,1255672800,9.94,305,4.41
0,2009-10-17 00:00:00,72.74,1255816800,32.42,1255770000,0.01,rosebud,33.76,0.54,1255759200rosebud,46.17336,-106.66641,0.98,,0,0,,0,,1018.5,MT,1255786083,1255825083,72.74,1255816800,38.2,1255780800,1255759200,10,203,6.35
0,2009-10-18 00:00:00,68.38,1255896000,35.6,1255910400,0.11,rosebud,36.99,0.53,1255845600rosebud,46.17336,-106.66641,0.03,,0.0008,0.0086,1255917600,0.45,rain,1009.76,MT,1255872566,1255911377,68.38,1255896000,42.42,1255910400,1255845600,9.95,302,4.03
0,2009-10-19 00:00:00,40.84,1255986000,29.81,1256014800,0.58,rosebud,36.55,0.82,1255932000rosebud,46.17336,-106.66641,0.06,,0.0068,0.0264,1255978800,0.63,rain,1013.14,MT,1255959049,1255997673,46.36,1255986000,38.09,1256014800,1255932000,9.58,51,7.59
0,2009-10-20 00:00:00,40.44,1256083200,27.69,1256040000,0.97,rosebud,33.69,0.88,1256018400rosebud,46.17336,-106.66641,0.09,,0.0008,0.0062,1256018400,0.29,rain,1020.55,MT,1256045533,1256083969,43.51,1256083200,34.81,1256047200,1256018400,8.01,19,6.9
0,2009-10-21 00:00:00,45.18,1256169600,29.73,1256187600,0.7,rosebud,33.05,0.77,1256104800rosebud,46.17336,-106.66641,0.12,,0.0001,0.0012,1256137200,0.02,rain,1022.96,MT,1256132017,1256170266,48.56,1256169600,35.61,1256187600,1256104800,9.4,174,2.87
0,2009-10-22 00:00:00,51.67,1256256000,26.91,1256209200,0.45,rosebud,33.33,0.74,1256191200rosebud,46.17336,-106.66641,0.15,,0,0.0011,1256270400,0,,1018.1,MT,1256218501,1256256565,51.67,1256256000,33.9,1256209200,1256191200,9.96,190,4.35
0,2009-10-23 00:00:00,56.82,1256335200,25.53,1256306400,0.29,rosebud,32.39,0.69,1256277600rosebud,46.17336,-106.66641,0.18,,0.0003,0.0029,1256360400,0.09,rain,1013.08,MT,1256304986,1256342864,56.82,1256335200,31.15,1256306400,1256277600,9.33,247,5.29
0,2009-10-24 00:00:00,53.14,1256410800,32.59,1256446800,0.68,rosebud,36.59,0.71,1256364000rosebud,46.17336,-106.66641,0.21,,0.0023,0.0148,1256439600,0.56,rain,1006.71,MT,1256391471,1256429165,53.14,1256410800,39.69,1256446800,1256364000,9.87,311,11.06
0,2009-10-25 00:00:00,51.9,1256515200,25.55,1256529600,0.52,rosebud,29.33,0.69,1256450400rosebud,46.17336,-106.66641,0.24,,0.0008,0.0131,1256457600,0.54,rain,1021.02,MT,1256477956,1256515467,51.9,1256515200,32.11,1256533200,1256450400,9.48,305,11.06
0,2009-10-26 00:00:00,56.09,1256594400,22.66,1256554800,0.27,rosebud,25.75,0.54,1256536800rosebud,46.17336,-106.66641,0.27,,0,0,,0,,1009.93,MT,1256564441,1256601770,56.09,1256594400,30.13,1256547600,1256536800,10,204,8.19
0,2009-10-27 00:00:00,46.13,1256626800,26.67,1256706000,0.59,rosebud,28.33,0.55,1256623200rosebud,46.17336,-106.66641,0.3,,0.0001,0.0014,1256662800,0.03,rain,999.58,MT,1256650927,1256688075,50,1256626800,35.86,1256706000,1256623200,9.96,294,13.11
0,2009-10-28 00:00:00,27.09,1256763600,22.66,1256738400,0.9,rosebud,27.98,0.76,1256709600rosebud,46.17336,-106.66641,0.33,,0,0,,0,,1013.32,MT,1256737413,1256774381,36.9,1256763600,32.68,1256792400,1256709600,9.04,326,14.96
0,2009-10-29 00:00:00,42.18,1256860800,19.28,1256878800,0.67,rosebud,24.13,0.71,1256796000rosebud,46.17336,-106.66641,0.36,0.047,0.0002,0.0027,1256810400,0.08,snow,1016.45,MT,1256823899,1256860688,48.16,1256860800,26.25,1256878800,1256796000,9.39,318,7.48
0,2009-10-30 00:00:00,60.54,1256947200,18,1256882400,0.73,rosebud,27.61,0.62,1256882400rosebud,46.17336,-106.66641,0.39,,0,0,,0,,1006.35,MT,1256910386,1256946996,60.54,1256947200,25.48,1256886000,1256882400,9.97,287,8.76
0,2009-10-31 00:00:00,66.7,1257026400,34.29,1256990400,0.55,rosebud,33.69,0.55,1256968800rosebud,46.17336,-106.66641,0.43,,0,0,,0,,1008.68,MT,1256996873,1257033306,66.7,1257026400,39.16,1256990400,1256968800,10,252,7.59
0,2009-11-01 00:00:00,52.16,1257055200,33.01,1257138000,0.54,rosebud,31.15,0.57,1257055200rosebud,46.17336,-106.66641,0.46,,0,0,,0,,1019.34,MT,1257083359,1257119618,52.16,1257055200,36.75,1257141600,1257055200,10,312,7.46
0,2009-11-02 00:00:00,52.94,1257199200,23.78,1257166800,0.24,rosebud,27.25,0.64,1257145200rosebud,46.17336,-106.66641,0.49,,0.0002,0.0015,1257199200,0.03,rain,1026.07,MT,1257169846,1257205931,52.94,1257199200,28.54,1257170400,1257145200,10,203,4.07
0,2009-11-03 00:00:00,51.68,1257278400,22.73,1257314400,0.05,rosebud,23.21,0.52,1257231600rosebud,46.17336,-106.66641,0.53,,0,0,,0,,1021.98,MT,1257256333,1257292246,51.68,1257278400,28.46,1257314400,1257231600,9.99,302,9.8
0,2009-11-04 00:00:00,60.2,1257379200,16.38,1257343200,0.02,rosebud,23.18,0.58,1257318000rosebud,46.17336,-106.66641,0.57,,0,0,,0,,1023.65,MT,1257342821,1257378562,60.2,1257379200,24.19,1257336000,1257318000,9.88,175,4.39
0,2009-11-05 00:00:00,70.76,1257454800,25.09,1257422400,0.05,rosebud,25.62,0.45,1257404400rosebud,46.17336,-106.66641,0.6,,0,0,,0,,1011.66,MT,1257429308,1257464880,70.76,1257454800,31.43,1257422400,1257404400,9.93,200,5.95
0,2009-11-06 00:00:00,72.06,1257537600,33.5,1257573600,0.09,rosebud,26.25,0.37,1257490800rosebud,46.17336,-106.66641,0.64,,0,0,,0,,1003.07,MT,1257515795,1257551199,72.06,1257537600,39.71,1257573600,1257490800,10,250,9.26
0,2009-11-07 00:00:00,54.11,1257627600,29.59,1257660000,0.32,rosebud,23.8,0.5,1257577200rosebud,46.17336,-106.66641,0.68,,0,0,,0,,1012.2,MT,1257602282,1257637521,54.11,1257627600,33.82,1257660000,1257577200,10,228,4.32
0,2009-11-08 00:00:00,54.72,1257710400,23.24,1257678000,0.15,rosebud,20.43,0.53,1257663600rosebud,46.17336,-106.66641,0.72,,0,0,,0,,1017.26,MT,1257688769,1257723844,54.72,1257710400,28.59,1257678000,1257663600,10,257,5.84
0,2009-11-09 00:00:00,53.58,1257800400,19.25,1257760800,0.02,rosebud,17.18,0.47,1257750000rosebud,46.17336,-106.66641,0.75,,0,0,,0,,1024.85,MT,1257775256,1257810169,53.58,1257800400,24.71,1257768000,1257750000,10,176,4.58
0,2009-11-10 00:00:00,53.73,1257890400,28.98,1257843600,0.07,rosebud,21.39,0.47,1257836400rosebud,46.17336,-106.66641,0.79,,0,0,,0,,1019.34,MT,1257861743,1257896495,53.73,1257890400,31.43,1257919200,1257836400,10,190,4.97
0,2009-11-11 00:00:00,53.65,1257973200,24.34,1257926400,0.23,rosebud,24.14,0.57,1257922800rosebud,46.17336,-106.66641,0.83,,0.0004,0.0067,1258005600,0.32,rain,1015.34,MT,1257948230,1257982824,53.65,1257973200,27.32,1257948000,1257922800,9.89,239,1.13
0,2009-11-12 00:00:00,38.31,1258009200,21.1,1258092000,0.66,rosebud,28.38,0.75,1258009200rosebud,46.17336,-106.66641,0.86,,0.0012,0.0052,1258066800,0.22,rain,1006.6,MT,1258034716,1258069154,40.93,1258009200,27.25,1258092000,1258009200,8.72,324,7.26
0,2009-11-13 00:00:00,34.52,1258149600,14.66,1258124400,0.33,rosebud,20.85,0.77,1258095600rosebud,46.17336,-106.66641,0.9,,0,0,,0,,1009.86,MT,1258121202,1258155487,39.24,1258149600,20.61,1258120800,1258095600,8.94,238,4.84
0,2009-11-14 00:00:00,32.43,1258232400,6.81,1258203600,0.04,rosebud,16.69,0.69,1258182000rosebud,46.17336,-106.66641,0.93,,0,0,,0,,1016.93,MT,1258207688,1258241821,37.95,1258232400,15.44,1258203600,1258182000,9.94,245,5.37
0,2009-11-15 00:00:00,41.77,1258329600,8.39,1258286400,0,rosebud,15.86,0.6,1258268400rosebud,46.17336,-106.66641,0.97,,0,0,,0,,1023.74,MT,1258294174,1258328157,46.12,1258329600,18.84,1258293600,1258268400,10,222,7.64
0,2009-11-16 00:00:00,54.55,1258405200,16.46,1258372800,0.03,rosebud,18.62,0.47,1258354800rosebud,46.17336,-106.66641,0.99,,0,0,,0,,1021.29,MT,1258380659,1258414496,54.55,1258405200,25.68,1258372800,1258354800,10,202,7.88
0,2009-11-17 00:00:00,60.52,1258491600,25,1258466400,0.02,rosebud,23.04,0.47,1258441200rosebud,46.17336,-106.66641,0.04,,0,0,,0,,1014.6,MT,1258467143,1258500836,60.52,1258491600,31.51,1258466400,1258441200,10,187,6.49
0,2009-11-18 00:00:00,57.55,1258578000,23.07,1258552800,0.03,rosebud,22.91,0.52,1258527600rosebud,46.17336,-106.66641,0.07,,0,0,,0,,1011.84,MT,1258553627,1258587179,57.55,1258578000,29.3,1258552800,1258527600,9.98,281,4.31
0,2009-11-19 00:00:00,50.99,1258668000,17.64,1258639200,0.03,rosebud,21.04,0.57,1258614000rosebud,46.17336,-106.66641,0.1,,0,0,,0,,1019.74,MT,1258640110,1258673524,50.99,1258668000,24.02,1258639200,1258614000,9.99,215,4.69
0,2009-11-20 00:00:00,56.71,1258750800,20.75,1258725600,0.04,rosebud,20.83,0.46,1258700400rosebud,46.17336,-106.66641,0.13,,0,0,,0,,1011.69,MT,1258726593,1258759871,56.71,1258750800,28.83,1258725600,1258700400,9.99,182,6.9
0,2009-11-21 00:00:00,51.09,1258833600,22.84,1258866000,0.12,rosebud,17.48,0.37,1258786800rosebud,46.17336,-106.66641,0.16,,0,0,,0,,1004.24,MT,1258813075,1258846221,51.09,1258833600,29.2,1258869600,1258786800,10,273,8.94
0,2009-11-22 00:00:00,40.27,1258923600,13.58,1258894800,0.22,rosebud,16.73,0.54,1258873200rosebud,46.17336,-106.66641,0.19,,0,0,,0,,1012.75,MT,1258899556,1258932572,45.22,1258923600,20.76,1258898400,1258873200,9.99,192,4.45
0,2009-11-23 00:00:00,36.91,1259013600,18.2,1258984800,0.4,rosebud,20.43,0.6,1258959600rosebud,46.17336,-106.66641,0.22,,0,0,,0,,1019.82,MT,1258986036,1259018926,44.03,1259013600,26.32,1258984800,1258959600,10,289,9.27
0,2009-11-24 00:00:00,41.76,1259092800,16.42,1259064000,0.32,rosebud,21.22,0.62,1259046000rosebud,46.17336,-106.66641,0.25,,0.0001,0.0012,1259103600,0.02,rain,1022.68,MT,1259072515,1259105282,47.48,1259092800,23.86,1259064000,1259046000,9.79,275,7.27
0,2009-11-25 00:00:00,46.24,1259193600,14.29,1259157600,0.22,rosebud,22.48,0.67,1259132400rosebud,46.17336,-106.66641,0.28,,0,0.0011,1259132400,0,,1024.45,MT,1259158994,1259191641,49.95,1259193600,22.66,1259157600,1259132400,9.93,239,5.14
0,2009-11-26 00:00:00,61.12,1259269200,21.89,1259226000,0.03,rosebud,25.36,0.54,1259218800rosebud,46.17336,-106.66641,0.31,,0,0,,0,,1015.34,MT,1259245471,1259278002,61.12,1259269200,30.15,1259222400,1259218800,10,229,7.1
0,2009-11-27 00:00:00,47.09,1259352000,25.56,1259366400,0.13,rosebud,24.62,0.58,1259305200rosebud,46.17336,-106.66641,0.34,,0,0,,0,,1010.49,MT,1259331947,1259364366,47.09,1259352000,31.21,1259366400,1259305200,10,265,2.49
0,2009-11-28 00:00:00,33.53,1259445600,18.41,1259474400,0.56,rosebud,24.81,0.72,1259391600rosebud,46.17336,-106.66641,0.37,,0.0003,0.0027,1259420400,0.08,rain,1018.55,MT,1259418422,1259450732,38.38,1259445600,24.77,1259474400,1259391600,9.41,297,7.38
0,2009-11-29 00:00:00,40.78,1259532000,15.15,1259492400,0.26,rosebud,21.28,0.63,1259478000rosebud,46.17336,-106.66641,0.41,,0,0,,0,,1019.5,MT,1259504896,1259537101,47.14,1259532000,23.96,1259506800,1259478000,10,261,7.85
0,2009-11-30 00:00:00,53.6,1259611200,13.82,1259625600,0.06,rosebud,21.94,0.48,1259564400rosebud,46.17336,-106.66641,0.44,,0,0,,0,,1012.87,MT,1259591368,1259623472,53.6,1259611200,26.11,1259625600,1259564400,9.98,257,10.02
0,2009-12-01 00:00:00,34.42,1259650800,4.69,1259712000,0.67,rosebud,17.11,0.62,1259650800rosebud,46.17336,-106.66641,0.48,0.058,0.0002,0.0029,1259679600,0.09,snow,1017.77,MT,1259677839,1259709845,42.55,1259650800,18.03,1259712000,1259650800,9.17,314,17
0,2009-12-02 00:00:00,7.01,1259787600,0.71,1259820000,0.72,rosebud,9.84,0.7,1259737200rosebud,46.17336,-106.66641,0.52,0.032,0.0001,0.0017,1259809200,0.04,snow,1026.55,MT,1259764308,1259796222,21.22,1259787600,12.06,1259798400,1259737200,8.81,316,11.01
0,2009-12-03 00:00:00,12.11,1259884800,-10.24,1259906400,0.56,rosebud,5.44,0.75,1259823600rosebud,46.17336,-106.66641,0.55,,0,0,,0,,1028.93,MT,1259850776,1259882601,21.37,1259884800,3.59,1259906400,1259823600,8.96,294,6.68
0,2009-12-04 00:00:00,21.3,1259964000,-11.42,1259910000,0.23,rosebud,4.25,0.67,1259910000rosebud,46.17336,-106.66641,0.59,,0,0,,0,,1015.38,MT,1259937243,1259968982,26.69,1259964000,1.66,1259935200,1259910000,9.85,218,5.75
0,2009-12-05 00:00:00,9.91,1259996400,-7.33,1260057600,0.7,rosebud,9.3,0.76,1259996400rosebud,46.17336,-106.66641,0.63,0.027,0.0001,0.0014,1260068400,0.03,snow,1018.56,MT,1260023707,1260055366,20.4,1259996400,5.17,1260057600,1259996400,7.74,325,9.76
0,2009-12-06 00:00:00,-4.08,1260129600,-10.55,1260100800,0.96,rosebud,-0.07,0.78,1260082800rosebud,46.17336,-106.66641,0.66,0.032,0.0001,0.0017,1260118800,0.04,snow,1030.64,MT,1260110170,1260141753,8.83,1260129600,-1.51,1260144000,1260082800,5.29,340,7.39
0,2009-12-07 00:00:00,-8.57,1260219600,-22.3,1260230400,0.74,rosebud,-8.95,0.76,1260169200rosebud,46.17336,-106.66641,0.7,0.027,0.0001,0.0014,1260180000,0.03,snow,1028.35,MT,1260196632,1260228143,2.41,1260219600,-9.91,1260198000,1260169200,7.2,14,4.03
0,2009-12-08 00:00:00,-6.85,1260316800,-29.35,1260338400,0.85,rosebud,-10.54,0.75,1260255600rosebud,46.17336,-106.66641,0.74,0.118,0.0003,0.0017,1260288000,0.04,snow,1023.58,MT,1260283091,1260314535,4.7,1260316800,-14.76,1260338400,1260255600,4.65,351,5.35
0,2009-12-09 00:00:00,4.79,1260403200,-38.31,1260352800,0.37,rosebud,-12.02,0.68,1260342000rosebud,46.17336,-106.66641,0.78,0.032,0.0001,0.0017,1260417600,0.04,snow,1018.31,MT,1260369548,1260400930,13.91,1260403200,-17.7,1260363600,1260342000,9.02,249,8.23
0,2009-12-10 00:00:00,16.08,1260489600,-9.05,1260442800,0.5,rosebud,-0.19,0.59,1260428400rosebud,46.17336,-106.66641,0.81,0.032,0.0001,0.0017,1260446400,0.04,snow,1013.85,MT,1260456004,1260487327,22.7,1260489600,2.54,1260511200,1260428400,9,278,9.98
0,2009-12-11 00:00:00,19.98,1260561600,-9.46,1260518400,0.25,rosebud,2.99,0.6,1260514800rosebud,46.17336,-106.66641,0.85,0.032,0.0001,0.0017,1260576000,0.04,snow,1011.52,MT,1260542457,1260573728,27.66,1260561600,2.02,1260518400,1260514800,9.8,208,5.62
0,2009-12-12 00:00:00,11.02,1260644400,-18.26,1260662400,0.39,rosebud,2.18,0.66,1260601200rosebud,46.17336,-106.66641,0.88,0.276,0.0006,0.0067,1260684000,0.32,snow,1010.31,MT,1260628909,1260660131,20.07,1260644400,-5.7,1260662400,1260601200,8.67,39,5.54
0,2009-12-13 00:00:00,-18.04,1260691200,-24.72,1260716400,0.9,rosebud,-12.97,0.68,1260687600rosebud,46.17336,-106.66641,0.91,0.628,0.0014,0.0067,1260698400,0.32,snow,1018.85,MT,1260715358,1260746537,-0.34,1260691200,-10.23,1260748800,1260687600,5.8,41,7.21
0,2009-12-14 00:00:00,2.63,1260835200,-31.49,1260856800,0.58,rosebud,-16.75,0.71,1260774000rosebud,46.17336,-106.66641,0.95,0.458,0.001,0.0078,1260774000,0.39,snow,1028.52,MT,1260801805,1260832945,12.62,1260835200,-19.91,1260856800,1260774000,8.2,299,3.79
0,2009-12-15 00:00:00,25.5,1260921600,-35.5,1260867600,0.21,rosebud,-7.12,0.69,1260860400rosebud,46.17336,-106.66641,0.98,,0,0,,0,,1025.52,MT,1260888250,1260919357,31.75,1260921600,-19.49,1260867600,1260860400,9.89,178,3.14
0,2009-12-16 00:00:00,29.16,1261008000,2.62,1260950400,0.19,rosebud,15.33,0.71,1260946800rosebud,46.17336,-106.66641,0.01,,0,0,,0,,1020.55,MT,1260974692,1261005771,34.7,1261008000,11.8,1260950400,1260946800,10,203,5.85
0,2009-12-17 00:00:00,31.33,1261087200,13.31,1261054800,0.33,rosebud,22.02,0.75,1261033200rosebud,46.17336,-106.66641,0.04,,0,0,,0,,1021.97,MT,1261061132,1261092187,36.51,1261087200,21.23,1261058400,1261033200,10,252,5.23
0,2009-12-18 00:00:00,29.22,1261173600,6.26,1261195200,0.05,rosebud,17.98,0.76,1261119600rosebud,46.17336,-106.66641,0.07,,0,0,,0,,1025.15,MT,1261147570,1261178607,33.09,1261173600,16.53,1261202400,1261119600,9.64,254,5.95
0,2009-12-19 00:00:00,29.7,1261260000,4.21,1261213200,0.27,rosebud,19.18,0.73,1261206000rosebud,46.17336,-106.66641,0.1,0.013,0.0001,0.0017,1261270800,0.04,snow,1019.14,MT,1261234006,1261265029,35.97,1261260000,13.28,1261206000,1261206000,9.56,245,6.08
0,2009-12-20 00:00:00,35.05,1261342800,19.14,1261353600,0.84,rosebud,26.34,0.83,1261292400rosebud,46.17336,-106.66641,0.13,,0,0,,0,,1017.25,MT,1261320438,1261351453,35.05,1261342800,26.29,1261353600,1261292400,6.29,295,1.43
0,2009-12-21 00:00:00,24.31,1261429200,13.73,1261386000,0.78,rosebud,21.97,0.84,1261378800rosebud,46.17336,-106.66641,0.16,0.63,0.0023,0.0095,1261396800,0.5,snow,1012.28,MT,1261406869,1261437881,30.99,1261429200,23.57,1261458000,1261378800,5.94,61,6.33
0,2009-12-22 00:00:00,20.98,1261512000,-11.97,1261526400,0.71,rosebud,20.33,0.87,1261465200rosebud,46.17336,-106.66641,0.19,,0,0,,0,,1013.53,MT,1261493297,1261524311,27.78,1261512000,4.81,1261526400,1261465200,6.21,47,4.1
0,2009-12-23 00:00:00,16.75,1261551600,-19.63,1261634400,0.8,rosebud,6.64,0.81,1261551600rosebud,46.17336,-106.66641,0.22,0.393,0.001,0.0045,1261576800,0.18,snow,1025.17,MT,1261579722,1261610743,22.21,1261551600,-4.71,1261630800,1261551600,4.66,318,11.44
0,2009-12-24 00:00:00,-10.64,1261699200,-21.63,1261652400,0.55,rosebud,-8.05,0.74,1261638000rosebud,46.17336,-106.66641,0.26,,0,0,,0,,1029.23,MT,1261666145,1261697178,8.34,1261699200,-5.96,1261638000,1261638000,8.91,293,6.29
0,2009-12-25 00:00:00,-1.69,1261785600,-21.46,1261731600,0.87,rosebud,-2.23,0.74,1261724400rosebud,46.17336,-106.66641,0.29,0.052,0.0001,0.0014,1261792800,0.03,snow,1028.96,MT,1261752565,1261783616,11.45,1261785600,-3.4,1261738800,1261724400,5.45,318,16.61
0,2009-12-26 00:00:00,2.07,1261864800,-12.72,1261890000,0.56,rosebud,3.9,0.76,1261810800rosebud,46.17336,-106.66641,0.32,,0,0,,0,,1029.89,MT,1261838983,1261870055,14.85,1261864800,3.61,1261890000,1261810800,8.09,304,12.26
0,2009-12-27 00:00:00,9.26,1261947600,-10.87,1261929600,0.22,rosebud,2.87,0.77,1261897200rosebud,46.17336,-106.66641,0.35,,0,0,,0,,1030.29,MT,1261925397,1261956498,17.44,1261947600,1.57,1261926000,1261897200,10,242,6.93
0,2009-12-28 00:00:00,10.41,1262044800,-8.19,1262008800,0.02,rosebud,3.1,0.74,1261983600rosebud,46.17336,-106.66641,0.39,,0,0,,0,,1029.02,MT,1262011810,1262042943,18.88,1262044800,4.3,1262008800,1261983600,9.92,206,5.64
0,2009-12-29 00:00:00,14.23,1262120400,-6.89,1262095200,0.14,rosebud,4.65,0.7,1262070000rosebud,46.17336,-106.66641,0.42,,0,0,,0,,1018.53,MT,1262098219,1262129390,21.39,1262120400,4.77,1262095200,1262070000,9.88,214,5.46
0,2009-12-30 00:00:00,12.76,1262206800,-3.86,1262217600,0.62,rosebud,5.65,0.73,1262156400rosebud,46.17336,-106.66641,0.46,,0,0,,0,,1017.41,MT,1262184626,1262215839,18.18,1262206800,5.19,1262217600,1262156400,9.52,290,2.58
0,2009-12-31 00:00:00,3.82,1262242800,-8.77,1262275200,0.78,rosebud,1.7,0.77,1262242800rosebud,46.17336,-106.66641,0.5,0.423,0.0009,0.0033,1262253600,0.11,snow,1027.64,MT,1262271030,1262302291,12.14,1262242800,3.75,1262325600,1262242800,6.68,357,4.11
0,2010-01-01 00:00:00,22.96,1262390400,-12.53,1262350800,0.74,rosebud,0.23,0.74,1262329200rosebud,46.17336,-106.66641,0.54,0.032,0.0001,0.0017,1262329200,0.04,snow,1028.48,MT,1262357432,1262388744,28.62,1262390400,0.33,1262350800,1262329200,8.53,116,7.31
0,2010-01-02 00:00:00,24.84,1262466000,-2.32,1262419200,0.72,rosebud,15.28,0.74,1262415600rosebud,46.17336,-106.66641,0.57,0.149,0.0004,0.0033,1262448000,0.11,snow,1020.59,MT,1262443831,1262475200,30.42,1262466000,12.19,1262415600,1262415600,9.2,193,3.85
0,2010-01-03 00:00:00,13.81,1262502000,4.26,1262584800,0.75,rosebud,13.19,0.79,1262502000rosebud,46.17336,-106.66641,0.61,,0,0,,0,,1029.96,MT,1262530227,1262561658,24.05,1262502000,10.57,1262584800,1262502000,8.5,325,4.74
0,2010-01-04 00:00:00,14.71,1262638800,3.41,1262649600,0.67,rosebud,8.98,0.8,1262588400rosebud,46.17336,-106.66641,0.65,0.082,0.0002,0.0043,1262649600,0.17,snow,1029.55,MT,1262616620,1262648118,19.68,1262638800,8.16,1262606400,1262588400,8.65,39,1.67
