,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2012-10-01,74.48,1349046000,53.37,1349006400,0.06,custer,49.57,0.67,1349071200custer,37.8267,-122.4233,0.53,,0,0,,0,,1016.59,MT,1349013968,1349056513,74.48,1349046000,53.37,1349006400,1348988400,10,278,2.62
0,2012-10-01 00:00:00,69.15,1349128800,36.41,1349092800,0.12,campbell,34.02,0.5,1349071200campbell,44.191999,-105.517014,0.55,,0,0,,0,,1021.15,WY,1349096498,1349138629,69.15,1349128800,37.4,1349096400,1349071200,9.97,268,1
0,2012-10-02 00:00:00,79.83,1349215200,52.89,1349240400,0,campbell,28.28,0.28,1349157600campbell,44.191999,-105.517014,0.58,,0,0,,0,,1007.45,WY,1349182969,1349224919,79.83,1349215200,52.89,1349240400,1349157600,9.98,268,2.23
0,2012-10-03 00:00:00,52.05,1349251200,22.49,1349326800,0.53,campbell,31.82,0.71,1349244000campbell,44.191999,-105.517014,0.61,,0.0028,0.0082,1349319600,0.42,rain,1016.21,WY,1349269441,1349311209,52.05,1349251200,33.25,1349323200,1349244000,8.93,333,14.49
0,2012-10-04 00:00:00,36.95,1349384400,22.24,1349334000,0.81,campbell,25.83,0.7,1349330400campbell,44.191999,-105.517014,0.64,,0.0013,0.0103,1349341200,0.51,rain,1029.08,WY,1349355912,1349397500,41.9,1349384400,29.96,1349352000,1349330400,9.77,3,5.19
0,2012-10-05 00:00:00,36.53,1349463600,23.4,1349499600,0.97,campbell,27.91,0.84,1349416800campbell,44.191999,-105.517014,0.67,0.807,0.0042,0.0187,1349481600,0.59,snow,1028.62,WY,1349442384,1349483791,36.53,1349463600,30.03,1349499600,1349416800,7.09,28,2.56
0,2012-10-06 00:00:00,33.69,1349560800,19.12,1349524800,0.46,campbell,21.97,0.74,1349503200campbell,44.191999,-105.517014,0.7,0.266,0.0012,0.0129,1349503200,0.54,snow,1029.2,WY,1349528856,1349570083,38.38,1349560800,22.31,1349528400,1349503200,9.3,295,2.41
0,2012-10-07 00:00:00,54.29,1349650800,21.27,1349596800,0.24,campbell,23.27,0.51,1349589600campbell,44.191999,-105.517014,0.73,,0,0,,0,,1018.88,WY,1349615329,1349656375,54.29,1349650800,28.53,1349589600,1349589600,10,257,8.87
0,2012-10-08 00:00:00,52.49,1349730000,31.6,1349758800,0.44,campbell,29.76,0.55,1349676000campbell,44.191999,-105.517014,0.77,,0.0018,0.0139,1349758800,0.55,rain,1011.9,WY,1349701802,1349742668,52.49,1349730000,38.38,1349758800,1349676000,9.87,308,7.62
0,2012-10-09 00:00:00,39.88,1349823600,23.82,1349776800,0.68,campbell,29.52,0.76,1349762400campbell,44.191999,-105.517014,0.8,,0.0039,0.0365,1349776800,0.67,rain,1019.35,WY,1349788275,1349828961,45.42,1349823600,32.21,1349787600,1349762400,9.5,312,7.18
0,2012-10-10 00:00:00,66.44,1349906400,26.17,1349856000,0.01,campbell,27.4,0.5,1349848800campbell,44.191999,-105.517014,0.83,,0,0,,0,,1015.44,WY,1349874748,1349915255,66.44,1349906400,34.54,1349866800,1349848800,9.99,239,6.35
0,2012-10-11 00:00:00,42.58,1349996400,27.02,1350018000,0.45,campbell,31.22,0.71,1349935200campbell,44.191999,-105.517014,0.86,,0,0,,0,,1020.98,WY,1349961222,1350001550,46.7,1349996400,34.33,1349960400,1349935200,9.93,79,3.79
0,2012-10-12 00:00:00,74,1350079200,22.55,1350046800,0.03,campbell,32.22,0.53,1350021600campbell,44.191999,-105.517014,0.9,,0,0,,0,,1012,WY,1350047696,1350087846,74,1350079200,33.38,1350046800,1350021600,9.97,179,12.15
0,2012-10-13 00:00:00,64.95,1350158400,42.84,1350190800,0.37,campbell,33.05,0.46,1350108000campbell,44.191999,-105.517014,0.93,,0,0,,0,,1010.29,WY,1350134171,1350174142,64.95,1350158400,44.26,1350129600,1350108000,9.97,309,8.71
0,2012-10-14 00:00:00,64.63,1350252000,34.62,1350216000,0.08,campbell,31.12,0.47,1350194400campbell,44.191999,-105.517014,0.97,,0,0,,0,,1018.14,WY,1350220646,1350260440,64.63,1350252000,40.16,1350216000,1350194400,10,280,8.82
0,2012-10-15 00:00:00,70.37,1350334800,43.66,1350363600,0.21,campbell,29.56,0.37,1350280800campbell,44.191999,-105.517014,0.01,,0,0.0008,1350352800,0,,1009.47,WY,1350307121,1350346738,70.37,1350334800,46.76,1350363600,1350280800,10,256,6.52
0,2012-10-16 00:00:00,64.12,1350417600,35.86,1350450000,0.43,campbell,37.37,0.64,1350367200campbell,44.191999,-105.517014,0.04,,0.0092,0.0741,1350435600,0.75,rain,1001.03,WY,1350393597,1350433037,64.12,1350417600,42.93,1350385200,1350367200,9.64,269,7.53
0,2012-10-17 00:00:00,37.41,1350504000,24.37,1350536400,0.42,campbell,21.29,0.46,1350453600campbell,44.191999,-105.517014,0.08,,0.0004,0.0035,1350453600,0.12,rain,1009.53,WY,1350480073,1350519337,46.09,1350504000,36.04,1350536400,1350453600,9.98,313,22.99
0,2012-10-18 00:00:00,42.76,1350597600,20.19,1350565200,0.05,campbell,14.78,0.4,1350540000campbell,44.191999,-105.517014,0.12,,0.0014,0.0231,1350572400,0.62,rain,1019.15,WY,1350566550,1350605637,49.36,1350597600,30.33,1350622800,1350540000,10,313,19.44
0,2012-10-19 00:00:00,64.97,1350680400,27.17,1350630000,0.07,campbell,22.92,0.39,1350626400campbell,44.191999,-105.517014,0.16,,0,0,,0,,1011.41,WY,1350653026,1350691939,64.97,1350680400,32.29,1350630000,1350626400,10,228,4.47
0,2012-10-20 00:00:00,70.87,1350759600,42.02,1350795600,0.08,campbell,29.71,0.39,1350712800campbell,44.191999,-105.517014,0.2,,0,0,,0,,1001.27,WY,1350739504,1350778242,70.87,1350759600,45.81,1350792000,1350712800,9.99,263,5.37
0,2012-10-21 00:00:00,40.41,1350799200,34.97,1350828000,0.73,campbell,35.55,0.75,1350799200campbell,44.191999,-105.517014,0.23,,0.0008,0.0041,1350882000,0.16,rain,1010.57,WY,1350825981,1350864546,45.74,1350799200,39.2,1350828000,1350799200,9.71,44,4.5
0,2012-10-22 00:00:00,42.77,1350946800,33.36,1350896400,0.57,campbell,38.87,0.81,1350885600campbell,44.191999,-105.517014,0.27,,0.0018,0.0161,1350921600,0.57,rain,1008.01,WY,1350912459,1350950851,48.8,1350946800,41.32,1350910800,1350885600,9.88,160,13.45
0,2012-10-23 00:00:00,45.85,1351022400,35.21,1351044000,0.75,campbell,38.27,0.86,1350972000campbell,44.191999,-105.517014,0.3,,0.0068,0.0466,1351026000,0.7,rain,1006.56,WY,1350998937,1351037158,46.68,1351022400,38.1,1351054800,1350972000,9.13,328,1.2
0,2012-10-24 00:00:00,37.97,1351058400,17.74,1351141200,0.8,campbell,28.85,0.9,1351058400campbell,44.191999,-105.517014,0.34,1.252,0.0062,0.0174,1351083600,0.58,snow,1016.97,WY,1351085416,1351123465,37.97,1351058400,25.45,1351141200,1351058400,7.86,348,5.74
0,2012-10-25 00:00:00,17.91,1351195200,13.22,1351152000,0.81,campbell,21.51,0.88,1351144800campbell,44.191999,-105.517014,0.37,0.077,0.0003,0.0025,1351188000,0.07,snow,1026.74,WY,1351171895,1351209774,26.36,1351195200,22.04,1351152000,1351144800,9.29,343,7.03
0,2012-10-26 00:00:00,31.96,1351288800,12,1351231200,0.33,campbell,18.9,0.74,1351231200campbell,44.191999,-105.517014,0.4,0.019,0.0001,0.0008,1351263600,0.01,snow,1029.12,WY,1351258374,1351296084,36.18,1351288800,16.68,1351256400,1351231200,9.99,225,2.85
0,2012-10-27 00:00:00,43.89,1351375200,19.37,1351332000,0.58,campbell,21.4,0.67,1351317600campbell,44.191999,-105.517014,0.44,,0,0,,0,,1020.37,WY,1351344853,1351382395,43.89,1351375200,23.29,1351339200,1351317600,10,248,1.91
0,2012-10-28 00:00:00,56.09,1351458000,21.27,1351422000,0.42,campbell,28.1,0.64,1351404000campbell,44.191999,-105.517014,0.47,,0,0,,0,,1015.52,WY,1351431333,1351468707,56.09,1351458000,29.32,1351429200,1351404000,9.99,190,5.93
0,2012-10-29 00:00:00,62.52,1351540800,33.28,1351512000,0.32,campbell,34.1,0.61,1351490400campbell,44.191999,-105.517014,0.49,,0.0002,0.0047,1351540800,0.19,rain,1014.65,WY,1351517813,1351555021,62.52,1351540800,36.6,1351512000,1351490400,9.95,213,4
0,2012-10-30 00:00:00,60.72,1351634400,32.21,1351602000,0.05,campbell,33.65,0.6,1351576800campbell,44.191999,-105.517014,0.53,,0,0,,0,,1017.07,WY,1351604294,1351641336,60.72,1351634400,35.51,1351602000,1351576800,9.95,250,2.57
0,2012-10-31 00:00:00,66.81,1351713600,37.67,1351688400,0.02,campbell,30.72,0.47,1351663200campbell,44.191999,-105.517014,0.56,,0,0,,0,,1016.4,WY,1351690774,1351727653,66.81,1351713600,41.82,1351666800,1351663200,9.99,250,2.79
0,2012-11-01 00:00:00,60.03,1351800000,37.13,1351771200,0.11,campbell,32.45,0.52,1351749600campbell,44.191999,-105.517014,0.59,,0,0,,0,,1010,WY,1351777255,1351813971,60.03,1351800000,42.69,1351774800,1351749600,9.2,202,7.58
0,2012-11-02 00:00:00,54.39,1351890000,28.47,1351918800,0.32,campbell,30.64,0.63,1351836000campbell,44.191999,-105.517014,0.62,,0,0,,0,,1016.32,WY,1351863735,1351900291,54.39,1351890000,32.47,1351918800,1351836000,9.5,315,8.23
0,2012-11-03 00:00:00,56.02,1351980000,24.13,1351944000,0.06,campbell,26.67,0.61,1351922400campbell,44.191999,-105.517014,0.65,,0,0,,0,,1020.79,WY,1351950216,1351986612,56.02,1351980000,29.28,1351926000,1351922400,9.91,213,4.38
0,2012-11-04 00:00:00,51.84,1352066400,33.45,1352008800,0.63,campbell,30.22,0.56,1352008800campbell,44.191999,-105.517014,0.68,,0.0004,0.0049,1352073600,0.21,rain,1021.28,WY,1352036697,1352072934,51.84,1352066400,38.37,1352095200,1352008800,9.98,298,8.07
0,2012-11-05 00:00:00,61.92,1352149200,32.03,1352113200,0.25,campbell,33.25,0.58,1352098800campbell,44.191999,-105.517014,0.71,,0,0,,0,,1019.45,WY,1352123179,1352159259,61.92,1352149200,37.81,1352098800,1352098800,9.99,263,6.72
0,2012-11-06 00:00:00,57.71,1352235600,25.08,1352210400,0.05,campbell,29.68,0.61,1352185200campbell,44.191999,-105.517014,0.75,,0,0,,0,,1021.35,WY,1352209660,1352245585,57.71,1352235600,29.82,1352210400,1352185200,10,252,3.31
0,2012-11-07 00:00:00,70.76,1352322000,35.7,1352286000,0,campbell,26,0.37,1352271600campbell,44.191999,-105.517014,0.78,,0,0,,0,,1009.94,WY,1352296141,1352331912,70.76,1352322000,39.68,1352289600,1352271600,10,232,7.04
0,2012-11-08 00:00:00,44.51,1352408400,22.7,1352376000,0.06,campbell,26.77,0.62,1352358000campbell,44.191999,-105.517014,0.81,,0,0,,0,,1011.92,WY,1352382622,1352418242,49.76,1352408400,29.5,1352379600,1352358000,9.97,110,4.16
0,2012-11-09 00:00:00,35.93,1352491200,20.54,1352527200,0.71,campbell,30.64,0.88,1352444400campbell,44.191999,-105.517014,0.85,,0.0026,0.0115,1352523600,0.52,rain,1005.12,WY,1352469103,1352504573,41.44,1352491200,29.67,1352527200,1352444400,7.22,160,5.15
0,2012-11-10 00:00:00,18.78,1352530800,-6.19,1352610000,0.92,campbell,15.17,0.88,1352530800campbell,44.191999,-105.517014,0.88,1.568,0.0047,0.0281,1352534400,0.64,snow,1010.79,WY,1352555584,1352590906,28.43,1352530800,5.73,1352613600,1352530800,5.17,329,13.94
0,2012-11-11 00:00:00,5.73,1352667600,-10.15,1352631600,0.25,campbell,4.79,0.75,1352617200campbell,44.191999,-105.517014,0.92,0.109,0.0003,0.0051,1352660400,0.22,snow,1021.7,WY,1352642065,1352677241,19.28,1352667600,1.74,1352620800,1352617200,9.85,275,9.84
0,2012-11-12 00:00:00,25.78,1352757600,-1.69,1352710800,0.01,campbell,12.22,0.61,1352703600campbell,44.191999,-105.517014,0.96,,0,0,,0,,1025.52,WY,1352728546,1352763577,34.08,1352757600,10.97,1352703600,1352703600,10,228,10.43
0,2012-11-13 00:00:00,38.5,1352836800,19.58,1352869200,0.27,campbell,22.79,0.68,1352790000campbell,44.191999,-105.517014,0.99,,0,0,,0,,1024.21,WY,1352815026,1352849916,43.03,1352836800,26.75,1352800800,1352790000,10,230,4.36
0,2012-11-14 00:00:00,40.2,1352926800,18.37,1352894400,0.22,campbell,23.96,0.66,1352876400campbell,44.191999,-105.517014,0.03,,0,0,,0,,1021.94,WY,1352901506,1352936256,45.67,1352926800,25.16,1352894400,1352876400,9.99,253,5.04
0,2012-11-15 00:00:00,40.26,1353013200,19.71,1352988000,0.03,campbell,24.16,0.68,1352962800campbell,44.191999,-105.517014,0.07,,0,0,,0,,1026.32,WY,1352987986,1353022598,46.13,1353013200,26.45,1352988000,1352962800,10,187,5.54
0,2012-11-16 00:00:00,54.16,1353096000,22.67,1353056400,0.16,campbell,24.22,0.51,1353049200campbell,44.191999,-105.517014,0.11,,0,0,,0,,1017.12,WY,1353074465,1353108943,54.16,1353096000,29.62,1353056400,1353049200,9.97,214,6.82
0,2012-11-17 00:00:00,55.27,1353186000,27.05,1353157200,0.08,campbell,25.8,0.53,1353135600campbell,44.191999,-105.517014,0.15,,0,0,,0,,1015.54,WY,1353160944,1353195289,55.27,1353186000,33.46,1353157200,1353135600,9.99,228,6.21
0,2012-11-18 00:00:00,59.22,1353272400,26.71,1353304800,0.04,campbell,30.3,0.56,1353222000campbell,44.191999,-105.517014,0.18,,0,0,,0,,1010.42,WY,1353247423,1353281638,59.22,1353272400,33.23,1353304800,1353222000,10,230,9.76
0,2012-11-19 00:00:00,54.63,1353358800,23.61,1353330000,0.05,campbell,26.71,0.61,1353308400campbell,44.191999,-105.517014,0.22,,0,0,,0,,1018.82,WY,1353333901,1353367988,54.63,1353358800,28.61,1353319200,1353308400,10,217,5.45
0,2012-11-20 00:00:00,60.76,1353441600,33.68,1353412800,0.01,campbell,28.5,0.45,1353394800campbell,44.191999,-105.517014,0.25,,0,0,,0,,1014.1,WY,1353420378,1353454341,60.76,1353441600,38.19,1353398400,1353394800,9.99,223,13.38
0,2012-11-21 00:00:00,63.74,1353531600,32.26,1353564000,0.03,campbell,26.54,0.38,1353481200campbell,44.191999,-105.517014,0.29,,0,0,,0,,1006.77,WY,1353506855,1353540696,63.74,1353531600,39.53,1353564000,1353481200,10,229,14.89
0,2012-11-22 00:00:00,30.52,1353567600,9.48,1353650400,0.33,campbell,21.12,0.68,1353567600campbell,44.191999,-105.517014,0.32,,0.0027,0.02,1353578400,0.6,rain,1023.21,WY,1353593331,1353627053,38.77,1353567600,15.42,1353650400,1353567600,9.45,310,12.23
0,2012-11-23 00:00:00,39.34,1353704400,8.35,1353657600,0,campbell,15.59,0.55,1353654000campbell,44.191999,-105.517014,0.35,,0,0,,0,,1028.85,WY,1353679806,1353713412,44.33,1353704400,14.94,1353654000,1353654000,10,200,7.26
0,2012-11-24 00:00:00,52.69,1353780000,33.46,1353819600,0.52,campbell,23.62,0.46,1353740400campbell,44.191999,-105.517014,0.38,,0,0,,0,,1014.04,WY,1353766280,1353799774,52.69,1353780000,36.67,1353823200,1353740400,10,285,5.88
0,2012-11-25 00:00:00,31.02,1353826800,18.77,1353909600,0.96,campbell,29.34,0.91,1353826800campbell,44.191999,-105.517014,0.42,,0.0077,0.0255,1353884400,0.63,rain,1016.54,WY,1353852754,1353886137,35.86,1353826800,25.94,1353909600,1353826800,5.63,23,3.57
0,2012-11-26 00:00:00,18.34,1353913200,9.07,1353945600,0.44,campbell,19.57,0.9,1353913200campbell,44.191999,-105.517014,0.45,0.402,0.0013,0.0074,1353913200,0.37,snow,1026.87,WY,1353939226,1353972504,25.68,1353913200,18.99,1353988800,1353913200,7.3,203,3.18
0,2012-11-27 00:00:00,35.64,1354046400,2.38,1354024800,0.01,campbell,15.46,0.71,1353999600campbell,44.191999,-105.517014,0.48,,0,0,,0,,1024.05,WY,1354025698,1354058872,37.94,1354046400,12.88,1354017600,1353999600,9.85,233,4.88
0,2012-11-28 00:00:00,41.9,1354136400,19.2,1354086000,0,campbell,22.84,0.61,1354086000campbell,44.191999,-105.517014,0.51,,0,0,,0,,1018.64,WY,1354112168,1354145243,45.69,1354136400,24.09,1354086000,1354086000,10,214,5.71
0,2012-11-29 00:00:00,50.41,1354219200,27.76,1354255200,0.15,campbell,27.13,0.59,1354172400campbell,44.191999,-105.517014,0.54,,0,0,,0,,1012.84,WY,1354198638,1354231616,50.41,1354219200,34.29,1354244400,1354172400,10,240,6.54
0,2012-11-30 00:00:00,53.2,1354312800,27.6,1354262400,0.04,campbell,28.47,0.55,1354258800campbell,44.191999,-105.517014,0.57,,0,0,,0,,1008.5,WY,1354285106,1354317992,53.2,1354312800,34.74,1354269600,1354258800,10,216,13.05
0,2012-12-01 00:00:00,55.32,1354392000,31.86,1354370400,0.05,campbell,29.91,0.54,1354345200campbell,44.191999,-105.517014,0.6,,0,0,,0,,1008.18,WY,1354371573,1354404370,55.32,1354392000,35.75,1354370400,1354345200,10,240,10.51
0,2012-12-02 00:00:00,56.75,1354485600,35.16,1354453200,0.04,campbell,28.19,0.44,1354431600campbell,44.191999,-105.517014,0.63,,0,0,,0,,1000.69,WY,1354458038,1354490750,56.75,1354485600,42.14,1354453200,1354431600,9.99,206,20.25
0,2012-12-03 00:00:00,42.98,1354568400,19.78,1354590000,0.18,campbell,20.02,0.53,1354518000campbell,44.191999,-105.517014,0.66,,0.0011,0.013,1354525200,0.54,rain,1013.54,WY,1354544502,1354577133,47.71,1354568400,27.13,1354597200,1354518000,9.98,283,8.75
0,2012-12-04 00:00:00,40.81,1354654800,19.07,1354618800,0.09,campbell,18.6,0.5,1354604400campbell,44.191999,-105.517014,0.69,,0,0,,0,,1020.79,WY,1354630965,1354663519,47.61,1354654800,24.26,1354618800,1354604400,9.99,215,9.59
0,2012-12-05 00:00:00,55.42,1354741200,34.66,1354698000,0.26,campbell,30.56,0.54,1354690800campbell,44.191999,-105.517014,0.72,,0.0001,0.0014,1354766400,0.03,rain,1009.44,WY,1354717426,1354749906,55.42,1354741200,39.03,1354694400,1354690800,10,245,9.66
0,2012-12-06 00:00:00,31.14,1354777200,21.41,1354798800,0.7,campbell,19.19,0.58,1354777200campbell,44.191999,-105.517014,0.76,,0.0009,0.011,1354860000,0.52,rain,1014.87,WY,1354803886,1354836297,38.57,1354777200,26.95,1354860000,1354777200,9.37,17,1.62
0,2012-12-07 00:00:00,24.56,1354914000,11.88,1354942800,0.43,campbell,20.51,0.82,1354863600campbell,44.191999,-105.517014,0.79,0.85,0.0032,0.0214,1354867200,0.61,snow,1013.6,WY,1354890344,1354922690,31.17,1354914000,21.18,1354932000,1354863600,8.75,256,3.76
0,2012-12-08 00:00:00,18.82,1354986000,-10.51,1355032800,0.63,campbell,14.54,0.71,1354950000campbell,44.191999,-105.517014,0.83,2.262,0.0053,0.0379,1355014800,0.68,snow,1009.92,WY,1354976800,1355009085,29.57,1354986000,8.66,1355032800,1354950000,8.06,305,12.9
0,2012-12-09 00:00:00,9.4,1355086800,-14.14,1355047200,0.26,campbell,0.75,0.73,1355036400campbell,44.191999,-105.517014,0.87,0.495,0.0011,0.0076,1355040000,0.38,snow,1026.92,WY,1355063255,1355095483,14.5,1355086800,-0.5,1355061600,1355036400,9.51,309,4.26
