,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2000-01-01,52.97,946681200,40.82,946634400,0.8,custer,42.15,0.79,946710000custer,37.8267,-122.4233,0.82,,0,0,,0,,1017.74,MT,946653980,946688485,52.97,946681200,42.61,946630800,946627200,6.64,243,4.68
0,2000-01-31 00:00:00,22.73,949363200,1.39,949330800,0.7,Mineral,12,0.75,949302000Mineral,37.761293,-106.981852,0.85,0.608,0.0018,0.0194,949341600,0.6,snow,1021.4,CO,949328055,949365054,29.55,949363200,9.95,949316400,949302000,8.32,29,2.03
0,2000-02-29 00:00:00,44.16,951865200,20.1,951890400,0.29,Mineral,21.52,0.64,951807600Mineral,37.761293,-106.981852,0.83,0.188,0.001,0.0172,951843600,0.58,snow,1017.52,CO,951831679,951872535,44.16,951865200,23.42,951832800,951807600,9.7,208,1.68
0,2000-03-31 00:00:00,31.66,954547200,22.8,954493200,0.9,Mineral,26.62,0.84,954486000Mineral,37.761293,-106.981852,0.86,2,0.01,0.0263,954525600,0.64,snow,1015.01,CO,954507286,954552673,36.53,954547200,28.69,954568800,954486000,6.94,90,1.88
0,2000-04-30 00:00:00,60.47,957139200,39.63,957157200,0.55,Mineral,31.96,0.56,957074400Mineral,37.761293,-106.981852,0.88,,0.0094,0.0843,957092400,0.77,rain,1015.26,CO,957096822,957146327,60.47,957139200,39.97,957099600,957074400,9.65,354,2.95
0,2000-05-31 00:00:00,81.1,959810400,42.95,959770800,0,Mineral,24.05,0.22,959752800Mineral,37.761293,-106.981852,0.93,,0,0,,0,,1007.32,CO,959773757,959826306,84.31,959810400,44.48,959770800,959752800,10,229,4.36
0,2000-06-30 00:00:00,79.22,962395200,47.43,962366400,0.19,Mineral,41.3,0.46,962344800Mineral,37.761293,-106.981852,0.96,,0.0003,0.0032,962416800,0.11,rain,1013.25,CO,962365847,962418899,80.83,962395200,48.19,962366400,962344800,10,76,0.16
0,2000-07-31 00:00:00,82.31,965088000,46.71,965044800,0.05,Mineral,40.28,0.45,965023200Mineral,37.761293,-106.981852,0.03,,0.0003,0.0076,965088000,0.38,rain,1018.14,CO,965045546,965096313,85.51,965088000,46.71,965044800,965023200,9.95,100,0.8
0,2000-08-31 00:00:00,72.43,967762800,49.12,967716000,0.44,Mineral,43.94,0.58,967701600Mineral,37.761293,-106.981852,0.09,,0.0006,0.0114,967773600,0.53,rain,1013.41,CO,967725553,967772390,72.43,967762800,49.68,967726800,967701600,9.97,169,1.46
0,2000-09-30 00:00:00,74.92,970351200,42.82,970318800,0.13,Mineral,36.87,0.52,970293600Mineral,37.761293,-106.981852,0.1,,0,0,,0,,1015.4,CO,970319064,970361602,74.92,970351200,42.82,970318800,970293600,10,288,2.69
0,2000-10-31 00:00:00,34.86,973022400,24.65,973047600,0.58,Mineral,26.37,0.69,972975600Mineral,37.761293,-106.981852,0.15,,0.0043,0.033,972990000,0.66,rain,1009.93,CO,972999250,973037479,39.96,973022400,27.56,973058400,972975600,9.38,206,3.73
0,2000-11-30 00:00:00,41.1,975621600,21.81,975650400,0.12,Mineral,18.47,0.55,975567600Mineral,37.761293,-106.981852,0.15,,0,0,,0,,1020.36,CO,975593145,975628261,45.72,975621600,21.81,975650400,975567600,9.87,301,2.3
0,2000-12-31 00:00:00,32.16,978303600,0.52,978264000,0.03,Mineral,6.27,0.58,978246000Mineral,37.761293,-106.981852,0.19,,0,0,,0,,1026.88,CO,978272670,978307221,36.21,978303600,6.74,978274800,978246000,9.98,77,0.43
0,2001-01-31 00:00:00,19.59,980985600,-5.16,980956800,0.23,Mineral,2.06,0.7,980924400Mineral,37.761293,-106.981852,0.23,,0,0,,0,,1027.01,CO,980950419,980987504,23.68,980985600,-1.37,980949600,980924400,9.74,339,0.62
0,2001-02-28 00:00:00,35.55,983390400,19.96,983365200,0.57,Mineral,22.59,0.78,983343600Mineral,37.761293,-106.981852,0.17,1.728,0.0074,0.0235,983394000,0.62,snow,1013.5,CO,983367701,983408520,35.55,983390400,23.36,983426400,983343600,8.43,209,0.68
0,2001-03-31 00:00:00,56.85,986083200,24.54,986043600,0.1,Mineral,17.15,0.44,986022000Mineral,37.761293,-106.981852,0.23,,0.0006,0.0076,986029200,0.38,rain,1014.48,CO,986043310,986088659,56.85,986083200,24.54,986043600,986022000,9.86,272,2.63
