,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2009-10-01,67.18,1254355200,52.22,1254319200,0.02,custer,40.74,0.53,1254376800custer,37.8267,-122.4233,0.39,,0,0,,0,,1020.64,MT,1254319556,1254362134,67.18,1254355200,52.22,1254319200,1254294000,9.52,292,4.86
0,2009-10-01 00:00:00,52.65,1254441600,23.81,1254402000,0.16,blaine,21.76,0.53,1254376800blaine,43.394192,-113.955371,0.42,,0,0,,0,,1025.03,ID,1254404091,1254446295,52.65,1254441600,29.14,1254402000,1254376800,9.99,238,3.91
0,2009-10-02 00:00:00,53.8,1254520800,28.34,1254488400,0.15,blaine,24.2,0.56,1254463200blaine,43.394192,-113.955371,0.45,,0,0,,0,,1017.95,ID,1254490560,1254532587,53.8,1254520800,28.34,1254488400,1254463200,9.97,336,0.48
0,2009-10-03 00:00:00,53.65,1254607200,25.25,1254574800,0.48,blaine,27.98,0.61,1254549600blaine,43.394192,-113.955371,0.48,,0.0016,0.0244,1254614400,0.62,rain,1006.49,ID,1254577028,1254618879,53.65,1254607200,30.63,1254574800,1254549600,9.77,23,3.11
0,2009-10-04 00:00:00,41.88,1254636000,31.85,1254672000,0.96,blaine,33.26,0.84,1254636000blaine,43.394192,-113.955371,0.52,,0.0179,0.0425,1254672000,0.69,rain,1001.74,ID,1254663497,1254705172,41.88,1254636000,33.05,1254718800,1254636000,7.1,303,1.5
0,2009-10-05 00:00:00,45.23,1254787200,30,1254747600,0.78,blaine,30.27,0.82,1254722400blaine,43.394192,-113.955371,0.55,,0.009,0.0255,1254754800,0.63,rain,1013.65,ID,1254749967,1254791466,45.23,1254787200,32.57,1254729600,1254722400,7.73,327,0.82
0,2009-10-06 00:00:00,47.95,1254873600,24.56,1254830400,0.2,blaine,27.89,0.75,1254808800blaine,43.394192,-113.955371,0.58,,0,0,,0,,1022.31,ID,1254836436,1254877760,48.86,1254873600,27.75,1254837600,1254808800,9.85,237,1.78
0,2009-10-07 00:00:00,50.15,1254952800,28.59,1254924000,0.21,blaine,29.32,0.72,1254895200blaine,43.394192,-113.955371,0.62,,0,0,,0,,1016.21,ID,1254922906,1254964054,50.15,1254952800,28.59,1254924000,1254895200,9.67,273,1.92
0,2009-10-08 00:00:00,45.9,1255042800,26.82,1255006800,0.35,blaine,26.4,0.62,1254981600blaine,43.394192,-113.955371,0.65,,0,0,,0,,1016.95,ID,1255009377,1255050350,49.06,1255042800,30.23,1255010400,1254981600,9.85,285,3.04
0,2009-10-09 00:00:00,44.31,1255122000,30.42,1255096800,0.42,blaine,25.46,0.56,1255068000blaine,43.394192,-113.955371,0.69,,0,0,,0,,1017.02,ID,1255095847,1255136646,49.59,1255122000,34.29,1255150800,1255068000,9.97,275,6.1
0,2009-10-10 00:00:00,37.91,1255215600,18.21,1255179600,0.36,blaine,18.24,0.56,1255154400blaine,43.394192,-113.955371,0.73,,0,0,,0,,1017.85,ID,1255182318,1255222942,42.7,1255215600,24.22,1255183200,1255154400,10,276,3.3
0,2009-10-11 00:00:00,51.54,1255305600,19.81,1255269600,0.4,blaine,17.69,0.54,1255240800blaine,43.394192,-113.955371,0.76,,0,0,,0,,1010.27,ID,1255268790,1255309239,51.54,1255305600,24.75,1255269600,1255240800,9.98,267,3.78
0,2009-10-12 00:00:00,55.59,1255392000,21.85,1255356000,0.33,blaine,20.62,0.51,1255327200blaine,43.394192,-113.955371,0.8,,0.0001,0.0024,1255392000,0.07,rain,1007.71,ID,1255355261,1255395537,55.59,1255392000,25.94,1255341600,1255327200,9.97,46,2.06
0,2009-10-13 00:00:00,60.47,1255464000,39.15,1255417200,0.52,blaine,31.88,0.54,1255413600blaine,43.394192,-113.955371,0.84,,0.0042,0.0548,1255496400,0.72,rain,1002.64,ID,1255441733,1255481836,60.47,1255464000,40.1,1255442400,1255413600,9.57,171,5.53
0,2009-10-14 00:00:00,58.06,1255557600,39.7,1255525200,0.64,blaine,39.23,0.68,1255500000blaine,43.394192,-113.955371,0.88,,0.0105,0.066,1255503600,0.74,rain,1008.85,ID,1255528206,1255568136,58.06,1255557600,44.53,1255503600,1255500000,9.66,207,6.96
0,2009-10-15 00:00:00,61.32,1255651200,37.97,1255615200,0.39,blaine,39.23,0.71,1255586400blaine,43.394192,-113.955371,0.91,,0.0009,0.0121,1255586400,0.53,rain,1022.33,ID,1255614679,1255654436,61.32,1255651200,41.54,1255615200,1255586400,9.9,251,3.31
0,2009-10-16 00:00:00,65.31,1255737600,36.53,1255690800,0.06,blaine,37.2,0.67,1255672800blaine,43.394192,-113.955371,0.95,,0,0,,0,,1025.85,ID,1255701152,1255740737,65.31,1255737600,37.72,1255701600,1255672800,9.93,46,0.8
0,2009-10-17 00:00:00,68.47,1255816800,35.97,1255780800,0.03,blaine,36.68,0.61,1255759200blaine,43.394192,-113.955371,0.98,,0,0,,0,,1020.06,ID,1255787625,1255827040,68.47,1255816800,38.33,1255788000,1255759200,9.91,96,1.56
0,2009-10-18 00:00:00,66.78,1255899600,44.31,1255874400,0.17,blaine,37.88,0.55,1255845600blaine,43.394192,-113.955371,0.03,,0.0001,0.0016,1255928400,0.03,rain,1011.56,ID,1255874099,1255913343,66.78,1255899600,46.17,1255874400,1255845600,9.86,269,3.05
0,2009-10-19 00:00:00,53.32,1255978800,38.82,1256014800,0.62,blaine,41.86,0.78,1255932000blaine,43.394192,-113.955371,0.06,,0.0077,0.0224,1255950000,0.61,rain,1008.37,ID,1255960574,1255999647,53.32,1255978800,42.69,1256014800,1255932000,9.57,247,4.53
0,2009-10-20 00:00:00,50.33,1256076000,34.26,1256047200,0.63,blaine,35.98,0.75,1256018400blaine,43.394192,-113.955371,0.09,,0.0001,0.0008,1256032800,0.01,rain,1015.72,ID,1256047048,1256085952,50.33,1256076000,38.54,1256101200,1256018400,9.9,267,3.93
0,2009-10-21 00:00:00,52.13,1256169600,31,1256122800,0.32,blaine,33.33,0.74,1256104800blaine,43.394192,-113.955371,0.12,,0,0,,0,,1020.23,ID,1256133523,1256172258,52.13,1256169600,32.45,1256133600,1256104800,9.47,238,1.27
0,2009-10-22 00:00:00,54.43,1256245200,35.66,1256209200,0.44,blaine,35.52,0.71,1256191200blaine,43.394192,-113.955371,0.15,,0.0001,0.0014,1256256000,0.03,rain,1019.17,ID,1256219999,1256258566,54.43,1256245200,38.83,1256205600,1256191200,9.78,253,4.11
0,2009-10-23 00:00:00,56.59,1256335200,34.87,1256306400,0.47,blaine,34.75,0.67,1256277600blaine,43.394192,-113.955371,0.18,,0.0014,0.0141,1256353200,0.55,rain,1017.96,ID,1256306474,1256344874,56.59,1256335200,38.74,1256306400,1256277600,9.85,239,5.09
0,2009-10-24 00:00:00,50.56,1256421600,30.88,1256446800,0.3,blaine,30.7,0.62,1256364000blaine,43.394192,-113.955371,0.21,,0.0001,0.0011,1256410800,0.02,rain,1015.58,ID,1256392950,1256431184,50.56,1256421600,36.67,1256446800,1256364000,9.7,266,8.48
0,2009-10-25 00:00:00,50.86,1256515200,20.01,1256479200,0.07,blaine,21.11,0.57,1256450400blaine,43.394192,-113.955371,0.24,,0,0,,0,,1024.63,ID,1256479427,1256517495,50.86,1256515200,26.08,1256479200,1256450400,9.91,251,3.08
0,2009-10-26 00:00:00,52.13,1256594400,26.99,1256601600,0.67,blaine,25.16,0.52,1256536800blaine,43.394192,-113.955371,0.27,,0.001,0.0107,1256616000,0.51,rain,1016.09,ID,1256565903,1256603807,52.13,1256594400,34.81,1256601600,1256536800,9.91,198,4.05
0,2009-10-27 00:00:00,29.36,1256623200,20.78,1256652000,0.51,blaine,22.66,0.64,1256623200blaine,43.394192,-113.955371,0.3,,0.0008,0.0058,1256644800,0.26,rain,1008.99,ID,1256652380,1256690120,38.3,1256623200,29.71,1256706000,1256623200,9.79,280,10.63
0,2009-10-28 00:00:00,32.73,1256763600,19.36,1256713200,0.39,blaine,17.23,0.55,1256709600blaine,43.394192,-113.955371,0.33,,0,0,,0,,1014.81,ID,1256738858,1256776435,40.15,1256763600,27.04,1256792400,1256709600,9.92,309,9.66
0,2009-10-29 00:00:00,43.42,1256860800,12.19,1256824800,0.32,blaine,17.65,0.64,1256796000blaine,43.394192,-113.955371,0.36,0.036,0.0002,0.0013,1256857200,0.02,snow,1019.83,ID,1256825335,1256862750,47.29,1256860800,19.51,1256824800,1256796000,9.72,249,5.84
0,2009-10-30 00:00:00,54.34,1256947200,21.26,1256886000,0.54,blaine,30.8,0.75,1256882400blaine,43.394192,-113.955371,0.39,,0.0003,0.0021,1256889600,0.06,rain,1020.23,ID,1256911813,1256949068,54.34,1256947200,29.53,1256882400,1256882400,9.44,246,7.39
0,2009-10-31 00:00:00,57.55,1257026400,31.33,1256979600,0.36,blaine,33.1,0.66,1256968800blaine,43.394192,-113.955371,0.43,,0.0002,0.0017,1257001200,0.04,rain,1021,ID,1256998291,1257035387,57.55,1257026400,35.01,1256986800,1256968800,9.71,214,3.69
0,2009-11-01 00:00:00,53.5,1257109200,31.52,1257141600,0.3,blaine,32.4,0.66,1257055200blaine,43.394192,-113.955371,0.46,,0,0,,0,,1022.36,ID,1257084769,1257121707,53.5,1257109200,35.96,1257141600,1257055200,9.83,247,4.96
0,2009-11-02 00:00:00,48.01,1257199200,23.42,1257170400,0.03,blaine,26.23,0.65,1257145200blaine,43.394192,-113.955371,0.49,,0,0,,0,,1027.33,ID,1257171248,1257208028,49.11,1257199200,27.83,1257170400,1257145200,9.92,260,1.59
0,2009-11-03 00:00:00,54,1257292800,22.93,1257253200,0.04,blaine,26.15,0.64,1257231600blaine,43.394192,-113.955371,0.53,,0,0,,0,,1025.98,ID,1257257726,1257294352,54,1257292800,27.76,1257256800,1257231600,9.8,302,1.83
0,2009-11-04 00:00:00,59.69,1257372000,21.6,1257339600,0.04,blaine,24.66,0.55,1257318000blaine,43.394192,-113.955371,0.57,,0,0,,0,,1022.02,ID,1257344205,1257380676,59.69,1257372000,29.1,1257343200,1257318000,9.92,32,4.45
0,2009-11-05 00:00:00,62.16,1257454800,29.56,1257422400,0.17,blaine,26.19,0.5,1257404400blaine,43.394192,-113.955371,0.6,,0,0,,0,,1015.14,ID,1257430684,1257467003,62.16,1257454800,33.95,1257426000,1257404400,9.92,275,0.31
0,2009-11-06 00:00:00,50.67,1257541200,31.7,1257573600,0.45,blaine,29.45,0.56,1257490800blaine,43.394192,-113.955371,0.64,,0.0018,0.0155,1257559200,0.56,rain,1011.47,ID,1257517163,1257553331,50.67,1257541200,36.51,1257573600,1257490800,9.83,224,6.7
0,2009-11-07 00:00:00,41.65,1257627600,31.08,1257660000,0.63,blaine,28.23,0.69,1257577200blaine,43.394192,-113.955371,0.68,,0.0001,0.0011,1257609600,0.02,rain,1015.38,ID,1257603642,1257639660,46.27,1257627600,33.79,1257660000,1257577200,9.87,225,4.16
0,2009-11-08 00:00:00,46.08,1257717600,24.41,1257692400,0.14,blaine,21.17,0.59,1257663600blaine,43.394192,-113.955371,0.72,,0.0001,0.0008,1257674400,0.01,rain,1020.46,ID,1257690121,1257725992,46.08,1257717600,27.56,1257688800,1257663600,10,203,2.09
0,2009-11-09 00:00:00,47.74,1257804000,17.33,1257771600,0.13,blaine,18.29,0.53,1257750000blaine,43.394192,-113.955371,0.75,,0,0,,0,,1022.48,ID,1257776599,1257812325,49.92,1257804000,23.53,1257775200,1257750000,10,60,2.33
0,2009-11-10 00:00:00,50.44,1257886800,31.61,1257843600,0.47,blaine,24.68,0.53,1257836400blaine,43.394192,-113.955371,0.79,,0.0001,0.0022,1257897600,0.06,rain,1020.66,ID,1257863078,1257898659,50.44,1257886800,34.88,1257847200,1257836400,9.95,196,1.7
0,2009-11-11 00:00:00,46.67,1257969600,27.2,1257984000,0.56,blaine,29.94,0.7,1257922800blaine,43.394192,-113.955371,0.83,,0.0016,0.0079,1257994800,0.4,rain,1015.05,ID,1257949557,1257984996,48.39,1257969600,32.64,1257937200,1257922800,9.73,307,1.14
0,2009-11-12 00:00:00,38.36,1258009200,20.32,1258081200,0.56,blaine,26.68,0.77,1258009200blaine,43.394192,-113.955371,0.86,,0.0017,0.0074,1258023600,0.37,rain,1008.64,ID,1258036035,1258071334,38.36,1258009200,25.28,1258092000,1258009200,9.38,234,5.41
0,2009-11-13 00:00:00,30.06,1258149600,12.8,1258120800,0.44,blaine,17.8,0.72,1258095600blaine,43.394192,-113.955371,0.9,,0,0.001,1258178400,0,,1013.21,ID,1258122514,1258157675,33.19,1258149600,20.88,1258117200,1258095600,9.9,237,2.57
0,2009-11-14 00:00:00,25.11,1258243200,8.69,1258264800,0.68,blaine,18.5,0.76,1258182000blaine,43.394192,-113.955371,0.93,0.43,0.0015,0.0144,1258207200,0.55,snow,1018.67,ID,1258208992,1258244017,28.31,1258243200,18.41,1258264800,1258182000,8.02,255,5.15
0,2009-11-15 00:00:00,28.91,1258329600,5.5,1258293600,0.12,blaine,12,0.69,1258268400blaine,43.394192,-113.955371,0.97,,0,0,,0,,1031.56,ID,1258295470,1258330361,34.37,1258329600,13.3,1258293600,1258268400,9.93,203,1.47
0,2009-11-16 00:00:00,41.14,1258416000,10.2,1258372800,0.07,blaine,15.84,0.66,1258354800blaine,43.394192,-113.955371,0.99,,0,0,,0,,1029.01,ID,1258381947,1258416707,44.55,1258416000,16.08,1258372800,1258354800,9.99,61,3.36
0,2009-11-17 00:00:00,50.58,1258495200,16.89,1258452000,0.05,blaine,19.21,0.57,1258441200blaine,43.394192,-113.955371,0.04,,0,0,,0,,1019.01,ID,1258468424,1258503055,50.58,1258495200,23.4,1258452000,1258441200,9.98,66,2.63
0,2009-11-18 00:00:00,38.16,1258581600,22.14,1258606800,0.27,blaine,22.24,0.63,1258527600blaine,43.394192,-113.955371,0.07,,0,0,,0,,1016.88,ID,1258554901,1258589405,43.33,1258581600,25.46,1258610400,1258527600,9.92,261,4.54
0,2009-11-19 00:00:00,37.8,1258668000,19.98,1258639200,0.04,blaine,17.28,0.63,1258614000blaine,43.394192,-113.955371,0.1,,0,0,,0,,1024.18,ID,1258641377,1258675757,40.9,1258668000,19.98,1258639200,1258614000,9.94,84,2.22
0,2009-11-20 00:00:00,38.22,1258750800,16.86,1258718400,0.17,blaine,18.34,0.57,1258700400blaine,43.394192,-113.955371,0.13,0.025,0.0001,0.0033,1258783200,0.11,snow,1013.43,ID,1258727852,1258762111,41.96,1258750800,24.47,1258725600,1258700400,9.64,110,1.15
0,2009-11-21 00:00:00,29.15,1258786800,14.52,1258858800,0.52,blaine,19.58,0.65,1258786800blaine,43.394192,-113.955371,0.16,,0.0012,0.0121,1258790400,0.53,rain,1014.25,ID,1258814327,1258848468,36.7,1258786800,21.52,1258869600,1258786800,9.64,241,8.2
0,2009-11-22 00:00:00,29.58,1258912800,13.69,1258952400,0.59,blaine,17.68,0.75,1258873200blaine,43.394192,-113.955371,0.19,1.309,0.0051,0.0281,1258916400,0.64,snow,1016.76,ID,1258900801,1258934826,29.58,1258912800,19.97,1258891200,1258873200,8.73,227,2.75
0,2009-11-23 00:00:00,27.27,1259010000,11.75,1258977600,0.22,blaine,16.98,0.73,1258959600blaine,43.394192,-113.955371,0.22,,0,0,,0,,1029.85,ID,1258987275,1259021187,31.62,1259010000,19.9,1258984800,1258959600,9.99,242,4.64
0,2009-11-24 00:00:00,26.42,1259100000,11.84,1259060400,0.18,blaine,16.47,0.76,1259046000blaine,43.394192,-113.955371,0.25,,0,0,,0,,1033.98,ID,1259073748,1259107549,31.89,1259100000,16.06,1259064000,1259046000,9.91,39,2.84
0,2009-11-25 00:00:00,32.58,1259182800,11.5,1259146800,0.03,blaine,19.23,0.78,1259132400blaine,43.394192,-113.955371,0.28,,0,0,,0,,1033.39,ID,1259160220,1259193915,36.87,1259182800,17.66,1259146800,1259132400,9.88,49,3.48
0,2009-11-26 00:00:00,36.77,1259272800,10.16,1259244000,0.03,blaine,21.81,0.74,1259218800blaine,43.394192,-113.955371,0.31,,0,0,,0,,1025.63,ID,1259246691,1259280282,41.13,1259272800,20.87,1259244000,1259218800,9.84,34,3.78
0,2009-11-27 00:00:00,35.37,1259355600,21.08,1259305200,0.28,blaine,24.13,0.73,1259305200blaine,43.394192,-113.955371,0.34,0.052,0.0003,0.0019,1259384400,0.05,snow,1016,ID,1259333161,1259366652,38.87,1259355600,27.28,1259305200,1259305200,9.6,304,2.23
0,2009-11-28 00:00:00,35.63,1259445600,16.06,1259474400,0.4,blaine,22.66,0.79,1259391600blaine,43.394192,-113.955371,0.37,,0,0,,0,,1021.81,ID,1259419630,1259453023,35.63,1259445600,22.73,1259474400,1259391600,8.48,270,3.34
0,2009-11-29 00:00:00,34.52,1259532000,14.56,1259499600,0.18,blaine,18.01,0.72,1259478000blaine,43.394192,-113.955371,0.41,,0,0,,0,,1029.03,ID,1259506098,1259539398,34.52,1259532000,20.23,1259503200,1259478000,9.42,219,1.56
0,2009-11-30 00:00:00,32.93,1259618400,17.22,1259593200,0.03,blaine,18.84,0.76,1259564400blaine,43.394192,-113.955371,0.44,,0,0,,0,,1026.66,ID,1259592565,1259625774,37.53,1259618400,17.22,1259593200,1259564400,9.95,359,0.45
0,2009-12-01 00:00:00,29.8,1259701200,11.81,1259676000,0.35,blaine,18.6,0.75,1259650800blaine,43.394192,-113.955371,0.48,,0,0,,0,,1019.4,ID,1259679031,1259712153,34.75,1259701200,20.56,1259672400,1259650800,9.75,270,2.45
0,2009-12-02 00:00:00,27.24,1259791200,4.47,1259755200,0.07,blaine,6.54,0.64,1259737200blaine,43.394192,-113.955371,0.52,,0,0,,0,,1024.64,ID,1259765495,1259798535,27.24,1259791200,9.81,1259762400,1259737200,9.94,49,1.91
0,2009-12-03 00:00:00,24.63,1259881200,-2.66,1259848800,0.04,blaine,1.16,0.61,1259823600blaine,43.394192,-113.955371,0.55,,0,0,,0,,1029.93,ID,1259851958,1259884918,24.63,1259881200,3.46,1259852400,1259823600,9.93,66,1.71
0,2009-12-04 00:00:00,31.16,1259964000,2.37,1259928000,0.12,blaine,3.99,0.6,1259910000blaine,43.394192,-113.955371,0.59,,0,0,,0,,1022.26,ID,1259938420,1259971305,31.16,1259964000,7.96,1259917200,1259910000,9.89,339,0.61
0,2009-12-05 00:00:00,14.22,1260046800,3.12,1260057600,0.61,blaine,6.87,0.66,1259996400blaine,43.394192,-113.955371,0.63,0.522,0.0011,0.0132,1260021600,0.54,snow,1015.4,ID,1260024880,1260057693,23.25,1260046800,12.7,1260079200,1259996400,9.2,324,4.44
0,2009-12-06 00:00:00,3.08,1260129600,-3.39,1260154800,0.72,blaine,0.22,0.61,1260082800blaine,43.394192,-113.955371,0.66,0.077,0.0002,0.002,1260144000,0.05,snow,1015.21,ID,1260111339,1260144084,15.66,1260129600,8.18,1260165600,1260082800,8.79,51,6.08
0,2009-12-07 00:00:00,2.69,1260223200,-8.12,1260198000,0.8,blaine,0.16,0.72,1260169200blaine,43.394192,-113.955371,0.7,0.139,0.0003,0.0019,1260248400,0.05,snow,1012.32,ID,1260197796,1260230478,12.47,1260223200,4.12,1260230400,1260169200,7,32,5.42
0,2009-12-08 00:00:00,1.4,1260306000,-15.12,1260288000,0.35,blaine,-4.9,0.7,1260255600blaine,43.394192,-113.955371,0.74,0.036,0.0001,0.0011,1260295200,0.02,snow,1016.56,ID,1260284252,1260316874,9.29,1260306000,-1.78,1260284400,1260255600,9.18,251,5.2
0,2009-12-09 00:00:00,0.75,1260396000,-16.52,1260370800,0.31,blaine,-6.11,0.7,1260342000blaine,43.394192,-113.955371,0.78,,0,0,,0,,1023.66,ID,1260370706,1260403272,10.22,1260396000,-3.65,1260367200,1260342000,9.4,235,5.39
0,2009-12-10 00:00:00,6.63,1260489600,-14.11,1260442800,0.03,blaine,-7.37,0.68,1260428400blaine,43.394192,-113.955371,0.81,,0,0,,0,,1026.39,ID,1260457158,1260489673,14.41,1260489600,-7.41,1260450000,1260428400,9.9,58,1.91
0,2009-12-11 00:00:00,18.43,1260576000,-15.4,1260518400,0.22,blaine,-1.42,0.67,1260514800blaine,43.394192,-113.955371,0.85,0.075,0.0003,0.0067,1260576000,0.32,snow,1021.36,ID,1260543609,1260576076,26.25,1260576000,-2.58,1260529200,1260514800,9.61,35,3.39
0,2009-12-12 00:00:00,20.92,1260662400,7.98,1260622800,0.88,blaine,15.8,0.78,1260601200blaine,43.394192,-113.955371,0.88,0.861,0.0027,0.0078,1260669600,0.39,snow,1010.93,ID,1260630057,1260662482,29.6,1260662400,14.1,1260601200,1260601200,7.28,177,1.42
0,2009-12-13 00:00:00,26.27,1260741600,18.35,1260720000,0.82,blaine,22.18,0.82,1260687600blaine,43.394192,-113.955371,0.91,0.342,0.0012,0.0057,1260691200,0.26,snow,1005.84,ID,1260716504,1260748890,32.16,1260741600,24.09,1260712800,1260687600,7.92,235,3.55
0,2009-12-14 00:00:00,26.28,1260828000,13.27,1260806400,0.49,blaine,18.22,0.72,1260774000blaine,43.394192,-113.955371,0.95,0.159,0.0008,0.0135,1260835200,0.55,snow,1018.91,ID,1260802949,1260835301,32.22,1260828000,21.18,1260799200,1260774000,9.38,216,5.07
0,2009-12-15 00:00:00,31.5,1260921600,20.35,1260889200,0.86,blaine,22.38,0.76,1260860400blaine,43.394192,-113.955371,0.98,1.037,0.0054,0.018,1260914400,0.58,snow,1023.2,ID,1260889392,1260921714,34.91,1260921600,22.4,1260867600,1260860400,7.8,156,3.73
0,2009-12-16 00:00:00,37.02,1260997200,26.25,1260975600,0.92,blaine,29.32,0.85,1260946800blaine,43.394192,-113.955371,0.01,0.833,0.0045,0.0191,1260961200,0.59,snow,1024.07,ID,1260975833,1261008130,37.02,1260997200,31.37,1261008000,1260946800,8.84,154,2.54
0,2009-12-17 00:00:00,36.93,1261083600,21.25,1261108800,0.47,blaine,26.55,0.85,1261033200blaine,43.394192,-113.955371,0.04,0.094,0.0004,0.0026,1261044000,0.08,snow,1026.89,ID,1261062272,1261094548,36.93,1261083600,25.92,1261116000,1261033200,9.08,255,2.03
0,2009-12-18 00:00:00,30.35,1261173600,17.75,1261202400,0.55,blaine,22.99,0.83,1261119600blaine,43.394192,-113.955371,0.07,,0,0,,0,,1029.1,ID,1261148708,1261180968,34.65,1261173600,22.98,1261202400,1261119600,8.9,34,2.3
0,2009-12-19 00:00:00,28.97,1261267200,15.19,1261238400,0.53,blaine,21.58,0.84,1261206000blaine,43.394192,-113.955371,0.1,,0,0,,0,,1027.29,ID,1261235143,1261267391,33.67,1261267200,19.28,1261234800,1261206000,8.86,25,2.97
0,2009-12-20 00:00:00,31.59,1261342800,20.09,1261314000,0.45,blaine,25.85,0.82,1261292400blaine,43.394192,-113.955371,0.13,0.123,0.0007,0.0106,1261375200,0.51,snow,1020.26,ID,1261321575,1261353816,36.8,1261342800,25.73,1261314000,1261292400,8.94,51,3.06
0,2009-12-21 00:00:00,33.36,1261429200,20.51,1261440000,0.78,blaine,27.5,0.79,1261378800blaine,43.394192,-113.955371,0.16,,0.0005,0.0085,1261378800,0.44,rain,1012.3,ID,1261408006,1261440244,38,1261429200,27.78,1261440000,1261378800,9.06,150,3.4
0,2009-12-22 00:00:00,31.8,1261465200,10.56,1261526400,0.91,blaine,24.7,0.87,1261465200blaine,43.394192,-113.955371,0.19,1.477,0.0067,0.0184,1261472400,0.59,snow,1009.01,ID,1261494434,1261526674,31.8,1261465200,20.75,1261526400,1261465200,5.82,257,6.47
0,2009-12-23 00:00:00,10.04,1261605600,1.5,1261584000,0.67,blaine,13.32,0.79,1261551600blaine,43.394192,-113.955371,0.22,0.021,0.0001,0.0013,1261569600,0.02,snow,1023.77,ID,1261580859,1261613106,22.71,1261605600,14.54,1261634400,1261551600,7.67,252,10.35
0,2009-12-24 00:00:00,10.34,1261692000,-1.75,1261666800,0.31,blaine,7.69,0.79,1261638000blaine,43.394192,-113.955371,0.26,,0,0,,0,,1030.67,ID,1261667283,1261699540,18.7,1261692000,7.84,1261666800,1261638000,9.59,278,3.23
0,2009-12-25 00:00:00,12.29,1261778400,3.49,1261728000,0.52,blaine,8.78,0.83,1261724400blaine,43.394192,-113.955371,0.29,,0,0,,0,,1028.47,ID,1261753704,1261785977,18.59,1261778400,8.62,1261746000,1261724400,8.88,56,1.33
0,2009-12-26 00:00:00,9.98,1261868400,3.24,1261893600,0.24,blaine,7.97,0.78,1261810800blaine,43.394192,-113.955371,0.32,,0,0,,0,,1028.7,ID,1261840122,1261872416,22.27,1261868400,8.62,1261839600,1261810800,9.2,43,3.72
0,2009-12-27 00:00:00,14.24,1261951200,-4.01,1261922400,0.14,blaine,5.93,0.74,1261897200blaine,43.394192,-113.955371,0.35,,0,0,,0,,1029.99,ID,1261926539,1261958856,22.43,1261951200,6.76,1261922400,1261897200,9.81,14,3.86
0,2009-12-28 00:00:00,14.24,1262034000,-0.39,1262001600,0.11,blaine,7.75,0.75,1261983600blaine,43.394192,-113.955371,0.39,,0,0,,0,,1030.65,ID,1262012953,1262045299,23.68,1262034000,7.48,1262012400,1261983600,9.8,24,4
0,2009-12-29 00:00:00,18.84,1262124000,5.74,1262077200,0.59,blaine,11.41,0.75,1262070000blaine,43.394192,-113.955371,0.42,,0,0,,0,,1021.03,ID,1262099364,1262131744,25.01,1262124000,14.1,1262080800,1262070000,9.55,306,0.05
0,2009-12-30 00:00:00,14.71,1262217600,7.94,1262232000,0.74,blaine,16.73,0.84,1262156400blaine,43.394192,-113.955371,0.46,1.166,0.003,0.018,1262167200,0.58,snow,1019.2,ID,1262185774,1262218191,25.66,1262217600,17.8,1262156400,1262156400,6.83,241,4.55
0,2009-12-31 00:00:00,20.06,1262304000,10.66,1262275200,0.75,blaine,16.64,0.77,1262242800blaine,43.394192,-113.955371,0.5,0.189,0.0007,0.0043,1262314800,0.17,snow,1026.05,ID,1262272180,1262304641,28.68,1262304000,16.35,1262275200,1262242800,8.27,180,4.65
0,2010-01-01 00:00:00,29.17,1262404800,20.49,1262354400,0.94,blaine,25.45,0.87,1262329200blaine,43.394192,-113.955371,0.54,3.391,0.0145,0.0408,1262412000,0.69,snow,1023.58,ID,1262358585,1262391091,32.63,1262404800,25.6,1262329200,1262329200,6.08,158,3.23
0,2010-01-02 00:00:00,29.08,1262415600,17.14,1262444400,0.6,blaine,24.26,0.85,1262415600blaine,43.394192,-113.955371,0.57,0.962,0.0048,0.0455,1262415600,0.7,snow,1024.8,ID,1262444987,1262477544,31.94,1262415600,24.41,1262494800,1262415600,8.73,237,5.2
0,2010-01-03 00:00:00,19.78,1262563200,13.68,1262584800,0.33,blaine,17.75,0.83,1262502000blaine,43.394192,-113.955371,0.61,,0,0,,0,,1030.62,ID,1262531386,1262563999,27.18,1262563200,17.69,1262530800,1262502000,9.37,16,2.14
0,2010-01-04 00:00:00,27.34,1262649600,11.9,1262595600,0.45,blaine,19.55,0.83,1262588400blaine,43.394192,-113.955371,0.65,0.067,0.0003,0.0025,1262667600,0.07,snow,1027.8,ID,1262617783,1262650455,32.28,1262649600,19.18,1262617200,1262588400,9.35,37,3.56
0,2010-01-05 00:00:00,29.52,1262732400,11.13,1262736000,0.89,blaine,24.74,0.83,1262674800blaine,43.394192,-113.955371,0.69,0.253,0.0012,0.0037,1262728800,0.14,snow,1021.9,ID,1262704178,1262736913,34.52,1262732400,22.19,1262736000,1262674800,8.85,219,2.12
