,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2000-01-01,52.97,946681200,40.82,946634400,0.8,custer,42.15,0.79,946710000custer,37.8267,-122.4233,0.82,,0,0,,0,,1017.74,MT,946653980,946688485,52.97,946681200,42.61,946630800,946627200,6.64,243,4.68
0,2000-01-31 00:00:00,35.18,949352400,-0.44,949323600,0.31,Jackson,9.03,0.62,949302000Jackson,40.5722355,-106.3113643,0.85,0.674,0.0025,0.0233,949370400,0.62,snow,1022.1,CO,949328246,949364541,35.18,949352400,9.15,949320000,949302000,9.72,102,2.11
0,2000-02-29 00:00:00,47.69,951858000,15.51,951822000,0.29,Jackson,18.23,0.55,951807600Jackson,40.5722355,-106.3113643,0.83,,0,0,,0,,1015.12,CO,951831659,951872234,49.5,951858000,23.58,951822000,951807600,9.97,302,2.14
0,2000-03-31 00:00:00,35.33,954547200,20.55,954496800,0.72,Jackson,23.72,0.77,954486000Jackson,40.5722355,-106.3113643,0.86,0.683,0.0034,0.0203,954540000,0.6,snow,1021.71,CO,954507026,954552611,38.36,954547200,27,954504000,954486000,8.14,56,2.04
0,2000-04-30 00:00:00,57.37,957139200,32,957088800,0.69,Jackson,29.63,0.59,957074400Jackson,40.5722355,-106.3113643,0.88,,0.0001,0.0033,957132000,0.12,rain,1020.91,CO,957096339,957146488,57.37,957139200,37.99,957157200,957074400,9.84,347,8.13
0,2000-05-31 00:00:00,79.31,959810400,44.78,959770800,0.25,Jackson,41.14,0.45,959752800Jackson,40.5722355,-106.3113643,0.93,,0.0009,0.0103,959756400,0.51,rain,1006.07,CO,959773099,959826642,79.31,959810400,48.87,959770800,959752800,8.73,208,4.42
0,2000-06-30 00:00:00,81.63,962402400,47.02,962362800,0.1,Jackson,40.16,0.43,962344800Jackson,40.5722355,-106.3113643,0.96,,0.0006,0.0155,962409600,0.57,rain,1011.88,CO,962365158,962419266,84.67,962402400,48.32,962362800,962344800,9.91,154,3.05
0,2000-07-31 00:00:00,84.04,965084400,51.61,965044800,0.05,Jackson,39.92,0.37,965023200Jackson,40.5722355,-106.3113643,0.03,,0.0004,0.0097,965088000,0.5,rain,1017.3,CO,965044992,965096545,87.67,965084400,51.61,965044800,965023200,9.94,97,2.32
0,2000-08-31 00:00:00,69.93,967766400,46.57,967726800,0.41,Jackson,47.41,0.67,967701600Jackson,40.5722355,-106.3113643,0.09,,0.0054,0.0799,967712400,0.76,rain,1012.4,CO,967725216,967772406,69.93,967766400,48.78,967726800,967701600,9.95,170,2.93
0,2000-09-30 00:00:00,73.78,970351200,44.68,970318800,0.13,Jackson,38.35,0.53,970293600Jackson,40.5722355,-106.3113643,0.1,,0,0,,0,,1012.62,CO,970318955,970361389,73.78,970351200,44.68,970318800,970293600,9.99,256,5.22
0,2000-10-31 00:00:00,40.56,973029600,27.23,973054800,0.67,Jackson,30.6,0.81,972975600Jackson,40.5722355,-106.3113643,0.15,,0.0128,0.1016,973044000,0.79,rain,1008.67,CO,972999372,973037036,40.56,973029600,31.68,972993600,972975600,8.27,312,2.29
0,2000-11-30 00:00:00,30.72,975614400,9.67,975650400,0.23,Jackson,17.25,0.58,975567600Jackson,40.5722355,-106.3113643,0.15,,0,0,,0,,1020.44,CO,975593444,975627640,40.62,975614400,18.83,975650400,975567600,9.31,287,13.78
0,2000-12-31 00:00:00,18.31,978303600,1.55,978260400,0.37,Jackson,13.09,0.8,978246000Jackson,40.5722355,-106.3113643,0.19,0.068,0.0002,0.0052,978310800,0.23,snow,1027.66,CO,978273002,978306567,27.86,978303600,9.24,978246000,978246000,8.42,309,3.32
0,2001-01-31 00:00:00,20.14,980985600,0.19,980949600,0.35,Jackson,2.78,0.7,980924400Jackson,40.5722355,-106.3113643,0.23,,0,0,,0,,1027.16,CO,980950605,980986996,24.47,980985600,0.19,980949600,980924400,9.66,277,1.98
0,2001-02-28 00:00:00,31.61,983404800,9.26,983343600,0.59,Jackson,17.4,0.81,983343600Jackson,40.5722355,-106.3113643,0.17,0.522,0.002,0.0162,983412000,0.57,snow,1017.62,CO,983367683,983408216,34.59,983404800,15.02,983368800,983343600,7.32,156,0.45
0,2001-03-31 00:00:00,55.79,986083200,20.08,986043600,0.38,Jackson,22.36,0.59,986022000Jackson,40.5722355,-106.3113643,0.23,0.323,0.0013,0.0085,986025600,0.45,snow,1015.48,CO,986043052,986088595,55.79,986083200,25.42,986043600,986022000,9.22,283,5.58
0,2001-04-30 00:00:00,67.39,988671600,34.97,988628400,0.07,Jackson,29.86,0.43,988610400Jackson,40.5722355,-106.3113643,0.25,,0,0,,0,,1015.2,CO,988632359,988682472,67.39,988671600,38.26,988628400,988610400,9.95,271,6.01
0,2001-05-31 00:00:00,74.81,991353600,40.69,991310400,0.15,Jackson,36.99,0.52,991288800Jackson,40.5722355,-106.3113643,0.32,,0.0022,0.0436,991314000,0.7,rain,1016.02,CO,991309106,991362631,74.81,991353600,40.69,991310400,991288800,9.55,309,2.47
0,2001-06-30 00:00:00,86.14,993938400,54.83,993902400,0.08,Jackson,44.42,0.4,993880800Jackson,40.5722355,-106.3113643,0.34,,0,0,,0,,1013.85,CO,993901151,993955268,90.02,993938400,54.83,993902400,993880800,9.95,97,1.53
0,2001-07-31 00:00:00,79.31,996613200,61.23,996642000,0.47,Jackson,52.4,0.58,996559200Jackson,40.5722355,-106.3113643,0.39,,0.0083,0.095,996606000,0.78,rain,1009.93,CO,996580977,996632561,80.03,996613200,61.23,996642000,996559200,9.88,214,1.94
0,2001-08-31 00:00:00,76.25,999302400,49.5,999262800,0.28,Jackson,46.47,0.6,999237600Jackson,40.5722355,-106.3113643,0.43,,0.0254,0.184,999259200,0.84,rain,1013.42,CO,999261200,999308431,76.25,999302400,49.5,999262800,999237600,9.97,153,1.36
0,2001-09-30 00:00:00,73.41,1001887200,43.16,1001854800,0.12,Jackson,37.24,0.49,1001829600Jackson,40.5722355,-106.3113643,0.44,,0,0,,0,,1022.23,CO,1001854939,1001897415,73.41,1001887200,43.16,1001854800,1001829600,9.99,142,1.4
0,2001-10-31 00:00:00,55.84,1004562000,34,1004594400,0.39,Jackson,31.56,0.5,1004511600Jackson,40.5722355,-106.3113643,0.48,,0.0024,0.03,1004547600,0.65,rain,1006.07,CO,1004535354,1004573055,55.84,1004562000,40.32,1004594400,1004511600,9.78,260,9.5
0,2001-11-30 00:00:00,25.03,1007154000,13.98,1007118000,0.56,Jackson,18.1,0.7,1007103600Jackson,40.5722355,-106.3113643,0.49,0.486,0.0017,0.0067,1007121600,0.32,snow,1009.02,CO,1007129428,1007163645,33.22,1007154000,22.76,1007107200,1007103600,8.15,264,5.99
0,2001-12-31 00:00:00,27.2,1009832400,12.02,1009785600,0.62,Jackson,14.41,0.76,1009782000Jackson,40.5722355,-106.3113643,0.55,0.519,0.0017,0.0236,1009850400,0.62,snow,1021.14,CO,1009809000,1009842555,30.54,1009832400,12.78,1009803600,1009782000,8.86,67,2.4
0,2002-01-31 00:00:00,23.58,1012521600,-20.1,1012478400,0.29,Jackson,-5.97,0.6,1012460400Jackson,40.5722355,-106.3113643,0.61,,0,0,,0,,1029.94,CO,1012486619,1012522977,23.58,1012521600,-7.46,1012485600,1012460400,9.88,338,3.36
0,2002-02-28 00:00:00,29.57,1014930000,0.82,1014940800,0.52,Jackson,9.91,0.61,1014879600Jackson,40.5722355,-106.3113643,0.55,0.369,0.0013,0.0191,1014951600,0.59,snow,1011.21,CO,1014903707,1014944198,35.07,1014930000,11.29,1014886800,1014879600,8.42,329,1.48
0,2002-03-31 00:00:00,65.59,1017619200,22.24,1017579600,0.1,Jackson,23.33,0.5,1017558000Jackson,40.5722355,-106.3113643,0.61,,0,0,,0,,1015.63,CO,1017579078,1017624579,65.59,1017619200,26.69,1017576000,1017558000,9.85,251,4.74
0,2002-04-30 00:00:00,69.38,1020204000,30.91,1020168000,0.09,Jackson,25.5,0.38,1020146400Jackson,40.5722355,-106.3113643,0.63,,0,0,,0,,1004.34,CO,1020168379,1020218455,69.38,1020204000,35.93,1020164400,1020146400,9.91,249,2.2
0,2002-05-31 00:00:00,83.69,1022875200,50.34,1022842800,0.08,Jackson,37.29,0.34,1022824800Jackson,40.5722355,-106.3113643,0.68,,0.0021,0.05,1022886000,0.71,rain,1009.59,CO,1022845113,1022898619,87.3,1022875200,50.34,1022842800,1022824800,9.96,97,0.97
0,2002-06-30 00:00:00,86.98,1025478000,52.91,1025434800,0.01,Jackson,31.21,0.23,1025416800Jackson,40.5722355,-106.3113643,0.69,,0,0,,0,,1012.79,CO,1025437143,1025491269,91.33,1025478000,52.91,1025434800,1025416800,9.54,132,2.41
0,2002-07-31 00:00:00,87.56,1028145600,54.22,1028113200,0.04,Jackson,33.57,0.25,1028095200Jackson,40.5722355,-106.3113643,0.73,,0,0,,0,,1011.71,CO,1028116962,1028168577,92.31,1028145600,54.22,1028113200,1028095200,9.98,245,2.12
0,2002-08-31 00:00:00,79.78,1030824000,48.64,1030788000,0.14,Jackson,35.8,0.39,1030773600Jackson,40.5722355,-106.3113643,0.77,,0,0,,0,,1017.42,CO,1030797185,1030844456,82.12,1030824000,48.85,1030798800,1030773600,9.99,225,1.48
0,2002-09-30 00:00:00,65.79,1033426800,41.71,1033376400,0.32,Jackson,33.13,0.51,1033365600Jackson,40.5722355,-106.3113643,0.79,,0.0002,0.0058,1033416000,0.26,rain,1009.56,CO,1033390924,1033433441,65.79,1033426800,42.5,1033383600,1033365600,9.77,239,4.6
0,2002-10-31 00:00:00,25.88,1036098000,9.08,1036065600,0.88,Jackson,17.66,0.86,1036047600Jackson,40.5722355,-106.3113643,0.85,2.43,0.0066,0.0227,1036083600,0.62,snow,1020.81,CO,1036071335,1036109074,25.88,1036098000,15.81,1036072800,1036047600,6.77,101,0.56
0,2002-11-30 00:00:00,43.46,1038693600,13.75,1038654000,0.1,Jackson,19.58,0.69,1038639600Jackson,40.5722355,-106.3113643,0.87,,0,0,,0,,1025.19,CO,1038665412,1038699649,43.46,1038693600,18.83,1038657600,1038639600,9.82,150,1.58
0,2002-12-31 00:00:00,36.11,1041372000,10.6,1041318000,0.58,Jackson,16.23,0.67,1041318000Jackson,40.5722355,-106.3113643,0.93,1.594,0.0076,0.0514,1041364800,0.72,snow,1014.02,CO,1041344998,1041378543,36.11,1041372000,14.05,1041325200,1041318000,8.01,245,1.77
0,2003-01-31 00:00:00,52.02,1044057600,29.13,1044021600,0.36,Jackson,27.85,0.63,1043996400Jackson,40.5722355,-106.3113643,0.98,,0,0,,0,,1021.39,CO,1044022634,1044058958,52.02,1044057600,32.46,1044021600,1043996400,9.96,253,4.55
0,2003-02-28 00:00:00,24.08,1046469600,14.27,1046476800,0.72,Jackson,17.64,0.81,1046415600Jackson,40.5722355,-106.3113643,0.93,0.186,0.0007,0.0097,1046462400,0.5,snow,1010.41,CO,1046439730,1046480181,30.09,1046469600,18.9,1046440800,1046415600,8.28,223,0.44
0,2003-03-31 00:00:00,64.11,1049155200,25.67,1049115600,0.06,Jackson,24.9,0.49,1049094000Jackson,40.5722355,-106.3113643,0.97,,0,0,,0,,1017.55,CO,1049115103,1049160563,64.11,1049155200,29.57,1049112000,1049094000,10,246,5.07
